"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Average size of households (TE)","2021 Average size of households (TE)","2022 Average size of households (TE)","2023 Average size of households (TE)","2024 Average size of households (TE)"
"36450  Salmentaka (Pälkäne)",1.9,1.9,1.8,1.9,1.8
"36520  Raikku (Kangasala)",2.1,2.1,2.1,2.1,2.1
"36570  Kaivanto (Kangasala)",2.5,2.4,2.4,2.4,2.3
"36600  Pälkäne Keskus (Pälkäne)",2.1,2.1,2.1,2.1,2.1
"36640  Iltasmäki (Pälkäne)",2.4,2.5,2.4,2.4,2.2
"36660  Laitikkala (Pälkäne)",2.2,2.4,2.4,2.4,2.4
"36720  Aitoo (Pälkäne)",2.0,2.0,2.0,1.9,1.9
"36760  Luopioinen Keskus (Pälkäne)",1.8,1.8,1.8,1.8,1.8
"36810  Kuhmalahti Keskus (Kangasala)",2.0,2.0,1.9,2.0,1.9
"36840  Kuhmajärvi (Kangasala)",1.8,1.8,1.8,1.8,1.8
"36880  Vehkajärvi (Kangasala)",1.7,1.7,1.7,1.7,1.7
"36910  Rautajärvi (Pälkäne)",2.0,2.0,1.9,1.9,1.9
"36930  Kyynärö (Pälkäne)",1.9,1.8,1.9,1.7,1.8
"37100  Nokia Keskus (Nokia)",1.6,1.6,1.6,1.6,1.6
"37120  Koskenmäki (Nokia)",2.3,2.2,2.2,2.2,2.2
"37130  Alhoniitty (Nokia)",2.2,2.2,2.2,2.2,2.2
"37140  Harjuniitty (Nokia)",2.6,2.7,2.7,2.6,2.7
"37150  Kankaantaka (Nokia)",2.1,2.1,2.1,2.1,2.1
"37180  Sarkola (Nokia)",2.4,2.4,2.3,2.3,2.3
"37200  Siuro (Nokia)",2.3,2.3,2.3,2.2,2.2
"37210  Kulovesi (Nokia)",...,...,...,...,...
"37240  Linnavuori (Nokia)",2.0,1.9,1.9,1.9,1.8
"37310  Tottijärvi (Nokia)",2.4,2.4,2.4,2.3,2.4
"37350  Rämsöö (Vesilahti)",2.2,2.2,2.1,2.1,2.1
"37370  Narva (Vesilahti)",2.2,2.2,2.2,2.2,2.2
"37380  Krääkkiö (Vesilahti)",2.2,2.1,2.0,2.0,1.9
"37420  Valkkinen (Vesilahti)",2.3,2.3,2.3,2.3,2.3
"37470  Vesilahti Keskus (Vesilahti)",2.5,2.6,2.6,2.6,2.6
"37500  Lempäälä Keskus (Lempäälä)",2.1,2.1,2.1,2.0,2.1
"37530  Säijä (Lempäälä)",2.4,2.5,2.4,2.4,2.5
"37550  Kuivaspää (Lempäälä)",2.6,2.6,2.6,2.6,2.6
"37560  Kulju (Lempäälä)",2.6,2.6,2.6,2.6,2.5
"37570  Koivuniemi (Lempäälä)",2.8,2.9,2.9,2.8,2.9
"37600  Valkeakoski Keskus (Valkeakoski)",1.8,1.8,1.8,1.8,1.8
"37630  Vääräkoivu (Valkeakoski)",2.0,2.0,2.0,2.0,2.0
"37700  Sääksmäki (Valkeakoski)",2.3,2.2,2.1,2.1,2.1
"37720  Ritvala (Valkeakoski)",2.5,2.5,2.4,2.4,2.4
"37740  Haukila (Valkeakoski)",2.2,2.2,2.2,2.2,2.2
"37770  Tarttila (Valkeakoski)",2.3,2.2,2.2,2.3,2.3
"37800  Toijala keskus (Akaa)",2.0,2.0,2.0,2.0,2.0
"37830  Viiala Keskus (Akaa)",2.1,2.1,2.1,2.1,2.1
"37850  Metsäkansa (Valkeakoski)",2.3,2.3,2.3,2.3,2.2
"37860  Kärjenniemi (Valkeakoski)",2.7,2.7,2.6,2.7,2.7
"37900  Kylmäkoski Asemanseutu (Akaa)",2.0,2.0,1.9,2.0,1.9
"37910  Kylmäkoski Keskus (Akaa)",2.0,2.0,2.0,2.0,2.0
"37960  Sotkia (Akaa)",2.1,2.1,2.2,2.1,2.2
"38100  Karkku (Sastamala)",2.1,2.1,2.1,2.1,2.1
"38120  Kutala (Sastamala)",2.3,2.3,2.3,2.1,2.1
"38130  Ellivuori (Sastamala)",...,...,...,...,...
"38140  Kärppälä (Sastamala)",2.2,2.2,2.1,2.1,2.1
"38200  Vammala Keskus (Sastamala)",1.8,1.8,1.8,1.8,1.8
"38210  Vammala Asemanseutu (Sastamala)",1.9,1.9,1.9,1.9,1.9
"38220  Stormi (Sastamala)",2.2,2.1,2.1,2.1,2.0
"38250  Roismala (Sastamala)",2.4,2.3,2.3,2.2,2.2
"38270  Sammaljoki (Sastamala)",2.1,2.0,1.9,1.9,1.9
"38280  Illo (Sastamala)",2.3,2.3,2.3,2.2,2.2
"38300  Kiikka (Sastamala)",2.1,2.1,2.1,2.0,2.0
"38360  Kiikoinen (Sastamala)",2.0,2.0,2.0,1.9,2.0
"38420  Häijää (Sastamala)",2.2,2.2,2.2,2.2,2.2
"38460  Mouhijärvi Keskus (Sastamala)",2.1,2.1,2.0,2.0,2.0
"38470  Hyynilä (Sastamala)",2.3,2.3,2.2,2.2,2.2
"38490  Haukijärvi (Hämeenkyrö)",2.1,2.0,1.8,1.8,1.7
"38510  Suodenniemi (Sastamala)",2.0,2.0,1.9,1.9,1.9
"38600  Lavia Keskus (Pori)",1.9,1.9,1.9,1.9,1.9
"38650  Yli-Putto (Pori)",2.3,2.4,2.3,2.4,2.4
"38670  Kalliala-Haunia (Pori)",2.2,2.1,2.2,2.1,2.1
"38680  Tuunajärvi (Pomarkku)",1.8,1.8,1.8,1.7,1.6
"38700  Kankaanpää Keskus (Kankaanpää)",1.9,1.9,1.9,1.9,1.9
"38710  Myllymäki (Kankaanpää)",1.7,1.7,1.6,1.6,1.6
"38720  Vihteljärvi (Kankaanpää)",2.1,2.1,2.1,2.1,2.1
"38740  Hapuoja (Kankaanpää)",2.2,2.1,2.1,2.1,2.1
"38750  Veneskoski (Kankaanpää)",2.2,2.2,2.1,2.1,2.1
"38760  Venesjärvi (Kankaanpää)",2.4,2.4,2.4,2.4,2.5
"38770  Lohikko (Kankaanpää)",2.5,2.5,2.4,2.4,2.4
"38800  Jämijärvi Keskus (Jämijärvi)",2.1,2.1,2.1,2.1,2.1
"38840  Niinisalo (Kankaanpää)",2.0,2.0,2.0,2.0,2.0
"38860  Suurimaa (Jämijärvi)",2.1,2.1,2.0,2.0,2.1
"38910  Ala-Honkajoki (Kankaanpää)",2.1,2.1,2.1,2.1,2.0
"38920  Vatajankoski (Kankaanpää)",2.0,2.1,2.0,2.0,2.0
"38950  Honkajoki Keskus (Kankaanpää)",2.0,2.0,2.0,2.0,2.0
"38970  Lauhala (Kankaanpää)",2.0,2.0,2.0,1.9,2.0
"39100  Hämeenkyrö Keskus (Hämeenkyrö)",2.0,2.0,1.9,2.0,2.0
"39110  Simuna (Hämeenkyrö)",2.3,2.3,2.3,2.3,2.3
"39130  Sasi (Hämeenkyrö)",2.7,2.7,2.7,2.7,2.7
"39150  Pinsiö (Hämeenkyrö)",2.7,2.7,2.7,2.7,2.6
"39160  Julkujärvi (Ylöjärvi)",2.8,2.8,2.8,2.8,2.8
"39170  Jumesniemi (Hämeenkyrö)",2.8,2.7,2.8,2.7,2.8
"39180  Herttuala (Hämeenkyrö)",2.5,2.3,2.3,2.3,2.2
"39195  Kaipio (Hämeenkyrö)",2.5,2.4,2.4,2.3,2.2
"39200  Kyröskoski (Hämeenkyrö)",2.0,2.0,2.0,2.0,2.0
"39230  Osara (Hämeenkyrö)",2.1,2.0,2.0,2.0,2.0
"39290  Vesajärvi (Hämeenkyrö)",2.0,2.0,2.1,2.1,2.0
"39310  Viljakkala Keskus (Ylöjärvi)",2.2,2.1,2.1,2.0,2.1
"39340  Karhe (Ylöjärvi)",2.5,2.4,2.4,2.3,2.3
"39360  Komi (Ylöjärvi)",2.3,2.4,2.3,2.4,2.4
"39380  Lavajärvi (Hämeenkyrö)",2.5,2.4,2.4,2.4,2.3
"39410  Luhalahti (Ikaalinen)",2.0,2.0,2.0,2.0,2.0
"39430  Röyhiö (Ikaalinen)",2.3,2.4,2.3,2.3,2.3
"39450  Sisättö (Ikaalinen)",1.8,1.8,1.8,1.7,1.6
"39500  Ikaalinen Keskus (Ikaalinen)",1.8,1.8,1.8,1.8,1.8
"39530  Kilvakkala (Ikaalinen)",2.3,2.3,2.3,2.2,2.2
"39580  Riitiala (Ikaalinen)",2.0,2.0,2.1,2.1,2.1
"39590  Tevaniemi (Ikaalinen)",2.3,2.2,2.2,2.2,2.2
"39610  Kovelahti (Ikaalinen)",2.1,2.1,2.0,2.1,2.1
"39620  Kovesjoki (Parkano)",2.1,2.1,2.1,2.1,2.0
"39660  Lapinneva (Parkano)",2.0,2.0,2.0,1.9,1.9
"39700  Parkano Keskus (Parkano)",1.9,1.9,1.9,1.9,1.9
"39750  Vatajanjärvi (Parkano)",2.2,2.2,2.1,2.1,2.1
"39770  Aureskoski (Parkano)",1.9,1.8,1.8,1.8,1.8
"39780  Alaskylä (Parkano)",2.2,2.2,2.2,2.2,2.0
"39810  Linnankylä (Kihniö)",2.3,2.3,2.3,2.2,2.2
"39820  Kihniö Keskus (Kihniö)",2.0,2.0,1.9,1.9,1.9
"39880  Kihniö Asemanseutu (Kihniö)",1.9,2.0,1.9,2.0,2.0
"39920  Suomijärvi (Karvia)",2.1,2.0,2.0,2.0,2.1
"39930  Karvia Keskus (Karvia)",1.7,1.8,1.8,1.7,1.7
"39940  Kantti (Karvia)",2.0,2.0,2.0,2.0,2.0
"39960  Sarvela (Karvia)",2.3,2.2,2.2,2.1,2.1
"39965  Karviankylä (Karvia)",2.3,2.3,2.2,2.1,2.1
"39980  Sara (Karvia)",2.0,1.9,1.8,2.0,2.0
"39990  Alkkia (Karvia)",2.2,2.1,2.1,2.1,2.0
"40100  Jyväskylä Keskus (Jyväskylä)",1.4,1.4,1.4,1.4,1.4
"40200  Mannila-Taulumäki (Jyväskylä)",1.7,1.7,1.7,1.7,1.7
"40250  Ritoniemi-Lohikoski (Jyväskylä)",2.1,2.1,2.0,2.0,2.0
"40270  Palokka (Jyväskylä)",2.2,2.2,2.1,2.1,2.1
"40320  Seppälän Teollisuusalue (Jyväskylä)",1.8,1.7,1.7,1.7,1.7
"40340  Huhtasuo (Jyväskylä)",1.7,1.7,1.6,1.6,1.6
"40400  Halssila (Jyväskylä)",2.0,2.0,2.0,2.0,2.0
"40420  Jyskä (Jyväskylä)",2.0,2.0,2.0,2.0,2.0
"40500  Keljo-Ristonmaa (Jyväskylä)",1.8,1.7,1.7,1.7,1.7
"40520  Kuokkala-Ristikivi (Jyväskylä)",1.8,1.8,1.8,1.8,1.8
"40530  Keljonkangas (Jyväskylä)",2.3,2.3,2.2,2.2,2.2
"40600  Mattilanpelto (Jyväskylä)",1.7,1.7,1.7,1.6,1.7
"40620  Keskussairaala-alue-Kukkumäki (Jyväskylä)",1.7,1.6,1.6,1.6,1.6
"40630  Kypärämäki (Jyväskylä)",2.0,2.0,2.0,2.0,2.0
"40640  Keltinmäki (Jyväskylä)",1.8,1.8,1.8,1.8,1.8
"40660  Länsi-Palokka (Jyväskylä)",2.6,2.6,2.6,2.6,2.6
"40700  Mäki-Matti (Jyväskylä)",1.5,1.5,1.5,1.4,1.5
"40720  Nisula (Jyväskylä)",1.6,1.5,1.5,1.5,1.5
"40740  Kortepohja (Jyväskylä)",1.6,1.6,1.6,1.6,1.6
"40800  Vaajakoski (Jyväskylä)",2.1,2.0,2.0,2.0,2.0
"40820  Vuoritsalo (Jyväskylä)",2.0,1.9,1.9,2.0,2.0
"40900  Säynätsalo (Jyväskylä)",2.0,2.0,2.0,2.0,2.0
"40930  Kinkomaa (Muurame)",2.6,2.6,2.6,2.6,2.6
"40950  Muurame Keskus (Muurame)",2.3,2.3,2.3,2.3,2.3
"41120  Puuppola (Jyväskylä)",3.0,3.0,3.0,3.0,2.9
"41140  Kuikka (Jyväskylä)",2.8,2.8,2.8,2.8,2.9
"41160  Tikkakoski (Jyväskylä)",2.3,2.3,2.2,2.2,2.2
"41180  Vehniä (Laukaa)",2.6,2.5,2.5,2.5,2.5
"41210  Jokihaara (Uurainen)",2.7,2.7,2.7,2.7,2.7
"41220  Höytiä (Uurainen)",2.2,2.2,2.2,2.1,2.1
"41230  Uurainen Keskus (Uurainen)",2.2,2.2,2.1,2.1,2.1
"41240  Kyynämöinen (Uurainen)",2.1,2.1,2.1,2.0,2.2
"41260  Hoikankylä (Saarijärvi)",2.4,2.3,2.3,2.3,2.4
"41270  Lannevesi (Saarijärvi)",2.2,2.1,2.2,2.2,2.1
"41290  Kangashäkki (Uurainen)",3.4,3.3,3.3,3.3,3.4
"41310  Leppävesi (Laukaa)",2.7,2.7,2.7,2.7,2.7
"41325  Laukkavirta (Laukaa)",2.4,2.5,2.5,2.4,2.5
"41330  Vihtavuori (Laukaa)",2.4,2.4,2.4,2.4,2.4
"41340  Laukaa Keskus (Laukaa)",2.2,2.2,2.2,2.2,2.2
"41350  Laukaa Asemanseutu (Laukaa)",2.5,2.4,2.4,2.3,2.4
"41360  Valkola (Laukaa)",2.4,2.5,2.5,2.5,2.4
"41370  Kuusa (Laukaa)",2.5,2.5,2.4,2.4,2.4
"41390  Äijälä (Laukaa)",2.3,2.3,2.4,2.4,2.4
"41400  Lievestuore (Laukaa)",2.1,2.1,2.0,2.0,2.0
"41410  Kankainen (Toivakka)",2.4,2.4,2.4,2.4,2.3
"41440  Ruuhimäki (Toivakka)",2.2,2.1,2.1,2.1,2.0
"41450  Leppälahti (Jyväskylä)",2.4,2.3,2.3,2.3,2.3
"41490  Niemisjärvi (Hankasalmi)",2.1,2.1,2.0,2.0,2.0
"41500  Hankasalmi Asemanseutu (Hankasalmi)",1.9,1.9,1.9,1.9,1.9
"41520  Hankasalmi Keskus (Hankasalmi)",1.9,1.9,1.9,1.8,1.8
"41530  Veneranta (Hankasalmi)",2.3,2.2,2.2,2.2,2.1
"41540  Ristimäki (Hankasalmi)",2.1,2.1,2.1,2.0,2.0
"41550  Hannula (Hankasalmi)",2.1,2.1,2.2,2.1,2.2
"41560  Säkinmäki (Hankasalmi)",1.9,1.9,1.8,1.8,1.8
"41580  Sauvamäki (Hankasalmi)",2.2,2.1,2.1,2.0,2.0
"41630  Oravasaari (Jyväskylä)",2.5,2.5,2.5,2.6,2.6
"41660  Toivakka Keskus (Toivakka)",2.1,2.1,2.1,2.1,2.1
"41710  Rutalahti-Kivisuo (Jyväskylä)",2.1,2.1,2.1,2.0,2.0
"41730  Kivisuo (Joutsa)",...,...,...,...,...
"41750  Havumäki (Joutsa)",1.7,1.8,1.8,1.8,1.9
"41770  Leivonmäki (Joutsa)",1.7,1.7,1.7,1.7,1.7
"41800  Korpilahti Keskus (Jyväskylä)",2.0,2.0,2.0,2.0,1.9
"41820  Saakoski (Jyväskylä)",2.2,2.2,2.2,2.1,2.1
"41840  Moksi (Jyväskylä)",2.0,2.1,2.1,1.9,2.0
"41860  Rannila (Jyväskylä)",2.8,2.8,2.8,2.6,2.6
"41870  Putkilahti (Jyväskylä)",1.8,1.8,1.7,1.8,1.8
"41880  Oittila (Jyväskylä)",1.9,1.9,1.9,2.1,2.0
"41900  Petäjävesi Keskus (Petäjävesi)",2.0,2.0,2.0,1.9,1.9
"41920  Kintaus (Petäjävesi)",2.8,2.7,2.7,2.7,2.7
"41925  Ylä-Kintaus (Petäjävesi)",2.5,2.5,2.5,2.4,2.5
"41930  Kuohu (Jyväskylä)",2.4,2.5,2.4,2.4,2.3
"41940  Vesanka (Jyväskylä)",2.6,2.6,2.6,2.6,2.6
"41970  Huttula (Keuruu)",...,...,...,...,...
"41980  Kuivasmäki (Petäjävesi)",2.3,2.2,2.2,2.2,2.3
"42100  Jämsä Keskus (Jämsä)",1.8,1.8,1.8,1.8,1.8
"42140  Juokslahti (Jämsä)",2.2,2.2,2.2,2.4,2.3
"42220  Kaipola (Jämsä)",2.0,2.0,2.0,1.9,2.0
"42300  Jämsänkoski Keskus (Jämsä)",1.9,1.8,1.8,1.8,1.8
"42330  Haavisto (Jämsä)",2.4,2.4,2.4,2.3,2.3
"42440  Koskenpää (Jämsä)",1.9,1.9,1.9,1.9,1.9
"42520  Asunta (Keuruu)",2.1,1.9,1.9,1.8,1.9
"42560  Pohjoisjärvi (Keuruu)",2.6,2.6,2.6,2.5,2.5
"42600  Multia Keskus-Väätäiskylä (Multia)",2.0,1.9,1.9,1.9,1.9
"42660  Sahrajärvi (Multia)",2.1,1.9,1.9,1.8,1.7
"42700  Keuruu Keskus (Keuruu)",1.8,1.8,1.8,1.8,1.8
"42800  Haapamäki (Keuruu)",1.9,1.9,1.9,1.9,1.9
"42820  Riiho (Keuruu)",...,2.2,2.1,2.0,2.0
"42830  Ylä-Kolkki (Mänttä-Vilppula)",...,...,...,...,...
"42840  Kolkki (Mänttä-Vilppula)",2.3,2.3,2.3,2.3,2.2
"42850  Pohjaslahti (Mänttä-Vilppula)",1.8,1.8,1.8,1.7,1.7
"42870  Kotala (Virrat)",2.1,2.1,2.1,2.1,2.1
"42910  Pihlajavesi (Keuruu)",2.0,2.0,2.0,1.9,1.9
"42930  Katajamäki (Keuruu)",2.0,2.0,1.9,1.8,1.9
"43100  Saarijärvi Keskus (Saarijärvi)",1.8,1.8,1.8,1.8,1.8
"43130  Tarvaala (Saarijärvi)",2.4,2.4,2.3,2.3,2.3
"43170  Häkkilä (Saarijärvi)",1.9,1.8,1.8,1.8,1.8
"43220  Mahlu (Saarijärvi)",2.0,2.0,2.0,1.9,1.9
"43240  Lehtola (Saarijärvi)",2.0,2.0,2.1,2.1,2.1
"43250  Kolkanlahti (Saarijärvi)",2.0,2.0,2.0,2.0,2.0
"43270  Kalmari (Saarijärvi)",2.0,2.0,2.0,2.0,2.0
"43300  Kannonkoski Keskus (Kannonkoski)",1.9,1.9,1.9,1.9,1.8
"43340  Kannonjärvi (Kannonkoski)",2.1,2.0,1.9,1.9,1.9
"43390  Lokakylä (Kivijärvi)",2.1,2.1,2.1,2.1,1.9
"43420  Kukko (Saarijärvi)",...,...,...,...,...
"43430  Väätäiskylä (Multia)",...,...,...,...,...
"43440  Pylkönmäki Keskus (Saarijärvi)",1.9,1.9,1.9,1.9,1.9
"43480  Pääjärvi (Saarijärvi)",2.0,2.0,2.0,2.0,2.0
"43490  Kangasaho (Karstula)",2.1,2.1,2.1,2.1,2.1
"43500  Karstula Keskus (Karstula)",1.9,1.9,1.9,1.8,1.8
"43520  Kiminki (Karstula)",2.2,2.2,2.1,2.0,2.0
"43540  Rantakylä-Pirttilahti (Karstula)",2.5,2.4,2.3,2.4,2.4
"43560  Vahanka (Karstula)",2.1,2.1,2.1,2.1,2.1
"43610  Aho (Karstula)",1.9,1.9,1.8,1.8,1.7
"43640  Humppi (Karstula)",2.1,2.1,2.0,2.0,2.0
"43660  Vastinki (Karstula)",2.0,2.0,2.0,1.9,1.8
"43700  Kyyjärvi Keskus (Kyyjärvi)",2.1,2.0,2.0,2.0,2.0
"43720  Kumpulainen (Kyyjärvi)",1.9,1.8,1.8,1.7,1.7
"43800  Kivijärvi Keskus-Sompala (Kivijärvi)",2.0,2.0,1.9,1.9,1.9
"43840  Sompala (Kivijärvi)",...,...,...,...,...
"43900  Kinnula Keskus (Kinnula)",2.2,2.3,2.2,2.2,2.2
"43940  Muhola-Saarensalmi (Kinnula)",2.2,2.1,2.1,2.0,2.0
"43960  Saarensalmi (Kinnula)",1.8,1.8,1.8,1.8,1.8
"44100  Äänekoski Keskus (Äänekoski)",1.7,1.7,1.7,1.7,1.7
"44120  Mämmensalmi-Mustaniemi (Äänekoski)",2.2,2.2,2.2,2.1,2.1
"44150  Likolahti-Karhunlähde (Äänekoski)",1.9,1.9,1.9,1.9,1.9
"44160  Huutomäki (Äänekoski)",2.4,2.4,2.4,2.4,2.4
"44170  Hietama (Äänekoski)",2.5,2.5,2.5,2.5,2.6
"44190  Parantala (Äänekoski)",2.2,2.1,2.1,2.2,2.3
"44200  Suolahti Keskus (Äänekoski)",1.8,1.8,1.8,1.8,1.8
"44220  Sörkänmäki (Äänekoski)",2.1,2.1,2.1,2.0,2.0
"44250  Äänekoivisto (Äänekoski)",2.8,2.7,2.7,2.7,2.7
"44260  Vihijärvi (Äänekoski)",2.5,2.4,2.4,2.4,2.4
"44280  Sumiainen Keskus (Äänekoski)",1.9,1.9,1.9,1.9,1.8
"44300  Konnevesi Keskus (Konnevesi)",1.9,1.8,1.8,1.8,1.8
"44320  Sirkkamäki (Konnevesi)",2.4,2.3,2.2,2.3,2.3
"44330  Hytölä (Konnevesi)",2.3,2.3,2.3,2.3,2.2
"44350  Istunmäki (Konnevesi)",2.0,2.1,2.1,2.1,2.1
"44370  Mäntymäki (Konnevesi)",1.9,1.8,1.8,1.8,1.8
"44400  Konginkangas Keskus (Äänekoski)",1.8,1.9,1.9,1.8,1.8
"44420  Liimattala (Äänekoski)",2.3,2.3,2.3,2.3,2.2
"44440  Räihä (Äänekoski)",2.1,2.0,2.0,2.1,2.0
"44460  Kalaniemi (Äänekoski)",2.0,2.0,2.0,2.0,2.0
"44480  Niinilahti (Viitasaari)",1.8,1.8,1.7,1.7,1.8
"44500  Viitasaari Keskus (Viitasaari)",1.8,1.8,1.7,1.7,1.7
"44530  Ilmolahti (Viitasaari)",2.2,2.2,2.2,2.2,2.1
"44580  Huopanankoski (Viitasaari)",2.1,2.1,2.0,2.0,2.1
"44590  Vuorilahti (Viitasaari)",1.6,1.7,1.8,1.9,1.9
"44610  Kärnä (Viitasaari)",2.0,1.9,1.9,1.9,1.8
"44630  Kumpumäki (Viitasaari)",1.8,1.8,1.8,1.7,1.7
"44640  Kymönkoski (Viitasaari)",2.1,2.1,2.1,2.1,2.0
"44670  Suovanlahti (Viitasaari)",2.1,2.0,1.9,1.9,1.9
"44680  Lahnanen (Viitasaari)",...,...,...,...,...
"44730  Löytänä (Viitasaari)",2.0,1.9,2.0,1.8,1.8
"44740  Keitelepohja-Kotvala (Viitasaari)",2.2,2.2,2.3,2.3,2.3
"44760  Keihärinkoski (Viitasaari)",2.1,2.1,2.0,1.9,2.0
"44770  Valkeisjärvi (Viitasaari)",0.0,...,0.0,0.0,0.0
"44790  Kotvala (Viitasaari)",...,...,...,...,...
"44800  Pihtipudas Keskus (Pihtipudas)",1.8,1.8,1.8,1.8,1.8
"44860  Alvajärvi (Pihtipudas)",2.1,2.0,2.0,2.0,2.0
"44880  Muurasjärvi (Pihtipudas)",2.3,2.3,2.2,2.2,2.1
"44910  Elämäjärvi (Pihtipudas)",2.0,2.0,2.0,2.1,2.1
"44920  Peninki (Pihtipudas)",2.3,2.2,2.2,2.1,2.1
"44950  Kärväsjärvi (Pihtipudas)",2.1,2.1,2.2,2.2,2.1
"44970  Korppinen (Pihtipudas)",2.0,1.9,1.9,1.8,1.8
"45100  Kouvola Keskus (Kouvola)",1.6,1.6,1.6,1.6,1.6
"45120  Kotkankallio-Vahteronmäki (Kouvola)",2.2,2.2,2.2,2.1,2.1
"45130  Korjala-Kaunisnurmi (Kouvola)",1.6,1.5,1.5,1.5,1.5
"45150  Kankaronmäki-Eskolanmäki (Kouvola)",1.8,1.8,1.8,1.8,1.8
"45160  Lehtomäki (Kouvola)",1.7,1.7,1.7,1.7,1.7
"45200  Tornionmäki (Kouvola)",1.7,1.7,1.6,1.7,1.7
"45330  Harju (Kouvola)",2.2,2.2,2.3,2.2,2.1
"45360  Kukkuramäki (Kouvola)",2.2,2.2,2.2,2.2,2.1
"45370  Valkeala kk (Kouvola)",2.1,2.1,2.1,2.0,2.0
"45410  Utti (Kouvola)",2.2,2.2,2.2,2.1,2.1
"45460  Savero (Kouvola)",2.1,2.1,2.1,2.0,2.1
"45610  Koria (Kouvola)",2.0,2.0,2.0,2.0,2.0
"45700  Kuusankoski Keskus (Kouvola)",1.7,1.7,1.7,1.6,1.6
"45720  Kotiharju-Puhjonmäki (Kouvola)",2.0,2.0,2.0,1.9,2.0
"45740  Maunuksela (Kouvola)",2.1,2.0,2.0,2.0,2.0
"45750  Kuusankosken Sairaala-alue (Kouvola)",1.2,...,...,1.3,1.5
"45810  Pilkanmaa (Kouvola)",2.2,2.1,2.1,2.1,2.0
"45910  Voikkaa (Kouvola)",1.9,1.9,1.9,1.8,1.8
"45940  Oravala (Kouvola)",2.1,2.0,2.0,1.9,1.9
"46110  Tuohikotti (Kouvola)",2.0,2.1,2.0,2.1,2.0
"46140  Vekaranjärvi (Kouvola)",1.7,1.6,1.6,1.6,1.6
"46230  Aro (Kouvola)",2.2,2.2,2.2,2.1,2.2
"46400  Kaipiainen (Kouvola)",1.9,1.8,1.8,1.8,1.8
"46430  Tirva-Inkerilä (Kouvola)",2.1,2.1,2.1,2.1,2.1
"46450  Enäjärvi (Kouvola)",2.2,2.2,2.2,2.1,2.0
"46530  Kannuskoski (Luumäki)",1.9,1.9,1.9,1.9,1.9
"46570  Saaramaa (Kouvola)",...,...,...,...,...
"46710  Sippola (Kouvola)",1.9,1.9,1.9,1.9,1.9
"46730  Ruotila (Kouvola)",2.1,2.2,2.3,2.2,2.1
"46750  Liikkala (Kouvola)",2.1,2.0,2.0,2.0,2.0
"46800  Myllykoski (Kouvola)",1.8,1.8,1.8,1.8,1.8
"46810  Ummeljoki (Kouvola)",2.1,2.0,2.0,2.0,2.0
"46860  Anjalankoski Keskus (Kouvola)",1.9,1.8,1.8,1.8,1.8
"46900  Inkeroinen (Kouvola)",1.8,1.8,1.8,1.7,1.7
"46910  Anjala (Kouvola)",1.9,1.9,1.9,1.9,1.9
"46930  Huruksela (Kotka)",1.9,1.9,1.9,1.9,1.9
"46950  Ahvio (Kouvola)",...,...,...,...,...
"46960  Muhniemi (Kouvola)",2.3,2.2,2.3,2.3,2.2
"47110  Löytty (Kouvola)",1.9,1.9,1.9,1.9,1.8
"47150  Raussila (Kouvola)",2.1,2.0,2.1,2.0,1.8
"47200  Elimäki kk (Kouvola)",1.9,1.8,1.8,1.8,1.8
"47260  Ratula (Kouvola)",2.1,2.1,2.1,2.1,2.0
"47310  Haapa-Kimola (Iitti)",2.1,2.0,2.1,2.0,2.1
"47350  Kimonkylä (Lapinjärvi)",2.3,2.2,2.1,2.1,2.0
"47400  Kausala (Iitti)",1.8,1.8,1.8,1.8,1.8
"47440  Sääskjärvi (Iitti)",2.3,2.3,2.2,2.1,2.2
"47450  Perheniemi (Iitti)",2.3,2.3,2.3,2.3,2.2
"47460  Hiisiö (Iitti)",1.8,1.9,1.9,...,1.7
"47490  Mankala-Hiisiö (Iitti)",2.0,1.9,1.9,1.9,1.9
"47520  Iitti kk (Iitti)",2.2,2.2,2.2,2.2,2.2
"47540  Lyöttilä (Iitti)",2.1,2.1,2.0,2.0,2.0
"47610  Kymentaka (Iitti)",1.9,1.9,1.8,1.8,1.8
"47650  Kimola (Kouvola)",2.1,2.1,2.0,2.0,2.0
"47710  Jaala kk (Kouvola)",1.9,1.8,1.8,1.8,1.8
"47760  Huhdasjärvi (Kouvola)",1.6,1.6,1.5,1.5,1.4
"47810  Selänpää (Kouvola)",1.9,1.9,1.8,1.9,1.8
"47830  Hasula (Kouvola)",1.8,1.8,1.8,1.8,1.7
"47850  Verla (Kouvola)",2.0,1.9,1.9,2.0,2.0
"47900  Vuohijärvi (Kouvola)",1.6,1.5,1.5,1.5,1.5
"47910  Hillosensalmi (Kouvola)",...,...,...,...,...
"48100  Kotkansaari (Kotka)",1.4,1.4,1.4,1.4,1.4
"48130  Katariina (Kotka)",1.9,1.9,1.9,1.9,1.9
"48200  Hovinsaari (Kotka)",1.4,1.4,1.4,1.4,1.5
"48210  Toukolan Sairaala-Alue (Kotka)",1.9,1.9,1.8,1.8,1.8
"48220  Metsola (Kotka)",2.0,2.0,1.9,1.9,2.0
"48230  Korela-Jylppy (Kotka)",1.9,1.8,1.8,1.8,1.8
"48300  Ruonala (Kotka)",2.3,2.3,2.3,2.2,2.3
