"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Average size of households (TE)","2021 Average size of households (TE)","2022 Average size of households (TE)","2023 Average size of households (TE)","2024 Average size of households (TE)"
"07565  Kantele (Pukkila)",2.1,2.1,2.0,2.0,2.0
"07580  Tiilää (Askola)",2.0,2.1,2.1,2.1,1.9
"07590  Huuvari-Tiilää (Askola)",2.4,2.3,2.3,2.3,2.3
"07600  Myrskylä Keskus (Myrskylä)",2.0,2.0,2.0,2.0,1.9
"07680  Juornaankylä (Askola)",2.2,2.2,2.1,2.1,2.1
"07690  Kankkila (Myrskylä)",2.0,2.0,2.1,1.9,1.8
"07700  Koskenkylän saha-alue (Loviisa)",2.1,2.1,2.1,2.1,2.1
"07720  Malmgård (Loviisa)",2.0,2.1,2.2,2.3,2.2
"07740  Gammelby (Loviisa)",2.3,2.2,2.2,2.2,2.1
"07750  Isnäs (Loviisa)",2.0,2.1,2.0,2.0,2.0
"07780  Härkäpää (Loviisa)",1.9,1.8,1.8,1.9,1.8
"07800  Lapinjärvi Keskus (Lapinjärvi)",1.9,1.9,1.9,1.9,1.8
"07810  Ingermaninkylä (Lapinjärvi)",2.1,2.1,2.1,2.1,2.0
"07820  Porlammi (Lapinjärvi)",2.0,1.9,1.9,1.9,2.0
"07830  Pukaro (Lapinjärvi)",2.0,2.0,2.0,1.9,2.0
"07840  Lindkoski (Lapinjärvi)",2.2,2.1,2.0,2.0,2.0
"07850  Heikinkylä (Lapinjärvi)",2.3,2.3,2.3,2.3,2.3
"07870  Skinnarby (Loviisa)",2.1,2.0,2.1,2.0,2.0
"07880  Liljendal Keskus (Loviisa)",2.1,2.0,2.0,2.1,2.1
"07890  Mickelspiltom (Loviisa)",2.2,2.2,2.2,2.2,2.1
"07900  Loviisa Keskus (Loviisa)",1.7,1.8,1.7,1.7,1.7
"07910  Valko (Loviisa)",1.9,1.8,1.8,1.8,1.8
"07920  Etelä-Harju (Loviisa)",2.0,2.0,2.0,2.0,1.9
"07930  Pernaja Kirkonkylä (Loviisa)",2.2,2.2,2.1,2.0,2.0
"07940  Määrlahti (Loviisa)",1.6,1.6,1.6,1.6,1.6
"07945  Kuggom (Loviisa)",2.1,2.1,2.1,2.1,2.1
"07955  Tesjoki (Loviisa)",2.1,2.2,2.2,2.1,2.1
"07960  Ahvenkoski (Loviisa)",1.9,2.0,1.9,1.9,1.9
"07970  Ruotsinpyhtää Keskus (Loviisa)",1.9,1.9,1.8,1.8,1.9
"07980  Kuninkaankylä (Loviisa)",1.9,1.8,1.8,1.8,1.8
"07990  Ruotsinkylä-Koskisto (Loviisa)",2.2,2.1,2.1,2.1,2.0
"08100  Lohja Keskus (Lohja)",1.7,1.7,1.7,1.7,1.7
