"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 One-person households (TE)","2021 One-person households (TE)","2022 One-person households (TE)","2023 One-person households (TE)","2024 One-person households (TE)"
"03100  Nummela (Vihti)",3290,3353,3386,3354,3341
"03150  Huhmari (Vihti)",83,82,82,76,80
"03220  Tervalampi (Vihti)",49,52,53,54,54
"03250  Ojakkala (Vihti)",159,175,181,190,196
"03300  Otalampi (Vihti)",221,226,229,223,229
"03320  Selki (Vihti)",42,43,47,47,44
"03400  Vihti Kirkonkylä (Vihti)",950,977,967,980,985
"03430  Jokikunta (Vihti)",45,48,53,52,52
"03600  Karkkila Keskus (Karkkila)",1474,1467,1481,1489,1528
"03620  Polari (Karkkila)",408,431,429,435,427
"03710  Uusitalo (Karkkila)",23,21,22,25,29
"03790  Vihtijärvi (Vihti)",60,60,67,59,64
"03810  Ikkala (Lohja)",120,117,128,120,120
"03850  Pusula (Lohja)",314,325,322,323,329
"03870  Hyönölä (Lohja)",25,25,25,27,29
"04130  Sipoo (Sipoo)",1601,1643,1633,1591,1649
"04150  Martinkylä (Sipoo)",52,52,57,66,70
"04170  Paippinen (Sipoo)",96,97,112,109,115
"04200  Kerava Keskus (Kerava)",3479,3471,3492,3562,3598
"04220  Ahjo-Kaskela (Kerava)",886,882,925,891,874
"04230  Pihkaniitty (Kerava)",1186,1229,1287,1312,1297
"04240  Talma (Sipoo)",95,92,99,103,97
"04250  Alikerava (Kerava)",1582,1637,1736,1780,1781
"04260  Savio (Kerava)",1427,1419,1477,1514,1545
"04300  Hyrylä (Tuusula)",1987,2260,2490,2830,3063
"04310  Tuusula Kirkonkylä (Tuusula)",293,296,298,314,303
"04320  Riihikallio (Tuusula)",943,949,961,996,1062
"04330  Lahela (Tuusula)",163,189,204,217,224
"04340  Mattila (Tuusula)",359,357,415,446,455
"04350  Nahkela (Tuusula)",47,51,54,58,65
"04360  Ruotsinkylä-Kiilinmäki (Tuusula)",122,120,123,128,122
"04370  Rusutjärvi (Tuusula)",67,71,69,69,70
"04380  Tuomala (Tuusula)",65,62,71,68,70
"04390  Jäniksenlinna (Tuusula)",43,43,53,57,51
"04400  Loutti (Järvenpää)",3224,3300,3444,3586,3622
"04410  Järvenpää Keskus (Järvenpää)",3180,3374,3403,3534,3490
"04420  Kyrölä (Järvenpää)",557,571,576,617,682
"04430  Kinnari-Mikonkorpi (Järvenpää)",1291,1376,1402,1459,1533
"04440  Jamppa (Järvenpää)",1194,1200,1199,1150,1094
"04460  Nummenkylä (Järvenpää)",236,232,226,246,247
"04480  Haarajoki (Järvenpää)",160,161,161,151,157
