"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 One-person households (TE)","2021 One-person households (TE)","2022 One-person households (TE)","2023 One-person households (TE)","2024 One-person households (TE)"
"45410  Utti (Kouvola)",100,103,114,114,117
"45460  Savero (Kouvola)",27,25,27,29,30
"45610  Koria (Kouvola)",964,975,998,983,977
"45700  Kuusankoski Keskus (Kouvola)",2825,2838,2841,2898,2903
"45720  Kotiharju-Puhjonmäki (Kouvola)",522,522,520,519,506
"45740  Maunuksela (Kouvola)",441,463,478,488,491
"45750  Kuusankosken Sairaala-alue (Kouvola)",25,...,...,21,29
"45810  Pilkanmaa (Kouvola)",221,225,238,235,241
"45910  Voikkaa (Kouvola)",660,661,638,642,641
"45940  Oravala (Kouvola)",39,42,45,49,53
"46110  Tuohikotti (Kouvola)",59,61,66,65,68
"46140  Vekaranjärvi (Kouvola)",43,45,48,41,43
"46230  Aro (Kouvola)",65,65,66,65,64
"46400  Kaipiainen (Kouvola)",110,109,114,111,102
"46430  Tirva-Inkerilä (Kouvola)",43,41,42,39,35
"46450  Enäjärvi (Kouvola)",25,24,23,25,24
"46530  Kannuskoski (Luumäki)",38,35,37,32,34
"46570  Saaramaa (Kouvola)",...,...,...,...,...
"46710  Sippola (Kouvola)",158,166,157,155,159
"46730  Ruotila (Kouvola)",16,15,14,17,18
"46750  Liikkala (Kouvola)",43,45,46,50,52
"46800  Myllykoski (Kouvola)",1216,1222,1174,1181,1169
"46810  Ummeljoki (Kouvola)",226,240,248,245,240
"46860  Anjalankoski Keskus (Kouvola)",132,137,142,135,141
"46900  Inkeroinen (Kouvola)",900,915,933,928,932
"46910  Anjala (Kouvola)",409,414,419,398,397
"46930  Huruksela (Kotka)",42,41,41,39,35
"46950  Ahvio (Kouvola)",...,...,...,...,...
"46960  Muhniemi (Kouvola)",33,33,34,32,31
"47110  Löytty (Kouvola)",16,15,15,14,18
"47150  Raussila (Kouvola)",30,31,28,30,33
"47200  Elimäki kk (Kouvola)",543,559,535,540,534
"47260  Ratula (Kouvola)",20,21,20,19,20
"47310  Haapa-Kimola (Iitti)",46,46,46,49,47
"47350  Kimonkylä (Lapinjärvi)",21,23,21,22,24
"47400  Kausala (Iitti)",1177,1197,1200,1221,1208
"47440  Sääskjärvi (Iitti)",22,21,22,25,25
"47450  Perheniemi (Iitti)",40,35,35,34,35
"47460  Hiisiö (Iitti)",15,15,15,...,14
"47490  Mankala-Hiisiö (Iitti)",70,74,72,70,64
"47520  Iitti kk (Iitti)",25,21,22,24,24
"47540  Lyöttilä (Iitti)",29,30,38,36,33
"47610  Kymentaka (Iitti)",23,22,27,28,26
"47650  Kimola (Kouvola)",35,31,35,33,35
"47710  Jaala kk (Kouvola)",261,254,268,257,246
"47760  Huhdasjärvi (Kouvola)",39,39,39,39,43
"47810  Selänpää (Kouvola)",60,62,59,57,60
"47830  Hasula (Kouvola)",26,30,31,28,32
"47850  Verla (Kouvola)",24,27,26,23,25
"47900  Vuohijärvi (Kouvola)",83,92,89,88,86
"47910  Hillosensalmi (Kouvola)",...,...,...,...,...
"48100  Kotkansaari (Kotka)",4633,4657,4641,4672,4739
"48130  Katariina (Kotka)",185,175,179,184,180
"48200  Hovinsaari (Kotka)",808,789,789,799,778
"48210  Toukolan Sairaala-Alue (Kotka)",62,56,55,50,56
"48220  Metsola (Kotka)",258,255,262,251,249
"48230  Korela-Jylppy (Kotka)",341,354,345,343,346
"48300  Ruonala (Kotka)",144,140,138,151,147
"48310  Mussalo (Kotka)",560,576,607,599,616
"48350  Karhuvuori (Kotka)",1290,1295,1273,1280,1244
"48400  Sutela (Kotka)",756,773,751,767,751
"48410  Kaukola (Kotka)",189,191,194,207,206
"48600  Karhula (Kotka)",2485,2510,2497,2504,2523
"48700  Kyminlinna (Kotka)",669,661,671,682,685
"48710  Koivula (Kotka)",103,114,125,129,132
"48720  Kymi (Kotka)",216,226,235,240,233
"48750  Nikeli (Kotka)",32,30,29,29,33
"48770  Ristinkallio (Kotka)",334,347,342,352,345
"48800  Otsola-Mäntykangas (Kotka)",241,242,240,260,255
"48810  Rantahaka (Kotka)",95,97,101,100,104
"48900  Sunila (Kotka)",401,395,405,400,394
"48910  Suulisniemi (Kotka)",295,281,287,289,286
"48930  Tiutinen (Kotka)",45,41,36,39,39
"49200  Heinlahti (Pyhtää)",88,90,85,81,77
"49210  Huutjärvi (Pyhtää)",169,168,180,176,184
"49220  Siltakylä (Pyhtää)",279,279,303,301,306
"49240  Purolanlahti (Pyhtää)",60,65,66,67,70
"49270  Pyhtää kk (Pyhtää)",183,179,187,176,183
"49290  Vastila (Pyhtää)",60,55,65,66,58
"49300  Tavastila (Kotka)",95,102,103,106,98
"49340  Juurikorpi (Kotka)",23,20,19,17,19
"49400  Hamina Keskus (Hamina)",2592,2613,2696,2734,2700
"49410  Poitsila (Hamina)",392,413,406,411,423
"49420  Uusi-Summa (Hamina)",339,362,368,372,366
"49460  Hillo (Hamina)",389,393,386,376,376
"49480  Vanha-Summa (Hamina)",57,57,64,62,66
"49490  Neuvoton (Hamina)",216,217,231,230,220
"49510  Husula (Hamina)",317,311,316,323,329
"49520  Reitkalli (Hamina)",38,36,35,39,40
"49540  Metsäkylä (Hamina)",57,60,53,53,58
"49570  Kannusjärvi (Hamina)",60,60,59,59,60
"49610  Sivatti (Hamina)",12,12,9,9,14
"49630  Vehkajoki (Hamina)",20,21,22,20,16
"49640  Paijärvi (Hamina)",28,28,25,27,30
"49660  Pyhältö (Hamina)",97,91,95,87,90
"49700  Miehikkälä Kirkonkylä (Miehikkälä)",184,195,201,191,187
"49720  Hurttala (Miehikkälä)",...,...,...,...,...
"49730  Muurikkala (Miehikkälä)",71,71,69,73,67
"49750  Kalliokoski (Miehikkälä)",32,33,33,31,30
"49760  Suur-Miehikkälä (Miehikkälä)",46,49,50,51,52
"49770  Salo-Miehikkälä (Miehikkälä)",42,44,47,49,46
"49780  Onkamaa (Hamina)",15,18,18,17,17
"49840  Mäntlahti (Hamina)",35,35,33,36,35
"49860  Klamila (Virolahti)",136,133,128,118,126
"49900  Virolahti Keskus (Virolahti)",435,423,424,424,424
"49930  Vaalimaa (Virolahti)",23,21,24,24,26
"49960  Ala-Pihlaja (Virolahti)",31,32,37,39,36
"49980  Ravijoki (Virolahti)",34,37,43,44,42
"50100  Mikkeli Keskus (Mikkeli)",3841,4011,4042,4160,4156
"50120  Siekkilä (Mikkeli)",488,500,523,520,511
"50130  Nuijamies (Mikkeli)",747,773,781,807,841
"50150  Tusku (Mikkeli)",273,271,261,256,263
"50160  Kattilansilta (Mikkeli)",873,868,868,850,874
"50170  Peitsari (Mikkeli)",1322,1369,1387,1373,1400
"50180  Visulahti (Mikkeli)",60,55,58,63,67
"50190  Tuppurala (Mikkeli)",1269,1305,1319,1337,1318
"50200  Kovala (Mikkeli)",56,56,58,58,54
"50300  Rämälä (Mikkeli)",38,35,36,43,42
"50350  Norola (Mikkeli)",29,25,27,29,33
"50500  Tuukkala-Kaituenmäki (Mikkeli)",303,322,314,322,310
"50520  Moision Sairaala-alue (Mikkeli)",55,56,56,61,55
"50600  Karikko (Mikkeli)",649,658,687,697,697
"50670  Otava (Mikkeli)",319,321,327,323,332
"50700  Syysjärvi (Mikkeli)",81,75,73,67,70
"50770  Korpikoski (Mikkeli)",33,33,32,30,29
"50800  Annilanselkä (Mikkeli)",49,49,48,51,53
"50970  Ihastjärvi (Mikkeli)",449,458,460,447,454
"51130  Vanhamäki (Mikkeli)",30,31,32,31,33
"51200  Kangasniemi Keskus (Kangasniemi)",1104,1104,1078,1087,1072
"51260  Tahkomäki (Kangasniemi)",20,19,16,17,14
"51270  Kutemajärvi (Kangasniemi)",36,35,36,30,30
"51310  Levä (Kangasniemi)",24,26,27,26,26
"51335  Kaihlamäki (Kangasniemi)",...,...,...,...,...
"51340  Hännilä-Särkiharju (Kangasniemi)",46,44,43,42,43
"51360  Koivula-Synsiö (Kangasniemi)",32,33,33,28,28
"51380  Synsiö (Kangasniemi)",...,...,...,...,...
"51420  Harjumaa-Pajulankylä (Mikkeli)",42,42,39,39,41
"51430  Läsäkoski (Kangasniemi)",12,15,14,15,15
"51440  Vuojalahti (Kangasniemi)",49,49,44,40,42
"51450  Pajulankylä (Mikkeli)",...,...,...,...,...
"51460  Luusniemi (Kangasniemi)",35,37,36,35,41
"51520  Hiirola (Mikkeli)",73,73,78,76,76
"51540  Kalvitsa (Mikkeli)",44,42,45,49,53
"51600  Haukivuori Keskus-Pitkäaho (Mikkeli)",334,342,332,335,330
"51620  Pitkäaho (Mikkeli)",...,...,...,...,...
"51670  Nykälä (Mikkeli)",25,33,36,33,36
"51720  Rahula (Mikkeli)",36,35,36,39,42
"51740  Huuhanaho (Mikkeli)",32,32,31,37,38
"51760  Nuutilanmäki (Juva)",47,52,55,52,53
"51780  Kuosmala (Juva)",28,27,26,26,25
"51810  Maivala (Juva)",27,28,28,25,24
"51820  Hatsola (Juva)",50,45,47,45,52
"51850  Vuorenmaa (Juva)",40,40,38,38,42
"51860  Narila (Juva)",13,14,12,13,13
"51880  Koikkala (Juva)",47,46,48,47,47
"51890  Risulahti (Juva)",7,11,13,14,15
"51900  Juva Keskus (Juva)",1127,1138,1113,1135,1148
"51930  Paatela (Juva)",27,29,26,26,25
"51940  Härkälä (Juva)",25,22,21,22,23
"51980  Lauteala (Juva)",38,40,39,38,39
"52100  Anttola (Mikkeli)",271,285,295,298,302
"52110  Majavesi (Mikkeli)",45,48,44,41,43
"52150  Hauhala (Mikkeli)",21,25,24,27,23
"52200  Puumala Keskus (Puumala)",470,474,480,481,481
"52230  Hurissalo (Puumala)",47,47,48,47,46
"52270  Ryhälä (Puumala)",...,...,...,...,...
"52300  Ristiina Keskus (Mikkeli)",639,638,642,615,626
"52320  Vitsiälä (Mikkeli)",45,52,55,59,58
"52330  Heimari (Mikkeli)",...,...,...,...,...
"52340  Hangastenmaa (Mikkeli)",41,45,39,40,38
"52360  Someenjärvi (Mikkeli)",21,19,18,19,18
"52420  Pellosniemi (Mikkeli)",155,152,159,152,167
"52510  Hietanen (Hirvensalmi)",88,92,92,95,98
"52520  Syväsmäki (Hirvensalmi)",20,20,21,19,22
"52550  Hirvensalmi Keskus (Hirvensalmi)",411,402,386,383,382
"52610  Tuukkalanlahti (Hirvensalmi)",30,31,32,35,35
"52620  Kuitula (Hirvensalmi)",21,19,23,24,26
"52700  Mäntyharju Keskus (Mäntyharju)",1285,1298,1290,1276,1269
"52720  Karankamäki-Koirakivi (Mäntyharju)",27,24,22,26,29
"52730  Koirakivi (Mäntyharju)",22,23,23,21,19
"52740  Tuustaipale (Mäntyharju)",65,60,57,54,57
"52760  Mynttilä (Mäntyharju)",21,24,24,24,26
"52780  Kuomiokoski (Mikkeli)",27,26,24,27,26
"52830  Suomenniemi (Mikkeli)",160,159,156,150,150
"52850  Halmeniemi (Mäntyharju)",22,20,24,20,22
"52890  Käävänkylä (Mäntyharju)",15,16,17,17,19
"52920  Voikoski (Kouvola)",34,33,32,28,25
"52960  Nurmaa (Mäntyharju)",26,26,25,26,25
"52970  Pankalahti-Ahvenainen (Mäntyharju)",14,14,16,15,18
"52980  Ahvenainen (Mäntyharju)",...,...,...,...,...
"53100  Lappeenranta keskus (Lappeenranta)",4599,4657,4770,4864,4885
"53130  Keskussairaala-alue-Kimpinen (Lappeenranta)",209,209,228,221,213
"53200  Kaukas-Tirilä (Lappeenranta)",479,475,486,469,464
"53300  Lauritsala-Mälkiä (Lappeenranta)",1764,1810,1846,1822,1853
"53400  Laihia (Lappeenranta)",205,216,220,213,217
"53420  Mustola (Lappeenranta)",69,72,68,70,77
"53500  Parkkarila-Harapainen-Reijola (Lappeenranta)",726,730,721,716,709
"53550  Kourulanmäki (Lappeenranta)",142,160,185,188,189
"53600  Kesämäki (Lappeenranta)",940,953,935,945,944
"53650  Mattila-Kuusela (Lappeenranta)",356,361,368,386,378
"53810  Kuusimäki-Lavola (Lappeenranta)",1230,1222,1231,1275,1276
"53830  Rutola (Lappeenranta)",27,25,28,31,30
"53850  Skinnarila (Taipalsaari)",2774,2810,2889,2868,2757
"53900  Pallo-Tysterniemi-Leiri (Lappeenranta)",1186,1227,1263,1375,1367
"53920  Voisalmi (Lappeenranta)",1044,1063,1050,1049,1056
"53950  Kivisalmi (Lappeenranta)",510,508,512,518,520
"54100  Joutseno Keskus (Lappeenranta)",1113,1146,1157,1164,1165
"54110  Lampikangas (Lappeenranta)",193,196,205,200,207
"54120  Pulp (Lappeenranta)",317,325,303,307,305
"54190  Konnunsuo (Lappeenranta)",20,16,16,16,16
"54230  Nuijamaa (Lappeenranta)",129,127,129,125,123
"54250  Rapattila (Lappeenranta)",25,26,25,25,26
"54260  Hanhijärvi (Lappeenranta)",69,64,70,70,74
"54270  Vainikkala (Lappeenranta)",76,71,77,80,75
"54300  Vilkjärvi (Lappeenranta)",108,113,121,109,115
"54310  Hytti (Lappeenranta)",45,40,39,38,35
"54330  Simola (Lappeenranta)",62,60,56,57,54
"54390  Pulsa (Lappeenranta)",30,26,30,32,33
"54410  Ylämaa Keskus (Lappeenranta)",192,200,199,201,187
"54430  Hujakkala (Lappeenranta)",31,33,37,33,34
"54460  Ylijärvi (Lappeenranta)",18,19,19,19,17
"54490  Ahomäki (Miehikkälä)",35,35,33,33,36
"54500  Taavetti-Somerharju (Luumäki)",760,773,764,758,760
"54510  Uro (Luumäki)",65,68,66,66,62
"54530  Luumäki (Luumäki)",221,221,228,218,224
"54550  Suo-Anttila (Luumäki)",12,11,12,14,12
"54580  Somerharju (Luumäki)",...,...,...,...,...
"54590  Kaitjärvi (Luumäki)",27,27,26,26,26
"54710  Lemi Keskus (Lemi)",339,341,336,341,341
"54720  Laksiainen (Lemi)",22,22,20,21,19
"54750  Välijoki (Savitaipale)",48,53,56,58,54
"54770  Heituinlahti (Savitaipale)",101,110,102,97,100
"54800  Savitaipale Keskus (Savitaipale)",651,649,663,639,646
"54820  Kotimäki (Lemi)",36,38,39,44,38
"54850  Kuukanniemi (Lemi)",131,138,133,140,143
"54915  Saimaanharju-Kyläniemi (Taipalsaari)",238,231,248,252,264
"54920  Taipalsaari (Taipalsaari)",250,244,241,239,241
"54930  Levänen (Taipalsaari)",46,49,49,44,50
"54940  Solkei (Taipalsaari)",30,31,31,28,22
"54950  Pettilä (Savitaipale)",30,30,29,27,28
"54960  Vehkataipale (Taipalsaari)",81,84,81,80,88
"55100  Imatra Keskus (Imatra)",2626,2575,2592,2562,2595
"55120  Mansikkala-Tuulikallio (Imatra)",1113,1125,1113,1107,1092
"55300  Rauha-Tiuruniemi (Lappeenranta)",221,230,215,216,206
"55320  Rauha (Lappeenranta)",119,118,127,124,132
"55330  Tiuruniemi (Lappeenranta)",16,22,22,24,21
"55400  Tainionkoski-Mustalampi (Imatra)",231,238,235,234,240
"55420  Karhumäki-Karhukallio (Imatra)",329,328,335,317,306
"55510  Sotkulampi-Linnasuo (Imatra)",495,482,485,480,487
"55610  Rajapatsas-Teppanala (Imatra)",705,713,720,724,714
"55700  Vintteri-Virasoja (Imatra)",244,256,250,252,259
"55800  Vuoksenniska-Saarlampi (Imatra)",1229,1250,1248,1239,1228
"55910  Rautio-Kurkvuori (Imatra)",311,321,328,325,332
"56100  Ruokolahti Keskus (Ruokolahti)",539,549,550,537,533
"56120  Salosaari (Ruokolahti)",103,110,108,107,106
"56140  Äitsaari (Ruokolahti)",42,44,48,48,48
"56210  Virmutjoki (Ruokolahti)",64,63,63,68,73
"56310  Syyspohja (Ruokolahti)",34,37,32,32,35
"56330  Utula (Ruokolahti)",...,...,...,...,...
"56350  Kyläniemi (Taipalsaari)",...,...,...,...,...
"56410  Kaiturinpää (Ruokolahti)",13,9,13,17,17
"56440  Pohja-Lankila (Ruokolahti)",38,37,40,41,42
"56510  Puntala (Ruokolahti)",62,65,68,71,66
"56550  Niska-Pietilä (Rautjärvi)",18,16,19,23,24
"56610  Rautjärvi (Rautjärvi)",142,136,135,137,128
"56640  Purnujärvi (Rautjärvi)",16,17,17,19,17
"56710  Miettilä (Rautjärvi)",31,27,29,27,26
"56730  Laikko (Rautjärvi)",58,62,61,56,58
"56800  Simpele (Rautjärvi)",605,619,636,617,608
"57100  Heikinpohja-Piispanmäki (Savonlinna)",1702,1745,1731,1779,1836
"57120  Savonlinna (Savonlinna)",...,...,...,...,...
"57130  Savonlinna Keskus (Savonlinna)",869,895,875,890,883
"57170  Sortteerinlahti-Talvisalo (Savonlinna)",769,807,831,818,814
"57200  Miekonniemi-Venäjänniemi (Savonlinna)",610,624,626,615,644
"57210  Nojanmaa (Savonlinna)",508,514,514,522,527
"57220  Savonlinna (Savonlinna)",1055,1083,1090,1076,1086
"57230  Inkerinkylä (Savonlinna)",87,89,85,86,83
"57310  Savonlinna (Savonlinna)",123,126,126,125,127
"57510  Laitaatsilta (Savonlinna)",68,65,67,66,69
"57600  Poukkusilta-Pihlajaniemi (Savonlinna)",208,197,194,198,208
"57710  Kellarpelto-Rantakoivikko (Savonlinna)",440,450,435,448,443
"57810  Savonlinna (Savonlinna)",66,67,70,69,68
"58130  Oravi (Savonlinna)",31,33,31,30,20
"58140  Ahvensalmi (Savonlinna)",17,15,14,10,8
"58150  Makkola (Savonlinna)",23,24,29,30,32
"58160  Karvila (Enonkoski)",27,29,29,24,25
"58170  Simanala (Enonkoski)",27,29,29,31,27
"58175  Enonkoski Keskus (Enonkoski)",229,237,224,227,231
"58180  Ihamaniemi (Enonkoski)",28,29,28,28,31
"58200  Kerimäki Keskus (Savonlinna)",751,757,760,751,729
"58220  Louhi (Savonlinna)",70,76,77,75,73
"58260  Kumpuranta (Savonlinna)",24,27,27,28,29
"58300  Savonranta Keskus (Savonlinna)",178,174,173,179,174
"58320  Raikuu (Savonlinna)",36,32,32,35,35
"58350  Villala (Kitee)",52,56,50,48,47
"58360  Säimen (Savonlinna)",36,34,35,35,35
"58390  Rönkönvaara (Savonlinna)",19,18,17,16,17
"58410  Haapakallio (Savonlinna)",68,71,74,78,86
"58420  Silvola (Savonlinna)",24,27,25,31,26
"58430  Kulennoinen (Savonlinna)",47,47,52,57,55
"58450  Punkaharju (Savonlinna)",55,62,59,56,59
"58500  Punkasalmi (Savonlinna)",447,455,448,435,434
"58520  Hiukkajoki (Savonlinna)",50,51,55,50,51
"58550  Putikko (Savonlinna)",73,71,68,66,67
"58570  Ruhvana (Savonlinna)",...,...,...,9,9
"58580  Vuoriniemi (Savonlinna)",17,18,18,18,15
"58610  Telakanava (Sulkava)",18,19,20,16,14
"58620  Lohilahti (Sulkava)",66,74,68,64,68
"58650  Kiviapaja (Savonlinna)",17,16,18,15,17
"58680  Piojärvi (Savonlinna)",...,...,...,...,...
"58690  Ala-Särkilahti-Piojärvi (Savonlinna)",10,17,22,21,21
"58700  Sulkava Keskus (Sulkava)",512,513,497,499,500
"58720  Kaartilankoski (Sulkava)",35,32,29,31,33
"58770  Pihlajalahti (Savonlinna)",38,45,41,38,33
"58810  Kallislahti (Savonlinna)",44,47,48,53,55
"58830  Parkumäki (Rantasalmi)",27,30,29,34,30
"58850  Hiltula (Rantasalmi)",15,17,17,18,18
"58900  Rantasalmi Keskus (Rantasalmi)",563,586,604,593,588
"58910  Rantasalmi Asemanseutu (Rantasalmi)",33,30,33,31,37
"58920  Kolkontaipale (Rantasalmi)",58,56,58,57,53
"58940  Tuusmäki (Rantasalmi)",32,32,29,33,31
"59100  Parikkala Keskus (Parikkala)",645,638,643,641,644
"59130  Koitsanlahti (Parikkala)",29,35,34,34,34
"59210  Melkoniemi (Parikkala)",23,22,22,22,26
"59310  Särkisalmi (Parikkala)",180,180,176,175,180
"59320  Haapaoja (Parikkala)",14,14,15,12,14
"59410  Kirjavala (Parikkala)",81,84,81,82,84
"59510  Maironiemi (Parikkala)",112,112,101,90,91
"59520  Saari (Parikkala)",17,16,13,11,13
"59530  Mikkolanniemi (Parikkala)",14,11,10,10,8
"59610  Tarnala (Parikkala)",34,34,35,32,33
"59710  Kummunkylä (Parikkala)",22,20,19,18,17
"59720  Niukkala (Parikkala)",42,41,38,35,31
"59730  Uukuniemi (Parikkala)",27,26,28,26,26
"59800  Kesälahti Keskus (Kitee)",371,388,386,387,380
"59810  Suurikylä (Kitee)",23,23,21,20,25
"59820  Purujärvi-Rajavaara (Kitee)",24,26,29,31,27
"60100  Seinäjoki Keskus (Seinäjoki)",4703,4865,4972,5124,5102
"60120  Pohja (Seinäjoki)",820,859,841,845,868
"60150  Kasperi (Seinäjoki)",1166,1176,1153,1152,1173
"60200  Törnävä (Seinäjoki)",2169,2234,2288,2313,2334
"60220  Huhtala (Seinäjoki)",647,671,671,695,705
"60280  Eskoon Keskuslaitosalue (Seinäjoki)",...,...,...,...,...
"60320  Alakylä-Jouppi (Seinäjoki)",1522,1521,1532,1546,1547
"60420  Impivaara (Seinäjoki)",85,87,92,94,99
"60450  Munakka (Ilmajoki)",45,42,44,47,44
"60510  Hyllykallio (Seinäjoki)",1382,1427,1447,1451,1483
"60550  Nurmo Keskus (Seinäjoki)",602,626,640,638,632
"60560  Halkosaari (Seinäjoki)",58,57,51,49,51
"60640  Kurjenneva (Seinäjoki)",45,41,38,44,45
"60720  Tuomikylä (Ilmajoki)",185,190,196,202,205
"60760  Pojanluoma (Ilmajoki)",83,85,86,91,92
"60800  Ilmajoki Keskus (Ilmajoki)",1138,1141,1167,1215,1209
"61100  Peräseinäjoki Keskus (Seinäjoki)",425,427,437,448,456
"61110  Vuolle (Seinäjoki)",24,27,28,27,25
"61120  Louko (Seinäjoki)",50,51,50,56,52
"61140  Pasto (Seinäjoki)",15,14,16,17,18
"61150  Sydänmaa (Alavus)",11,...,12,13,15
"61160  Koura (Seinäjoki)",72,75,76,76,77
"61170  Sääskiniemi (Alavus)",40,40,44,40,43
"61180  Haapaluoma (Seinäjoki)",37,36,39,33,36
"61220  Myllysalo (Kurikka)",39,43,37,41,47
"61230  Luopa (Kurikka)",85,73,75,75,71
"61250  Jalasto (Kurikka)",35,36,33,30,35
"61270  Luopajärvi (Kurikka)",67,78,71,70,66
"61280  Jokipii (Kurikka)",70,72,76,73,73
"61290  Taivalmaa (Kurikka)",28,26,28,23,21
"61300  Kurikka Keskus (Kurikka)",1409,1436,1401,1423,1413
"61310  Panttila (Kurikka)",106,108,106,103,100
"61330  Koskenkorva (Ilmajoki)",334,346,353,337,329
"61340  Nopankylä (Ilmajoki)",36,35,37,34,37
"61350  Huissi (Ilmajoki)",55,56,47,47,52
"61360  Mieto (Kurikka)",131,129,134,136,139
"61370  Lohiluoma (Kurikka)",44,48,52,48,48
"61380  Polvenkylä (Kurikka)",17,17,18,17,17
"61400  Ylistaro Keskus (Seinäjoki)",461,471,468,445,461
"61410  Ylistaro Asemanseutu (Seinäjoki)",107,98,103,104,106
"61430  Isorehto (Seinäjoki)",49,44,39,38,40
"61440  Untamala (Seinäjoki)",29,30,30,32,34
"61450  Kylänpää (Seinäjoki)",96,99,96,95,92
"61460  Hanhikoski (Seinäjoki)",33,35,31,33,31
"61470  Kitinoja (Seinäjoki)",52,49,48,49,49
"61500  Isokyrö Keskus (Isokyrö)",557,558,578,570,568
"61520  Lehmäjoki (Isokyrö)",44,42,49,46,41
"61550  Orismala (Isokyrö)",111,114,111,111,99
"61560  Orisberg (Isokyrö)",...,...,...,...,...
"61600  Jalasjärvi Keskus (Kurikka)",982,994,1001,1027,1023
"61630  Hirvijärvi (Kurikka)",39,34,39,40,44
"61640  Ala-Valli (Kurikka)",34,35,33,33,33
"61650  Kalakoski (Seinäjoki)",68,71,75,73,65
"61680  Mantila (Kurikka)",39,40,39,35,33
"61710  Pentinmäki (Kurikka)",26,27,27,28,31
"61720  Koskue (Kurikka)",70,77,78,77,80
"61730  Yli-Valli (Kurikka)",41,41,43,46,43
"61760  Ilvesjoki (Kurikka)",42,41,45,44,44
"61800  Kauhajoki Keskus (Kauhajoki)",1824,1869,1887,1878,1883
"61810  Luomankylä (Kauhajoki)",34,35,39,41,37
"61820  Kainasto (Kauhajoki)",100,100,106,113,97
"61840  Norinkylä (Teuva)",54,50,51,56,56
"61850  Kauhajoki Asemanseutu (Kauhajoki)",393,376,344,337,324
"61860  Harja (Kauhajoki)",30,30,26,28,22
"61880  Ikkeläjärvi (Kauhajoki)",28,26,28,31,31
"61910  Nummijärvi (Kauhajoki)",42,47,48,43,47
"61920  Nummikoski (Kauhajoki)",...,...,...,...,...
"61940  Hyyppä (Kauhajoki)",46,46,51,43,48
"61950  Juonikylä (Kauhajoki)",38,43,42,41,40
"61960  Kyrönlatva (Kauhajoki)",28,26,23,25,24
"61980  Päntäne (Kauhajoki)",170,188,179,172,175
"62100  Lapua Keskus (Lapua)",2033,2100,2175,2166,2184
"62130  Hellanmaa (Lapua)",52,55,56,55,51
"62150  Rintakangas (Kauhava)",15,12,13,12,13
"62160  Karhunkylä (Lapua)",64,67,70,69,64
"62165  Tiisteenjoki (Lapua)",50,50,50,47,52
"62170  Lakaluoma (Lapua)",33,33,37,34,35
"62175  Ylikylä-Mäenpää (Lapua)",22,24,25,22,24
"62185  Mäki-Paavola (Lapua)",13,12,10,10,11
"62190  Ruha (Lapua)",66,62,66,64,66
"62200  Kauhava Keskus (Kauhava)",1154,1154,1169,1203,1206
"62220  Pernaa (Kauhava)",65,56,60,58,60
"62230  Jylhä (Kauhava)",50,49,50,50,50
"62240  Huhmarkoski (Kauhava)",90,89,88,87,88
"62260  Hirvijoki (Kauhava)",28,30,31,34,31
"62280  Mustamaa (Lapua)",15,13,13,11,11
"62290  Hirvikylä (Lapua)",29,27,28,32,30
"62295  Kauhajärvi (Lapua)",68,66,69,69,73
"62300  Härmä (Kauhava)",472,485,489,488,482
"62310  Voltti (Kauhava)",175,164,182,179,171
"62340  Kuoppa-Vakkuri (Kauhava)",21,23,20,23,22
"62350  Ekola (Kauhava)",17,14,16,16,16
"62370  Kangasto (Kauhava)",28,28,30,29,27
"62375  Ylihärmä Keskus-Vesiluoma (Kauhava)",454,463,467,469,467
"62380  Kosolankylä (Kauhava)",40,42,40,41,40
"62395  Petterinmäki (Vörå)",22,20,19,19,23
"62410  Rintala (Kauhava)",32,34,31,31,38
"62420  Kortesjärvi Keskus (Kauhava)",195,203,191,208,211
"62430  Peltotupa (Kauhava)",13,10,11,11,13
"62435  Pirttinen (Kauhava)",12,13,12,12,10
"62440  Perkiömäki (Kauhava)",20,20,16,13,9
"62470  Purmojärvi (Kauhava)",61,66,71,70,70
"62500  Evijärvi Keskus (Evijärvi)",281,295,276,270,279
"62510  Kuoppa-aho (Evijärvi)",40,41,40,41,41
"62520  Kautiainen (Evijärvi)",22,19,17,19,18
"62540  Vasikka-aho (Evijärvi)",45,44,44,44,42
"62570  Särkilä (Evijärvi)",30,30,35,34,34
"62600  Lappajärvi Keskus (Lappajärvi)",313,322,331,334,343
"62610  Tarvola (Lappajärvi)",19,25,30,29,27
"62620  Ala-Seppä (Lappajärvi)",24,22,22,23,24
"62630  Karvala (Lappajärvi)",49,51,51,51,54
"62640  Savonkylä (Lappajärvi)",15,14,13,17,16
"62660  Itäkylä (Lappajärvi)",66,66,67,71,73
"62710  Kurejoki (Alajärvi)",77,79,79,82,94
"62720  Sissala (Alajärvi)",24,22,24,24,24
"62730  Haukkala (Alajärvi)",18,18,17,19,20
"62740  Koskenvarsi (Alajärvi)",24,25,23,21,21
"62750  Saukonkylä (Alajärvi)",28,31,34,36,35
"62760  Menkijärvi (Alajärvi)",36,40,37,41,39
"62800  Vimpeli Keskus (Vimpeli)",385,384,392,406,420
"62810  Savonjoki (Vimpeli)",13,16,16,14,16
"62830  Luoma-Aho (Alajärvi)",27,33,34,34,37
"62840  Lakaniemi-Pokela (Vimpeli)",...,...,...,...,...
