"12f3 -- 5. Households' disposable monetary income, 2010-2024"

"Postal code area","2020 Average income of households (TR)","2021 Average income of households (TR)","2022 Average income of households (TR)","2023 Average income of households (TR)","2024 Average income of households (TR)"
"04260  Savio (Kerava)",42300,43851,45104,45999,47498
"04300  Hyrylä (Tuusula)",50497,51715,52660,51837,53490
"04310  Tuusula Kirkonkylä (Tuusula)",67301,70745,74553,75904,77901
"04320  Riihikallio (Tuusula)",51086,52265,52257,53046,53332
"04330  Lahela (Tuusula)",69068,73851,70414,74613,74396
"04340  Mattila (Tuusula)",51292,53709,53805,55048,55916
"04350  Nahkela (Tuusula)",73234,65949,66284,66638,97635
"04360  Ruotsinkylä-Kiilinmäki (Tuusula)",59462,60047,64259,64231,66890
"04370  Rusutjärvi (Tuusula)",59234,60845,64080,65233,66848
"04380  Tuomala (Tuusula)",65444,69358,78925,74516,74399
"04390  Jäniksenlinna (Tuusula)",58703,58773,60262,62492,67383
"04400  Loutti (Järvenpää)",40354,42027,43146,44442,45711
"04410  Järvenpää Keskus (Järvenpää)",39385,40280,41354,42602,43756
"04420  Kyrölä (Järvenpää)",53347,53374,55600,56156,57450
"04430  Kinnari-Mikonkorpi (Järvenpää)",53698,54451,56213,58101,58872
"04440  Jamppa (Järvenpää)",36944,37618,38830,40787,41623
"04460  Nummenkylä (Järvenpää)",53461,55848,58618,61592,61967
"04480  Haarajoki (Järvenpää)",62318,64774,67585,70617,72067
"04500  Kellokoski (Tuusula)",51129,52920,55303,57081,59285
"04530  Ohkola (Mäntsälä)",54495,56104,62534,61169,64344
"04600  Mäntsälä Keskus (Mäntsälä)",40502,44907,42827,44190,45744
"04620  Kaunismäki (Mäntsälä)",56881,59930,56111,58619,60326
"04630  Sääksjärvi (Mäntsälä)",51457,52331,54377,57165,59690
"04660  Numminen (Mäntsälä)",54298,58209,59081,60488,63700
"04680  Hirvihaara (Mäntsälä)",53805,53132,60799,59668,62328
"04740  Sälinkää (Mäntsälä)",47948,50232,50581,52520,53980
"04770  Sahakylä (Mäntsälä)",44788,46868,48425,50746,51778
"04820  Kaukalampi (Mäntsälä)",53060,55255,60174,59952,58425
"04840  Hautjärvi (Mäntsälä)",55615,57376,67455,66003,62970
"04920  Saarentaus (Mäntsälä)",46488,48970,50563,51609,53064
"04940  Levanto (Mäntsälä)",48038,51266,53969,53261,54056
"05100  Röykkä (Nurmijärvi)",54438,56244,57284,59680,61146
"05200  Rajamäki (Nurmijärvi)",49509,51474,53150,55706,60908
"05250  Kiljava (Nurmijärvi)",44962,44149,45302,50673,50584
"05400  Jokela (Tuusula)",48950,50566,53133,54222,56480
"05430  Nuppulinna (Tuusula)",54069,55922,59671,62608,63352
"05440  Hyvinkää (Hyvinkää)",61239,58983,63455,63668,68706
"05450  Nukari (Nurmijärvi)",55759,57861,61124,61943,62060
"05460  Hakalanmäki-Hakala (Hyvinkää)",42765,43816,45065,47151,48603
"05470  Palopuro (Hyvinkää)",49409,51158,52911,54346,58383
"05510  Päivärinta (Hyvinkää)",43229,46314,45126,46019,47742
"05620  Noppo (Hyvinkää)",56215,58776,60417,64045,64908
"05720  Kytäjä (Hyvinkää)",61416,62231,65721,67326,70600
"05800  Hyvinkää Keskus (Hyvinkää)",35923,37049,37941,39426,41483
