"12f3 -- 5. Households' disposable monetary income, 2010-2024"

"Postal code area","2020 Average income of households (TR)","2021 Average income of households (TR)","2022 Average income of households (TR)","2023 Average income of households (TR)","2024 Average income of households (TR)"
"10680  Skogby (Raseborg)",41673,44648,48113,50697,51937
"10710  Snappertuna (Raseborg)",48182,53622,58157,57401,66024
"10820  Lappohja (Hanko)",36130,36051,37748,38237,39010
"10900  Hanko Keskus (Hanko)",36847,43894,39881,41437,43080
"10940  Hangonkylä (Hanko)",45803,48639,49035,55489,54656
"10960  Hanko Pohjoinen (Hanko)",41054,42571,45204,45705,48019
"11100  Riihimäki Keskus (Riihimäki)",32601,34309,34420,36126,37026
"11120  Pohjois-Riihimäki (Riihimäki)",41728,43109,44425,46344,47225
"11130  Peltosaari-Patastenmäki (Riihimäki)",40492,42337,43101,44367,45395
"11310  Taka-Kasarmi (Riihimäki)",47255,48143,48347,49289,51137
"11710  Herajoki (Riihimäki)",44270,46618,48870,50346,52106
"11910  Lasi-Kumela (Riihimäki)",42433,43678,45518,47128,48923
"12100  Oitti (Hausjärvi)",38840,40091,41197,42491,44166
"12130  Mommila (Hausjärvi)",45002,44152,44549,46499,50645
"12170  Hietoinen (Hausjärvi)",43963,47076,50351,49118,55397
"12210  Hausjärvi kk (Hausjärvi)",52409,51862,51709,54470,56598
"12240  Hikiä (Hausjärvi)",47942,50397,52272,53368,55924
"12310  Ryttylä (Hausjärvi)",41251,41825,44358,45784,47358
"12350  Turkhauta (Hausjärvi)",44272,46714,48212,51428,53302
"12380  Leppäkoski (Janakkala)",42604,44192,46922,49282,52639
"12400  Tervakoski (Janakkala)",42077,43669,46538,47903,48956
"12450  Vähikkälä (Janakkala)",48507,47050,51106,52382,53242
"12520  Kormu (Loppi)",52114,56028,58074,61084,64338
"12540  Launonen (Loppi)",47551,49264,50689,52175,53609
"12600  Läyliäinen (Loppi)",43877,45435,47370,50448,51742
"12630  Sajaniemi (Loppi)",45976,48544,47191,49435,50755
"12640  Joentaka (Loppi)",50109,50902,49509,52213,51296
"12700  Loppi kk (Loppi)",37406,39004,41104,42023,43739
"12750  Pilpala (Loppi)",41348,42748,46133,47818,47927
"12820  Räyskälä (Loppi)",...,...,...,...,...
"12920  Topeno (Loppi)",44752,45773,48434,50212,53482
"12950  Vojakkala-Eerolankulma (Loppi)",36373,38843,41757,43399,44133
"13100  Hämeenlinna Keskus (Hämeenlinna)",34878,36325,37342,39056,41044
"13110  Kantola (Hämeenlinna)",35553,35025,36770,31739,34039
"13130  Kauriala (Hämeenlinna)",34151,35047,36601,38021,39894
"13200  Keinusaari (Hämeenlinna)",31005,31209,31438,33015,35018
"13210  Hätilä (Hämeenlinna)",39129,40118,41086,42773,44722
"13220  Sairio (Hämeenlinna)",48798,50384,52091,53655,56349
"13250  Katuma (Hämeenlinna)",28988,29818,31533,32330,33229
"13270  Ruununmylly (Hämeenlinna)",58885,61641,67929,71939,69081
"13300  Käikälä (Hämeenlinna)",50614,51516,53973,57646,60347
"13330  Harviala (Janakkala)",57273,59477,61542,65634,66945
"13430  Hattelmala (Hämeenlinna)",51536,53896,56889,59216,61066
"13500  Jukola (Hämeenlinna)",42482,43641,44673,46878,48767
"13530  Hämeenlinna sairaala-alue (Hämeenlinna)",0,0,0,0,0
"13600  Ojoinen (Hämeenlinna)",35720,37098,37818,39291,41559
"13700  Parolannummi (Hattula)",46984,48560,51249,54940,57178
"13720  Parola (Hattula)",42848,44533,46320,48397,49987
"13800  Katinala (Hattula)",44823,47055,48097,52223,52493
"13880  Rahkoila (Hattula)",49985,55173,56039,57132,59602
"13900  Pekola (Hattula)",55566,56736,59588,61927,63464
"14140  Jokimaa (Janakkala)",38988,45660,47449,49901,48307
"14200  Turenki (Janakkala)",38890,40479,42482,43958,45292
"14240  Väli-Janakkala (Janakkala)",49918,52998,54895,56537,58720
"14300  Renko kk (Hämeenlinna)",42464,43458,46425,47063,48757
"14430  Vuohiniemi (Hattula)",35589,37326,38414,37743,41495
"14450  Rimmilä (Hämeenlinna)",39275,42932,41390,40915,41604
"14500  Iittala (Hämeenlinna)",42442,43148,45578,47146,48370
"14530  Leteensuo (Hattula)",48092,48925,52475,53706,58271
"14610  Lepaa (Hattula)",37639,38581,38584,41981,42310
"14620  Tyrväntö (Hattula)",38816,40258,42736,44899,47535
"14680  Alvettula (Hämeenlinna)",44641,47620,46761,50708,53052
"14690  Torvoila (Hämeenlinna)",40150,39691,41459,40165,45113
"14700  Hauho kk (Hämeenlinna)",38046,38608,39784,41775,43134
"14770  Eteläinen (Hämeenlinna)",44155,46042,47716,51210,53071
"14810  Pohjoinen (Hämeenlinna)",43789,44070,45715,47515,49063
"14820  Syrjäntaka (Hämeenlinna)",40218,41243,42177,44118,45404
"14840  Sairiala (Hämeenlinna)",41350,43254,43120,45772,46154
"14870  Juttila (Hämeenlinna)",39332,42453,44003,43720,44259
"14930  Sappee (Hämeenlinna)",37318,40032,36882,43590,42587
"14960  Puutikkala (Pälkäne)",35780,39651,38447,41963,46138
"14980  Kuohijoki (Pälkäne)",...,...,...,...,...
"15100  Lahti Asemanseutu (Lahti)",31584,32987,33624,35247,35765
"15110  Keski-Lahti (Lahti)",31108,33950,33777,33768,35913
"15140  Kartano-Paavola (Lahti)",32746,34149,34868,36218,38131
"15150  Möysä (Lahti)",32455,33622,34937,36188,37721
"15160  Kolava (Lahti)",62793,65471,69968,71175,74910
"15170  Tenava-Tonttila (Lahti)",31649,32611,33543,35114,36070
"15200  Kiveriö (Lahti)",30306,31795,33008,34796,34214
"15210  Kivistönmäki (Lahti)",27649,27875,28924,29819,30337
"15230  Kytölä (Lahti)",49369,51323,52838,54877,55673
"15240  Mukkula (Lahti)",35047,35813,37541,38561,39162
"15270  Kukkila (Hollola)",55359,58098,60709,62458,65713
"15300  Myllypohja-Koiskala (Lahti)",40842,42825,43667,44683,46575
"15320  Ahtiala (Lahti)",50474,54925,54604,56408,58568
"15340  Kunnas-Hiekkanummi (Lahti)",50726,55428,53970,56010,58809
"15460  Mäkelä (Lahti)",50765,56793,55837,61012,65365
"15500  Liipola (Lahti)",27371,27861,28883,29703,31055
"15520  Saksala (Lahti)",30662,31726,32449,33820,34878
"15540  Villähde (Lahti)",50138,52124,53651,55521,57558
"15550  Rakokivi (Lahti)",34789,35037,36427,37817,39200
"15560  Nastola kk (Lahti)",36014,36804,38583,39662,40685
"15580  Ruuhijärvi (Lahti)",42793,44418,47646,47548,52795
"15610  Laune-Nikkilä (Lahti)",44695,47496,48594,49225,56900
"15680  Renkomäki-Ämmälä (Lahti)",56589,58611,60944,63650,67630
"15700  Hennala-Jokimaa (Lahti)",37172,38374,39113,40270,42205
"15800  Kärpänen (Lahti)",32878,33958,35112,36089,37094
"15810  Kasakkamäki (Lahti)",43579,44659,46390,47601,49783
"15820  Okeroinen (Hollola)",52586,54673,55495,58232,59497
"15830  Metsäkangas (Lahti)",33010,33005,34462,35208,37284
"15840  Riihelä (Lahti)",40422,41094,43037,44229,46361
"15850  Likolampi (Lahti)",37720,41446,41184,45838,48516
"15860  Kartano (Hollola)",36626,38414,39527,41382,43397
"15870  Salpakangas (Hollola)",37544,38432,39764,41479,43162
"15880  Soramäki (Hollola)",45324,47707,48717,50393,51971
"15900  Jalkaranta (Lahti)",67745,70863,71381,75176,82084
"15950  Kiikkula (Lahti)",42404,44727,47153,51412,52695
"15980  Messilä (Hollola)",0,0,0,0,0
"16100  Uusikylä (Lahti)",40208,41494,42883,44163,45215
"16160  Okkeri (Lahti)",40017,43264,45551,46309,54452
"16200  Artjärvi Keskus (Orimattila)",36566,35929,38431,40185,38391
"16230  Artjärvi Kirkonkylä (Orimattila)",41061,43411,43324,45052,47059
"16260  Hietana (Orimattila)",40986,47319,54551,49566,49548
"16270  Villikkala (Orimattila)",44427,48057,46124,48170,50231
"16280  Kuivanto (Orimattila)",42061,43225,46146,46543,46889
"16300  Orimattila Keskus (Orimattila)",38183,39134,41148,41756,43364
"16310  Virenoja (Orimattila)",52059,54697,54964,56218,58046
"16320  Pennala (Orimattila)",53729,57043,58473,60185,64647
"16330  Heinämaa (Orimattila)",49340,50968,51796,53375,55312
"16350  Niinikoski (Orimattila)",40584,41930,42821,44800,47082
"16390  Pakaa (Orimattila)",46319,46392,49439,53827,54599
"16450  Mallusjoki (Orimattila)",43910,45396,50182,51241,50400
"16500  Herrala (Hollola)",46707,48864,50739,51400,52744
"16510  Luhtikylä (Orimattila)",47249,47206,50158,54993,57784
"16540  Mertie (Kärkölä)",44211,47429,51890,48046,49947
"16600  Järvelä (Kärkölä)",36121,36973,39297,41316,41754
"16610  Kärkölä kk (Kärkölä)",45099,48012,48811,50970,52289
"16630  Tennilä (Hollola)",52676,55620,57687,56958,57154
"16670  Lappila (Kärkölä)",43686,43913,45069,47945,48669
"16710  Hollola kk (Hollola)",57515,57900,59175,61033,63334
"16730  Kutajärvi (Hollola)",51435,51951,54925,56903,58883
"16790  Manskivi (Hollola)",52218,49056,57252,55643,55724
"16800  Hämeenkoski (Hollola)",38815,40840,41487,43154,45096
"16900  Lammi kk (Hämeenlinna)",37526,39132,40151,42603,43706
"16960  Iso-Evo (Hämeenlinna)",38456,38250,40799,43569,45477
"16970  Evo (Hämeenlinna)",25071,23458,26874,27446,24564
"17110  Kalliola (Hollola)",51950,54710,56289,57851,61097
"17120  Paimela (Hollola)",52162,53750,55240,56779,59613
"17130  Vesivehmaa (Asikkala)",50802,50990,63095,55774,57325
"17150  Urajärvi (Asikkala)",49689,54825,52850,54958,56994
"17200  Vääksy Keskus (Asikkala)",37828,40041,40260,41583,43126
"17220  Pietilä (Asikkala)",42345,41873,43625,51059,47259
"17240  Kalkkinen (Asikkala)",42135,42816,44666,48587,51103
"17320  Asikkala (Asikkala)",43534,46765,49264,51237,52429
"17410  Viitaila (Asikkala)",43504,44297,50717,49755,50700
"17430  Kurhila (Asikkala)",48541,48747,52077,57638,53682
"17440  Vähimaa (Asikkala)",41638,...,...,...,...
"17450  Iso-Äiniö-Vähimaa (Asikkala)",42303,45940,46914,48138,51380
"17470  Maakeski (Padasjoki)",42231,46800,46596,48385,47734
"17500  Padasjoki Keskus (Padasjoki)",32855,33461,35404,36889,38467
"17510  Nyystölä (Padasjoki)",58393,63843,65294,65667,73426
"17530  Arrakoski (Padasjoki)",33964,37543,38649,42057,41543
"17610  Auttoinen (Padasjoki)",38560,40858,42427,41910,44159
"17630  Vesijako (Padasjoki)",36547,41929,39502,44300,45353
"17710  Torittu (Padasjoki)",40815,...,...,...,...
"17740  Kasiniemi-Torittu (Padasjoki)",...,34883,34363,...,...
"17780  Harmoinen (Kuhmoinen)",39817,40980,42130,39619,43288
"17800  Kuhmoinen Keskus (Kuhmoinen)",32294,33902,35004,36637,37659
"17840  Harjunsalmi (Kuhmoinen)",43949,46649,50168,43346,51995
"17850  Pihlajakoski (Kuhmoinen)",38482,36282,40585,42215,45448
"17870  Ruolahti (Kuhmoinen)",33641,37158,38214,38696,38210
"17930  Päijälä (Kuhmoinen)",39934,39992,39729,43032,42809
"17950  Kylämä (Kuhmoinen)",...,...,...,...,...
"17970  Puukkoinen (Kuhmoinen)",...,...,...,...,...
"18100  Heinola Keskus (Heinola)",35036,36126,36949,38138,39959
"18120  Reumasairaala-alue (Heinola)",37371,38617,40744,42721,44818
"18130  Tommola-Sahanniemi (Heinola)",28712,29626,30444,31028,31974
"18150  Jyränkö (Heinola)",34976,36179,37656,38514,39874
"18200  Kaakonlampi-Pyhätön (Heinola)",31049,31600,32678,33448,34547
"18300  Heinola kk (Heinola)",39614,41839,42570,44225,45417
"18600  Myllyoja (Heinola)",47960,49729,51397,52939,54308
"19110  Vierumäki taajama (Heinola)",42080,43186,43176,44128,46678
"19120  Vierumäki urheiluopisto (Heinola)",39897,78734,55028,46107,48576
"19160  Huutotöyry (Iitti)",44725,48718,48745,50340,51319
"19210  Lusi (Heinola)",43203,46995,47061,50223,49969
"19230  Onkiniemi (Sysmä)",34366,36272,38739,40865,39723
"19250  Syrjäkoski (Heinola)",...,...,...,...,...
"19260  Paaso-Syrjäkoski (Heinola)",35580,38929,39794,40107,42741
"19310  Karilanmaa (Sysmä)",40693,47946,45969,50383,50512
"19320  Nikkaroinen (Sysmä)",45986,47398,47957,49769,56617
"19370  Nuoramoinen (Sysmä)",41857,44852,47360,49697,52665
"19410  Kuortti (Mäntyharju)",35940,37630,40095,40346,41189
"19420  Mansikkamäki (Mäntyharju)",34973,38465,39453,42994,43347
"19430  Pertunmaa Keskus (Mäntyharju)",31499,32161,33998,36628,38168
"19460  Ruorasmäki (Mäntyharju)",28291,30303,31162,33424,35474
"19470  Lihavanpää-Hartosenpää (Mäntyharju)",35395,37343,37495,39470,43064
"19480  Hartosenpää (Mäntyharju)",36452,42963,38336,39352,42000
"19510  Lepsala (Hartola)",...,...,...,...,...
"19540  Koitti-Lepsala (Hartola)",34966,40624,41985,40121,41322
"19600  Hartola Keskus (Hartola)",32173,33499,34801,35508,37417
"19610  Murakka (Hartola)",34872,36268,34626,40307,41321
"19620  Pohela (Hartola)",37612,37426,41289,42847,40071
"19630  Kalhonkylä (Hartola)",45484,42801,48033,48279,50339
"19650  Joutsa Keskus (Joutsa)",33448,35058,36275,37140,38221
"19670  Mieskonmäki (Joutsa)",41076,42979,47783,47322,50649
"19700  Sysmä Keskus (Sysmä)",34105,34906,35707,36983,39339
"19730  Särkilampi (Sysmä)",...,...,...,...,...
"19740  Liikola (Sysmä)",38486,35628,38005,42528,45229
"19770  Valittula (Sysmä)",44942,45982,51339,59156,54586
"19850  Putkijärvi-Siltasuo (Hartola)",36520,39541,41609,40765,44052
"19910  Tammijärvi (Luhanka)",39756,43030,42957,47808,47597
"19920  Pappinen (Joutsa)",38543,44500,43197,47002,46603
"19950  Luhanka (Luhanka)",38823,42224,45287,43512,48300
"20100  Turku Keskus (Turku)",35601,37651,38591,38925,40505
"20200  Iso-Heikkilä (Turku)",27187,27575,27414,27501,28239
"20210  Pahaniemi (Turku)",30257,31045,32569,34656,35606
"20240  Pansio-Perno (Turku)",31037,31440,33176,35238,36363
"20250  Pitkämäki-Muhkuri (Turku)",60530,62669,65740,61098,45559
"20300  Pohjola-Kastu (Turku)",39033,40728,42046,43488,44559
"20320  Kuninkoja-Mälikkälä (Turku)",37127,38545,39834,40658,42281
"20360  Runosmäki-Kärsämäki (Turku)",30718,31575,32851,34630,36011
"20380  Räntämäki-Saramäki (Turku)",42285,42435,43762,45868,48297
"20400  Moisio (Turku)",56046,58575,60519,63391,65385
"20460  Jäkärlä (Turku)",37728,39789,40632,42530,43818
"20500  Vesilinna (Turku)",27801,28893,29878,30976,32504
"20520  Kupittaa (Turku)",33176,35389,35129,36025,37878
"20540  Nummi-Ylioppilaskylä (Turku)",31771,32785,33736,34665,36388
"20610  Varissuo (Turku)",31653,32085,33290,35258,36294
"20660  Littoinen (Kaarina)",56602,60568,61179,63832,66445
"20700  Vartiovuori-Samppalinna (Turku)",33703,34738,34875,36160,39554
"20720  Vasaramäki (Turku)",36727,39030,39017,40128,41796
"20730  Skanssi (Turku)",29279,29176,29894,31802,31847
"20740  Ilpoinen-Harittu (Turku)",35775,36937,38359,40327,41930
"20750  Huhkola-Lauste-Vaala (Turku)",33660,34849,36032,37883,38828
"20760  Piispanristi (Kaarina)",47021,48138,49974,51804,55874
"20780  Kaarina Keskus (Kaarina)",44634,47378,46579,48911,51399
"20800  Ammattikorkeakoulu (Turku)",0,0,0,0,0
"20810  Martti-Korppolaismäki (Turku)",38080,40314,40127,41644,43489
"20880  Uittamo (Turku)",41907,44272,47428,46873,50528
"20900  Moikoinen-Pikisaari (Turku)",65772,74677,74850,72830,79365
"20960  Kakskerta (Turku)",74908,74305,74351,80759,84841
"21100  Naantali Keskus (Naantali)",45900,47595,49579,50669,52507
"21110  Taimo-Nuhjala-Lietsala (Naantali)",52809,54234,56698,57311,59941
"21120  Kaanaa (Raisio)",56988,61928,59917,62012,66027
"21130  Poikko (Naantali)",57144,59260,62811,65617,66735
"21140  Rymättylä Keskus (Naantali)",47649,48496,49943,53448,57659
"21150  Röölä (Naantali)",49646,51550,54136,55817,59474
"21160  Merimasku (Naantali)",66208,71779,120089,72566,85838
"21180  Livonsaari (Naantali)",51383,46559,53138,53486,72799
"21195  Velkua (Naantali)",52142,54241,54019,55686,60335
"21200  Raisio Keskus (Raisio)",36095,36981,38393,39698,41434
"21210  Hakinmäki (Raisio)",47633,49374,51315,52627,54805
"21220  Somersoja (Raisio)",42621,43601,44772,46872,48201
"21230  Lemu (Masku)",50042,52583,52883,55718,58208
"21240  Askainen (Masku)",45813,47829,49015,51147,55000
"21250  Masku (Masku)",53822,55898,57170,60035,62568
"21260  Ihala (Raisio)",54509,57407,56930,59270,61323
"21270  Nousiainen (Nousiainen)",47137,48913,50402,52569,54886
"21280  Kuloinen (Raisio)",53432,54161,56647,58710,61353
"21290  Rusko (Rusko)",53462,56797,57502,60795,62943
"21310  Vahto (Rusko)",51872,51046,53092,55567,58838
"21330  Paattinen (Turku)",48115,50526,50724,52082,53927
"21340  Tortinmäki (Turku)",44532,45599,46398,49093,52223
"21350  Ilmarinen (Lieto)",61603,62870,68895,65069,71972
"21360  Lieto Asemanseutu (Lieto)",46337,48426,50484,52954,55270
"21370  Aura kk. (Aura)",46233,47109,48683,49367,51761
"21380  Aura Keskus (Aura)",43186,45905,45772,47105,49093
"21410  Vanhalinna (Lieto)",61942,65211,67365,69666,71765
"21420  Lieto Keskus (Lieto)",44327,45693,47247,48907,50924
"21430  Yliskulma (Lieto)",53254,55703,54394,57234,57505
"21450  Tarvasjoki Keskus (Lieto)",43892,45043,47309,48708,50102
"21480  Prunkila (Marttila)",45495,45038,48234,49260,50513
"21490  Marttila (Marttila)",39149,40935,41157,42613,43639
"21500  Piikkiö (Kaarina)",49251,51380,53129,55947,58553
"21510  Hevonpää (Paimio)",50834,53058,55598,60962,62103
"21530  Paimio Keskus (Paimio)",42191,44237,45830,47666,49857
"21540  Preitilä (Paimio)",58029,58362,58819,62912,65733
"21555  Taatila (Paimio)",45365,46817,49181,50535,58660
"21560  Ollila (Marttila)",43251,43343,43682,45477,47146
"21570  Sauvo Keskus (Sauvo)",44535,46452,48391,49262,52085
"21590  Karuna (Sauvo)",46984,46301,49422,56155,55228
"21600  Parainen Keskus (Pargas)",44292,45859,47834,49634,52049
"21610  Kirjala (Pargas)",58690,58880,61306,60814,64542
"21620  Kuusisto (Kaarina)",77755,89992,78664,85193,95323
"21630  Lielahti (Pargas)",60990,101508,60873,61845,63290
"21650  Lillandet (Pargas)",56066,59867,63391,60293,65410
"21660  Nauvo Keskus (Pargas)",44811,46125,47312,57233,62210
"21670  Mattnäs-Nötö (Pargas)",48242,53321,55728,55968,57776
"21680  Nötö (Pargas)",...,...,...,...,...
"21710  Korppoo Keskus-Utö (Pargas)",39946,41738,41346,43672,46485
"21720  Korpoström (Pargas)",...,...,...,...,...
"21740  Utö (Pargas)",...,...,...,...,...
"21750  Norrskata (Pargas)",33032,36264,35307,37789,36383
"21760  Houtskär Keskus (Pargas)",39435,41466,42575,44803,47998
"21770  Mossala (Pargas)",40684,46882,47640,46273,49181
"21800  Kyrö (Pöytyä)",40742,41536,46509,44856,46619
"21820  Kumila (Pöytyä)",41295,46027,46410,51667,52957
"21840  Karinainen (Pöytyä)",60337,62697,63404,64752,66227
"21860  Auvainen (Pöytyä)",46415,48500,48335,49527,49793
"21870  Riihikoski (Pöytyä)",39889,41833,42814,44164,45640
"21880  Pöytyä (Pöytyä)",40966,42033,44479,47121,48952
"21890  Haveri (Pöytyä)",49832,50660,55086,53457,56041
"21900  Yläne Keskus (Pöytyä)",36155,37530,38710,41163,43048
"21930  Uusikartano (Pöytyä)",39460,40115,40602,42789,44512
"22100  Maarianhamina (Mariehamn)",45990,49837,49978,51737,56060
"22120  Möckelö (Jomala)",54904,57441,59357,62089,65573
"22130  Gottby (Jomala)",61270,62046,64121,64961,67033
"22140  Önningby (Jomala)",64686,66022,68015,69504,75717
"22150  Jomala Centrum (Jomala)",51372,53075,54384,56117,60083
"22160  Järsö (Lemland)",72809,77293,79075,82314,84589
"22220  Emkarby (Finström)",48982,52363,54718,54675,61117
"22240  Hammarland (Hammarland)",46670,49633,50863,52355,55927
"22270  Storby (Eckerö)",44094,46681,47348,48438,54349
"22310  Pålsböle (Finström)",45581,47574,47901,50682,54303
"22320  Ödkarby (Saltvik)",47480,49326,49936,52184,55501
"22330  Tjudö (Finström)",80089,72357,76452,71204,71410
"22340  Geta (Geta)",40498,42082,43970,48219,49835
"22410  Godby (Finström)",44618,45835,47346,49354,51649
"22430  Saltvik (Saltvik)",47226,47526,48924,52111,54140
"22520  Tosarby (Sund)",44126,45982,46976,49142,51148
"22530  Sund (Sund)",44178,45135,47042,47848,49926
"22550  Vårdö (Vårdö)",45501,48417,50268,53644,56325
"22610  Lemland (Lemland)",52493,53967,56406,58677,61749
"22630  Lumparland (Lumparland)",48182,49072,52867,52609,54469
"22710  Ålands Degerby (Föglö)",45336,48232,49594,53766,59209
"22720  Sottunga (Sottunga)",45505,45616,46392,49045,53443
"22730  Kökar (Kökar)",42799,44865,40889,43387,48093
"22810  Seglinge (Kumlinge)",...,...,...,...,...
"22820  Kumlinge (Kumlinge)",42752,43203,44136,44034,45591
"22830  Enklinge (Kumlinge)",50154,52026,48472,47493,54394
"22840  Lappo (Brändö)",44417,43077,38105,37678,43490
"22910  Torsholma (Brändö)",58104,52897,63949,63643,65998
"22920  Brändö-Åland (Brändö)",49979,60174,57893,61277,62227
"22930  Fiskö (Brändö)",...,...,...,...,...
"22940  Åva (Brändö)",62150,68368,63278,64803,71271
"22950  Jurmo (Brändö)",...,...,...,...,...
"23100  Mynämäki Keskus (Mynämäki)",40533,42042,44518,45804,47293
"23120  Mietoinen Keskus (Mynämäki)",46275,46914,54025,49633,51341
"23140  Hietamäki (Mynämäki)",46429,48546,49850,52449,52590
"23200  Vinkkilä (Vehmaa)",36572,37905,39213,40526,42554
"23210  Vehmaa (Vehmaa)",42391,43602,44342,45020,48079
"23260  Rautila (Vehmaa)",47839,44961,46696,49538,51062
"23310  Taivassalo (Taivassalo)",41601,47350,45126,44871,47800
"23360  Kustavi (Kustavi)",44980,57805,51599,51127,52433
"23390  Iniö (Pargas)",47255,52125,44661,48876,49966
"23450  Lokalahti (Uusikaupunki)",42225,44469,43713,48204,45597
"23500  Uusikaupunki Keskus (Uusikaupunki)",38198,39453,40288,41518,42337
"23600  Kalanti Keskus (Uusikaupunki)",41605,42623,44003,45869,47844
"23660  Kalanti Asemanseutu (Uusikaupunki)",54762,56824,57448,65077,69704
"23800  Laitila Keskus (Laitila)",39454,40836,42425,43413,45073
"23930  Pyhämaa (Uusikaupunki)",40051,42510,43938,45174,46720
"23950  Pyhäranta (Pyhäranta)",39871,41578,42385,42742,45847
"23960  Santtio (Pyhäranta)",40396,41276,43851,46386,49633
"24100  Salo Keskus (Salo)",31688,33415,34366,35580,37372
"24130  Ylhäisi (Salo)",41879,43763,45946,47747,50085
"24240  Rappula (Salo)",36157,37406,39157,41605,43448
"24260  Ollikkala (Salo)",33048,33078,34359,36320,37122
"24280  Tupuri-Hähkänä (Salo)",48706,50455,51195,53422,55502
"24800  Halikko Keskus (Salo)",38516,41048,41034,42925,44728
"24910  Halikko Asemanseutu (Salo)",55529,58927,59788,64257,66136
"25110  Kruusila (Salo)",42588,45457,48748,50190,55214
