"12ez -- 2. Educational structure, 2010-2024"

"Postal code area","Academic degree - Higher university level degree (KO) 2020","Academic degree - Higher university level degree (KO) 2021","Academic degree - Higher university level degree (KO) 2022","Academic degree - Higher university level degree (KO) 2023","Academic degree - Higher university level degree (KO) 2024"
"02550  Evitskog (Kirkkonummi)",83,92,96,98,101
"02570  Siuntio Kirkonkylä (Siuntio)",122,123,116,114,128
"02580  Siuntio Asemanseutu (Siuntio)",381,411,431,452,455
"02590  Lappers (Siuntio)",29,28,27,27,28
"02600  Etelä-Leppävaara (Espoo)",2426,2496,2523,2716,2823
"02610  Kilo (Espoo)",1141,1168,1175,1239,1264
"02620  Karakallio (Espoo)",1298,1330,1340,1405,1457
"02630  Nihtisilta (Espoo)",680,661,692,748,779
"02650  Pohjois-Leppävaara (Espoo)",2141,2210,2265,2423,2485
"02660  Lintuvaara (Espoo)",1310,1377,1425,1498,1543
"02680  Uusmäki (Espoo)",791,865,939,984,1004
"02700  Kauniainen (Kauniainen)",2860,2965,2993,3061,3125
"02710  Viherlaakso (Espoo)",1101,1149,1180,1215,1238
"02720  Lähderanta (Espoo)",444,463,471,484,494
"02730  Jupperi (Espoo)",1087,1122,1153,1178,1190
"02740  Bemböle-Pakankylä (Espoo)",445,465,477,495,516
"02750  Sepänkylä-Kuurinniitty (Espoo)",1222,1254,1269,1270,1287
"02760  Tuomarila-Suvela (Espoo)",1823,1793,1826,1892,1891
"02770  Espoon Keskus (Espoo)",1198,1219,1252,1301,1303
"02780  Kauklahti (Espoo)",1892,2091,2258,2450,2565
"02810  Gumböle-Karhusuo (Espoo)",300,312,319,325,336
"02820  Nupuri-Nuuksio (Espoo)",242,243,274,274,288
"02860  Siikajärvi (Espoo)",84,79,84,81,81
"02880  Veikkola (Kirkkonummi)",881,909,936,963,991
"02920  Niipperi (Espoo)",743,772,795,841,876
"02940  Lippajärvi-Järvenperä (Espoo)",1695,1738,1764,1808,1844
"02970  Kalajärvi (Espoo)",432,464,490,508,517
"02980  Lakisto (Espoo)",21,23,19,17,17
"03100  Nummela (Vihti)",1227,1272,1299,1321,1356
"03150  Huhmari (Vihti)",82,85,88,92,91
"03220  Tervalampi (Vihti)",60,60,64,64,70
"03250  Ojakkala (Vihti)",162,166,175,172,182
"03300  Otalampi (Vihti)",173,179,189,191,191
"03320  Selki (Vihti)",16,18,17,18,18
"03400  Vihti Kirkonkylä (Vihti)",421,438,440,435,460
"03430  Jokikunta (Vihti)",29,31,31,37,38
"03600  Karkkila Keskus (Karkkila)",256,273,274,289,291
"03620  Polari (Karkkila)",76,82,81,87,86
"03710  Uusitalo (Karkkila)",9,11,9,10,9
"03790  Vihtijärvi (Vihti)",42,44,42,45,46
"03810  Ikkala (Lohja)",17,16,16,18,20
"03850  Pusula (Lohja)",55,63,66,68,70
"03870  Hyönölä (Lohja)",12,14,14,12,11
"04130  Sipoo (Sipoo)",887,923,949,974,1020
"04150  Martinkylä (Sipoo)",66,64,64,63,63
"04170  Paippinen (Sipoo)",96,103,103,105,101
"04200  Kerava Keskus (Kerava)",1194,1222,1238,1267,1295
"04220  Ahjo-Kaskela (Kerava)",398,419,418,437,453
"04230  Pihkaniitty (Kerava)",781,803,830,837,857
"04240  Talma (Sipoo)",103,103,112,114,117
"04250  Alikerava (Kerava)",349,348,360,372,386
