"12ez -- 2. Educational structure, 2010-2024"

"Postal code area","Academic degree - Higher university level degree (KO) 2020","Academic degree - Higher university level degree (KO) 2021","Academic degree - Higher university level degree (KO) 2022","Academic degree - Higher university level degree (KO) 2023","Academic degree - Higher university level degree (KO) 2024"
"46710  Sippola (Kouvola)",29,27,28,27,25
"46730  Ruotila (Kouvola)",2,2,1,2,2
"46750  Liikkala (Kouvola)",14,15,14,13,12
"46800  Myllykoski (Kouvola)",156,159,164,163,174
"46810  Ummeljoki (Kouvola)",30,31,33,37,35
"46860  Anjalankoski Keskus (Kouvola)",18,19,18,16,13
"46900  Inkeroinen (Kouvola)",122,127,122,122,121
"46910  Anjala (Kouvola)",56,55,50,54,56
"46930  Huruksela (Kotka)",2,2,2,2,2
"46950  Ahvio (Kouvola)",2,2,2,2,2
"46960  Muhniemi (Kouvola)",13,13,14,14,14
"47110  Löytty (Kouvola)",2,2,1,1,1
"47150  Raussila (Kouvola)",7,8,9,8,8
"47200  Elimäki kk (Kouvola)",85,86,87,89,92
"47260  Ratula (Kouvola)",4,5,4,7,6
"47310  Haapa-Kimola (Iitti)",12,12,15,17,19
"47350  Kimonkylä (Lapinjärvi)",5,5,4,4,5
"47400  Kausala (Iitti)",187,183,186,187,185
"47440  Sääskjärvi (Iitti)",7,8,8,7,7
"47450  Perheniemi (Iitti)",11,11,11,11,12
"47460  Hiisiö (Iitti)",5,5,4,3,3
"47490  Mankala-Hiisiö (Iitti)",20,20,21,22,25
"47520  Iitti kk (Iitti)",26,25,28,33,37
"47540  Lyöttilä (Iitti)",9,9,9,10,11
"47610  Kymentaka (Iitti)",11,11,10,10,10
"47650  Kimola (Kouvola)",14,12,12,12,11
"47710  Jaala kk (Kouvola)",40,43,46,52,52
"47760  Huhdasjärvi (Kouvola)",6,6,6,6,5
"47810  Selänpää (Kouvola)",9,10,9,8,9
"47830  Hasula (Kouvola)",4,3,3,4,6
"47850  Verla (Kouvola)",6,4,5,7,8
"47900  Vuohijärvi (Kouvola)",6,11,7,8,9
"47910  Hillosensalmi (Kouvola)",...,...,...,...,...
"48100  Kotkansaari (Kotka)",663,669,698,722,748
"48130  Katariina (Kotka)",80,86,91,86,88
"48200  Hovinsaari (Kotka)",56,55,59,65,66
"48210  Toukolan Sairaala-Alue (Kotka)",30,28,25,23,26
"48220  Metsola (Kotka)",73,75,77,73,75
"48230  Korela-Jylppy (Kotka)",45,48,48,49,51
"48300  Ruonala (Kotka)",97,98,104,113,120
"48310  Mussalo (Kotka)",435,450,464,492,504
"48350  Karhuvuori (Kotka)",79,74,73,82,83
"48400  Sutela (Kotka)",256,254,252,249,253
"48410  Kaukola (Kotka)",78,87,91,101,100
"48600  Karhula (Kotka)",342,352,350,350,368
"48700  Kyminlinna (Kotka)",97,95,102,105,116
"48710  Koivula (Kotka)",77,82,78,85,83
"48720  Kymi (Kotka)",67,70,73,75,76
"48750  Nikeli (Kotka)",2,3,4,4,4
"48770  Ristinkallio (Kotka)",60,61,65,64,67
"48800  Otsola-Mäntykangas (Kotka)",121,126,130,136,134
"48810  Rantahaka (Kotka)",43,45,45,46,45
"48900  Sunila (Kotka)",56,54,53,61,66
"48910  Suulisniemi (Kotka)",70,71,71,77,74
"48930  Tiutinen (Kotka)",28,27,27,28,27
"49200  Heinlahti (Pyhtää)",68,77,83,88,89
"49210  Huutjärvi (Pyhtää)",51,53,56,60,63
"49220  Siltakylä (Pyhtää)",106,113,117,117,116
"49240  Purolanlahti (Pyhtää)",17,18,17,17,19
"49270  Pyhtää kk (Pyhtää)",25,25,28,28,27
"49290  Vastila (Pyhtää)",11,11,12,12,15
"49300  Tavastila (Kotka)",16,18,17,16,16
"49340  Juurikorpi (Kotka)",3,4,4,4,5
"49400  Hamina Keskus (Hamina)",572,589,601,622,640
"49410  Poitsila (Hamina)",78,79,78,80,78
"49420  Uusi-Summa (Hamina)",58,61,62,65,61
"49460  Hillo (Hamina)",31,35,38,42,45
"49480  Vanha-Summa (Hamina)",24,22,20,20,20
"49490  Neuvoton (Hamina)",59,63,65,65,71
"49510  Husula (Hamina)",44,46,48,50,48
"49520  Reitkalli (Hamina)",7,8,8,8,8
"49540  Metsäkylä (Hamina)",15,16,17,17,14
"49570  Kannusjärvi (Hamina)",10,12,14,15,15
"49610  Sivatti (Hamina)",4,3,3,3,3
"49630  Vehkajoki (Hamina)",2,2,4,3,3
"49640  Paijärvi (Hamina)",7,8,7,9,8
"49660  Pyhältö (Hamina)",14,14,14,13,14
"49700  Miehikkälä Kirkonkylä (Miehikkälä)",23,23,25,24,26
"49720  Hurttala (Miehikkälä)",0,0,0,0,0
"49730  Muurikkala (Miehikkälä)",8,9,9,8,7
"49750  Kalliokoski (Miehikkälä)",0,1,1,1,1
"49760  Suur-Miehikkälä (Miehikkälä)",8,8,8,9,11
"49770  Salo-Miehikkälä (Miehikkälä)",11,12,12,12,11
"49780  Onkamaa (Hamina)",3,3,2,2,2
"49840  Mäntlahti (Hamina)",11,11,11,11,12
"49860  Klamila (Virolahti)",26,25,30,29,30
"49900  Virolahti Keskus (Virolahti)",71,76,77,77,73
"49930  Vaalimaa (Virolahti)",0,0,0,0,0
"49960  Ala-Pihlaja (Virolahti)",2,2,2,3,4
"49980  Ravijoki (Virolahti)",10,12,11,11,14
"50100  Mikkeli Keskus (Mikkeli)",858,868,901,935,963
"50120  Siekkilä (Mikkeli)",100,98,102,104,112
"50130  Nuijamies (Mikkeli)",333,334,346,353,354
"50150  Tusku (Mikkeli)",95,96,88,83,87
"50160  Kattilansilta (Mikkeli)",104,109,109,115,113
"50170  Peitsari (Mikkeli)",369,378,392,392,398
"50180  Visulahti (Mikkeli)",72,69,67,67,68
"50190  Tuppurala (Mikkeli)",308,310,324,328,300
"50200  Kovala (Mikkeli)",29,30,31,35,36
"50300  Rämälä (Mikkeli)",18,20,19,19,21
"50350  Norola (Mikkeli)",21,19,18,19,21
"50500  Tuukkala-Kaituenmäki (Mikkeli)",76,81,86,90,88
"50520  Moision Sairaala-alue (Mikkeli)",14,15,12,11,14
"50600  Karikko (Mikkeli)",403,414,430,442,454
"50670  Otava (Mikkeli)",80,81,88,85,85
"50700  Syysjärvi (Mikkeli)",74,85,94,103,111
"50770  Korpikoski (Mikkeli)",10,11,11,13,17
"50800  Annilanselkä (Mikkeli)",60,63,64,61,61
"50970  Ihastjärvi (Mikkeli)",190,200,204,203,210
"51130  Vanhamäki (Mikkeli)",2,3,3,3,3
"51200  Kangasniemi Keskus (Kangasniemi)",164,169,171,172,182
"51260  Tahkomäki (Kangasniemi)",7,7,8,8,9
"51270  Kutemajärvi (Kangasniemi)",13,13,13,14,14
"51310  Levä (Kangasniemi)",11,12,12,11,11
"51335  Kaihlamäki (Kangasniemi)",2,2,2,2,2
"51340  Hännilä-Särkiharju (Kangasniemi)",8,9,9,10,11
"51360  Koivula-Synsiö (Kangasniemi)",9,10,10,10,11
"51380  Synsiö (Kangasniemi)",0,0,0,0,0
"51420  Harjumaa-Pajulankylä (Mikkeli)",12,15,15,17,17
"51430  Läsäkoski (Kangasniemi)",1,1,1,1,3
"51440  Vuojalahti (Kangasniemi)",8,8,8,7,8
"51450  Pajulankylä (Mikkeli)",2,2,2,2,2
"51460  Luusniemi (Kangasniemi)",9,9,9,9,10
"51520  Hiirola (Mikkeli)",21,22,24,24,23
"51540  Kalvitsa (Mikkeli)",10,9,8,9,8
"51600  Haukivuori Keskus-Pitkäaho (Mikkeli)",55,51,54,55,58
"51620  Pitkäaho (Mikkeli)",...,...,...,...,...
"51670  Nykälä (Mikkeli)",2,2,2,2,3
"51720  Rahula (Mikkeli)",26,28,30,31,33
"51740  Huuhanaho (Mikkeli)",12,12,13,12,12
"51760  Nuutilanmäki (Juva)",18,18,17,19,19
"51780  Kuosmala (Juva)",11,11,13,13,12
"51810  Maivala (Juva)",5,6,6,7,7
"51820  Hatsola (Juva)",17,18,17,17,17
"51850  Vuorenmaa (Juva)",9,9,9,8,7
"51860  Narila (Juva)",2,3,3,3,3
"51880  Koikkala (Juva)",15,16,15,17,16
"51890  Risulahti (Juva)",3,3,3,3,3
"51900  Juva Keskus (Juva)",159,166,170,180,177
"51930  Paatela (Juva)",5,5,5,5,5
"51940  Härkälä (Juva)",6,5,5,5,5
"51980  Lauteala (Juva)",9,11,11,13,13
"52100  Anttola (Mikkeli)",79,80,82,83,85
"52110  Majavesi (Mikkeli)",22,21,21,23,21
"52150  Hauhala (Mikkeli)",7,7,8,8,8
"52200  Puumala Keskus (Puumala)",105,105,108,111,122
"52230  Hurissalo (Puumala)",7,7,7,8,8
"52270  Ryhälä (Puumala)",3,4,4,3,3
"52300  Ristiina Keskus (Mikkeli)",136,146,153,158,158
"52320  Vitsiälä (Mikkeli)",26,26,30,28,29
"52330  Heimari (Mikkeli)",1,1,3,3,2
"52340  Hangastenmaa (Mikkeli)",12,11,12,12,15
"52360  Someenjärvi (Mikkeli)",5,5,5,5,6
"52420  Pellosniemi (Mikkeli)",16,15,14,16,19
"52510  Hietanen (Hirvensalmi)",19,18,18,18,18
"52520  Syväsmäki (Hirvensalmi)",6,7,7,7,8
"52550  Hirvensalmi Keskus (Hirvensalmi)",55,59,65,62,65
"52610  Tuukkalanlahti (Hirvensalmi)",5,3,3,3,6
"52620  Kuitula (Hirvensalmi)",4,5,4,4,5
"52700  Mäntyharju Keskus (Mäntyharju)",208,219,222,221,229
"52720  Karankamäki-Koirakivi (Mäntyharju)",2,3,1,1,1
"52730  Koirakivi (Mäntyharju)",3,3,2,1,3
"52740  Tuustaipale (Mäntyharju)",11,11,12,12,12
"52760  Mynttilä (Mäntyharju)",3,3,3,4,5
"52780  Kuomiokoski (Mikkeli)",2,5,4,4,4
"52830  Suomenniemi (Mikkeli)",18,20,17,19,19
"52850  Halmeniemi (Mäntyharju)",5,5,5,5,5
"52890  Käävänkylä (Mäntyharju)",4,4,4,5,4
"52920  Voikoski (Kouvola)",10,9,9,10,10
"52960  Nurmaa (Mäntyharju)",4,4,4,5,5
"52970  Pankalahti-Ahvenainen (Mäntyharju)",0,0,0,0,0
"52980  Ahvenainen (Mäntyharju)",2,1,1,2,2
"53100  Lappeenranta keskus (Lappeenranta)",1114,1132,1152,1194,1230
"53130  Keskussairaala-alue-Kimpinen (Lappeenranta)",83,84,95,92,88
"53200  Kaukas-Tirilä (Lappeenranta)",112,115,115,116,121
"53300  Lauritsala-Mälkiä (Lappeenranta)",457,466,477,494,501
"53400  Laihia (Lappeenranta)",126,132,132,140,147
"53420  Mustola (Lappeenranta)",37,40,42,37,36
"53500  Parkkarila-Harapainen-Reijola (Lappeenranta)",374,368,368,388,394
"53550  Kourulanmäki (Lappeenranta)",152,171,172,173,182
"53600  Kesämäki (Lappeenranta)",237,245,273,286,290
"53650  Mattila-Kuusela (Lappeenranta)",124,129,133,134,134
"53810  Kuusimäki-Lavola (Lappeenranta)",369,362,366,381,390
"53830  Rutola (Lappeenranta)",27,29,32,32,33
"53850  Skinnarila (Taipalsaari)",1315,1332,1323,1422,1483
"53900  Pallo-Tysterniemi-Leiri (Lappeenranta)",434,455,483,538,550
"53920  Voisalmi (Lappeenranta)",276,289,282,302,306
"53950  Kivisalmi (Lappeenranta)",177,188,181,188,190
"54100  Joutseno Keskus (Lappeenranta)",237,238,249,263,261
"54110  Lampikangas (Lappeenranta)",51,49,48,49,49
"54120  Pulp (Lappeenranta)",90,90,79,80,79
"54190  Konnunsuo (Lappeenranta)",0,1,1,1,2
"54230  Nuijamaa (Lappeenranta)",32,34,34,33,35
"54250  Rapattila (Lappeenranta)",3,3,5,5,5
"54260  Hanhijärvi (Lappeenranta)",43,44,45,43,45
"54270  Vainikkala (Lappeenranta)",4,6,5,6,6
"54300  Vilkjärvi (Lappeenranta)",44,44,46,47,50
"54310  Hytti (Lappeenranta)",35,35,35,36,37
"54330  Simola (Lappeenranta)",8,9,10,10,11
"54390  Pulsa (Lappeenranta)",6,7,6,7,8
"54410  Ylämaa Keskus (Lappeenranta)",26,26,27,31,30
"54430  Hujakkala (Lappeenranta)",3,3,3,3,3
"54460  Ylijärvi (Lappeenranta)",3,3,3,3,3
"54490  Ahomäki (Miehikkälä)",4,4,4,5,5
"54500  Taavetti-Somerharju (Luumäki)",93,103,103,102,99
"54510  Uro (Luumäki)",18,17,18,19,18
"54530  Luumäki (Luumäki)",94,83,83,88,88
"54550  Suo-Anttila (Luumäki)",2,2,2,3,4
"54580  Somerharju (Luumäki)",1,1,...,...,...
"54590  Kaitjärvi (Luumäki)",4,4,3,4,4
"54710  Lemi Keskus (Lemi)",64,64,65,66,69
"54720  Laksiainen (Lemi)",3,4,4,3,4
"54750  Välijoki (Savitaipale)",7,7,9,11,12
"54770  Heituinlahti (Savitaipale)",11,11,12,12,15
"54800  Savitaipale Keskus (Savitaipale)",121,126,139,137,141
"54820  Kotimäki (Lemi)",12,12,13,12,13
"54850  Kuukanniemi (Lemi)",108,110,108,111,116
"54915  Saimaanharju-Kyläniemi (Taipalsaari)",123,130,133,130,133
"54920  Taipalsaari (Taipalsaari)",129,139,156,159,157
"54930  Levänen (Taipalsaari)",12,10,11,11,12
"54940  Solkei (Taipalsaari)",5,5,5,5,5
"54950  Pettilä (Savitaipale)",4,4,4,4,4
"54960  Vehkataipale (Taipalsaari)",63,66,71,74,81
"55100  Imatra Keskus (Imatra)",540,545,552,574,585
"55120  Mansikkala-Tuulikallio (Imatra)",177,176,173,178,175
"55300  Rauha-Tiuruniemi (Lappeenranta)",58,62,59,56,59
"55320  Rauha (Lappeenranta)",33,32,33,31,28
"55330  Tiuruniemi (Lappeenranta)",15,14,10,10,10
"55400  Tainionkoski-Mustalampi (Imatra)",97,103,104,109,109
"55420  Karhumäki-Karhukallio (Imatra)",109,118,110,113,115
"55510  Sotkulampi-Linnasuo (Imatra)",50,47,49,48,44
"55610  Rajapatsas-Teppanala (Imatra)",76,78,88,86,86
"55700  Vintteri-Virasoja (Imatra)",45,43,44,42,42
"55800  Vuoksenniska-Saarlampi (Imatra)",135,141,144,148,145
"55910  Rautio-Kurkvuori (Imatra)",71,67,62,66,66
"56100  Ruokolahti Keskus (Ruokolahti)",94,96,99,105,104
"56120  Salosaari (Ruokolahti)",49,52,53,54,57
"56140  Äitsaari (Ruokolahti)",5,6,6,7,8
"56210  Virmutjoki (Ruokolahti)",15,15,14,14,16
"56310  Syyspohja (Ruokolahti)",6,7,7,7,10
"56330  Utula (Ruokolahti)",0,0,...,...,...
"56350  Kyläniemi (Taipalsaari)",...,...,...,...,...
"56410  Kaiturinpää (Ruokolahti)",10,10,11,9,9
"56440  Pohja-Lankila (Ruokolahti)",12,12,12,14,14
"56510  Puntala (Ruokolahti)",11,12,14,13,14
"56550  Niska-Pietilä (Rautjärvi)",5,5,5,6,6
"56610  Rautjärvi (Rautjärvi)",15,15,13,14,14
"56640  Purnujärvi (Rautjärvi)",1,1,1,2,2
"56710  Miettilä (Rautjärvi)",3,4,5,5,5
"56730  Laikko (Rautjärvi)",10,11,14,13,12
"56800  Simpele (Rautjärvi)",43,46,55,54,54
"57100  Heikinpohja-Piispanmäki (Savonlinna)",273,271,277,275,284
"57120  Savonlinna (Savonlinna)",...,...,...,...,...
"57130  Savonlinna Keskus (Savonlinna)",172,191,182,191,197
"57170  Sortteerinlahti-Talvisalo (Savonlinna)",88,99,106,109,113
"57200  Miekonniemi-Venäjänniemi (Savonlinna)",175,180,186,192,204
"57210  Nojanmaa (Savonlinna)",137,152,148,154,144
"57220  Savonlinna (Savonlinna)",103,110,116,119,118
"57230  Inkerinkylä (Savonlinna)",39,38,34,34,30
"57310  Savonlinna (Savonlinna)",32,34,31,30,29
"57510  Laitaatsilta (Savonlinna)",58,59,61,62,65
"57600  Poukkusilta-Pihlajaniemi (Savonlinna)",167,166,169,172,170
"57710  Kellarpelto-Rantakoivikko (Savonlinna)",246,248,246,241,246
"57810  Savonlinna (Savonlinna)",23,25,27,30,31
"58130  Oravi (Savonlinna)",8,8,8,8,9
"58140  Ahvensalmi (Savonlinna)",4,5,4,4,4
"58150  Makkola (Savonlinna)",8,8,8,5,6
"58160  Karvila (Enonkoski)",3,3,4,4,5
"58170  Simanala (Enonkoski)",8,8,8,7,7
"58175  Enonkoski Keskus (Enonkoski)",28,28,32,33,34
"58180  Ihamaniemi (Enonkoski)",7,8,8,7,7
"58200  Kerimäki Keskus (Savonlinna)",120,119,123,125,127
"58220  Louhi (Savonlinna)",10,11,10,10,11
"58260  Kumpuranta (Savonlinna)",5,5,5,6,6
"58300  Savonranta Keskus (Savonlinna)",7,6,5,8,7
"58320  Raikuu (Savonlinna)",1,3,2,1,2
"58350  Villala (Kitee)",7,9,7,6,6
"58360  Säimen (Savonlinna)",3,4,4,4,4
"58390  Rönkönvaara (Savonlinna)",0,0,0,0,0
"58410  Haapakallio (Savonlinna)",37,34,38,38,40
"58420  Silvola (Savonlinna)",11,11,11,11,11
"58430  Kulennoinen (Savonlinna)",23,23,27,25,26
"58450  Punkaharju (Savonlinna)",38,38,39,43,48
"58500  Punkasalmi (Savonlinna)",52,62,61,62,59
"58520  Hiukkajoki (Savonlinna)",13,14,14,13,13
"58550  Putikko (Savonlinna)",13,14,15,14,16
"58570  Ruhvana (Savonlinna)",2,3,3,3,2
"58580  Vuoriniemi (Savonlinna)",3,3,3,2,3
"58610  Telakanava (Sulkava)",0,1,1,2,4
"58620  Lohilahti (Sulkava)",10,12,10,10,12
"58650  Kiviapaja (Savonlinna)",0,0,0,0,0
"58680  Piojärvi (Savonlinna)",2,2,2,2,2
"58690  Ala-Särkilahti-Piojärvi (Savonlinna)",1,1,2,3,3
"58700  Sulkava Keskus (Sulkava)",81,88,86,87,95
"58720  Kaartilankoski (Sulkava)",11,11,13,14,15
"58770  Pihlajalahti (Savonlinna)",6,6,7,6,7
"58810  Kallislahti (Savonlinna)",16,19,18,18,17
"58830  Parkumäki (Rantasalmi)",9,9,9,11,10
"58850  Hiltula (Rantasalmi)",8,8,8,7,8
"58900  Rantasalmi Keskus (Rantasalmi)",101,100,102,107,109
"58910  Rantasalmi Asemanseutu (Rantasalmi)",4,4,4,4,4
"58920  Kolkontaipale (Rantasalmi)",18,20,21,21,22
"58940  Tuusmäki (Rantasalmi)",6,6,7,7,6
"59100  Parikkala Keskus (Parikkala)",96,94,103,104,104
"59130  Koitsanlahti (Parikkala)",1,3,4,4,3
"59210  Melkoniemi (Parikkala)",1,0,0,0,1
"59310  Särkisalmi (Parikkala)",26,27,26,25,24
"59320  Haapaoja (Parikkala)",1,1,1,1,2
"59410  Kirjavala (Parikkala)",7,8,8,8,8
"59510  Maironiemi (Parikkala)",9,9,9,8,8
"59520  Saari (Parikkala)",6,6,6,6,6
"59530  Mikkolanniemi (Parikkala)",4,4,4,5,4
"59610  Tarnala (Parikkala)",4,4,4,4,4
"59710  Kummunkylä (Parikkala)",0,0,0,1,1
"59720  Niukkala (Parikkala)",8,9,9,10,10
"59730  Uukuniemi (Parikkala)",3,4,4,4,3
"59800  Kesälahti Keskus (Kitee)",66,68,74,76,76
"59810  Suurikylä (Kitee)",1,1,1,1,2
"59820  Purujärvi-Rajavaara (Kitee)",2,4,4,3,3
"60100  Seinäjoki Keskus (Seinäjoki)",840,857,910,912,971
"60120  Pohja (Seinäjoki)",108,109,109,120,122
"60150  Kasperi (Seinäjoki)",174,183,181,193,195
"60200  Törnävä (Seinäjoki)",1113,1182,1230,1301,1357
"60220  Huhtala (Seinäjoki)",150,150,148,153,160
"60280  Eskoon Keskuslaitosalue (Seinäjoki)",0,0,0,0,0
"60320  Alakylä-Jouppi (Seinäjoki)",589,598,613,624,644
"60420  Impivaara (Seinäjoki)",138,142,156,167,179
"60450  Munakka (Ilmajoki)",20,21,22,21,23
"60510  Hyllykallio (Seinäjoki)",697,726,774,805,838
"60550  Nurmo Keskus (Seinäjoki)",235,248,261,263,266
"60560  Halkosaari (Seinäjoki)",35,34,32,36,35
"60640  Kurjenneva (Seinäjoki)",36,34,33,32,35
"60720  Tuomikylä (Ilmajoki)",151,169,179,196,214
"60760  Pojanluoma (Ilmajoki)",36,40,38,43,43
"60800  Ilmajoki Keskus (Ilmajoki)",264,261,283,284,292
"61100  Peräseinäjoki Keskus (Seinäjoki)",45,47,49,50,52
"61110  Vuolle (Seinäjoki)",10,10,10,11,11
"61120  Louko (Seinäjoki)",30,32,36,38,37
"61140  Pasto (Seinäjoki)",4,4,3,3,3
"61150  Sydänmaa (Alavus)",0,0,1,1,1
"61160  Koura (Seinäjoki)",21,23,22,23,25
"61170  Sääskiniemi (Alavus)",12,12,12,14,16
"61180  Haapaluoma (Seinäjoki)",4,4,5,5,5
"61220  Myllysalo (Kurikka)",12,11,11,12,11
"61230  Luopa (Kurikka)",18,18,18,18,20
"61250  Jalasto (Kurikka)",5,6,5,6,7
"61270  Luopajärvi (Kurikka)",24,29,28,28,28
"61280  Jokipii (Kurikka)",13,13,15,15,18
"61290  Taivalmaa (Kurikka)",2,3,3,3,5
"61300  Kurikka Keskus (Kurikka)",254,257,268,288,286
"61310  Panttila (Kurikka)",21,22,25,26,23
"61330  Koskenkorva (Ilmajoki)",49,52,56,59,63
"61340  Nopankylä (Ilmajoki)",6,6,6,6,7
"61350  Huissi (Ilmajoki)",12,13,13,13,12
"61360  Mieto (Kurikka)",17,20,22,24,23
"61370  Lohiluoma (Kurikka)",12,14,15,14,15
"61380  Polvenkylä (Kurikka)",3,3,3,2,3
"61400  Ylistaro Keskus (Seinäjoki)",87,88,87,94,97
"61410  Ylistaro Asemanseutu (Seinäjoki)",23,24,23,21,22
"61430  Isorehto (Seinäjoki)",13,13,13,13,15
"61440  Untamala (Seinäjoki)",6,6,6,6,4
"61450  Kylänpää (Seinäjoki)",13,14,14,12,15
"61460  Hanhikoski (Seinäjoki)",8,8,8,9,9
"61470  Kitinoja (Seinäjoki)",19,20,20,22,22
"61500  Isokyrö Keskus (Isokyrö)",138,136,139,142,149
"61520  Lehmäjoki (Isokyrö)",8,8,8,8,7
"61550  Orismala (Isokyrö)",22,23,23,22,22
"61560  Orisberg (Isokyrö)",0,0,0,2,2
"61600  Jalasjärvi Keskus (Kurikka)",145,134,145,147,148
"61630  Hirvijärvi (Kurikka)",9,8,7,9,9
"61640  Ala-Valli (Kurikka)",3,3,3,3,3
"61650  Kalakoski (Seinäjoki)",7,7,7,8,9
"61680  Mantila (Kurikka)",12,11,11,11,11
"61710  Pentinmäki (Kurikka)",12,14,15,16,16
"61720  Koskue (Kurikka)",13,17,15,15,17
"61730  Yli-Valli (Kurikka)",3,4,5,5,7
"61760  Ilvesjoki (Kurikka)",2,2,2,2,2
"61800  Kauhajoki Keskus (Kauhajoki)",327,319,324,342,350
"61810  Luomankylä (Kauhajoki)",4,5,6,5,4
"61820  Kainasto (Kauhajoki)",13,13,13,13,13
"61840  Norinkylä (Teuva)",5,4,4,4,4
"61850  Kauhajoki Asemanseutu (Kauhajoki)",41,40,40,41,45
"61860  Harja (Kauhajoki)",4,4,4,5,5
"61880  Ikkeläjärvi (Kauhajoki)",7,7,7,6,6
"61910  Nummijärvi (Kauhajoki)",4,5,5,5,5
"61920  Nummikoski (Kauhajoki)",3,3,3,3,4
"61940  Hyyppä (Kauhajoki)",5,4,6,5,6
"61950  Juonikylä (Kauhajoki)",2,2,2,2,2
"61960  Kyrönlatva (Kauhajoki)",1,1,1,0,0
"61980  Päntäne (Kauhajoki)",13,13,15,16,17
"62100  Lapua Keskus (Lapua)",670,685,696,704,729
"62130  Hellanmaa (Lapua)",11,11,13,12,12
"62150  Rintakangas (Kauhava)",4,4,4,5,4
"62160  Karhunkylä (Lapua)",20,22,21,22,23
"62165  Tiisteenjoki (Lapua)",18,18,17,19,17
"62170  Lakaluoma (Lapua)",3,3,4,4,4
"62175  Ylikylä-Mäenpää (Lapua)",3,2,2,2,3
"62185  Mäki-Paavola (Lapua)",4,4,4,6,5
"62190  Ruha (Lapua)",27,27,29,29,27
"62200  Kauhava Keskus (Kauhava)",246,262,258,271,279
"62220  Pernaa (Kauhava)",19,20,20,20,22
"62230  Jylhä (Kauhava)",19,19,18,18,17
"62240  Huhmarkoski (Kauhava)",8,9,10,10,8
"62260  Hirvijoki (Kauhava)",11,11,11,13,13
"62280  Mustamaa (Lapua)",4,4,4,4,4
"62290  Hirvikylä (Lapua)",7,7,9,8,7
"62295  Kauhajärvi (Lapua)",6,6,6,6,7
"62300  Härmä (Kauhava)",80,82,84,86,91
"62310  Voltti (Kauhava)",22,21,24,23,21
"62340  Kuoppa-Vakkuri (Kauhava)",0,0,0,0,0
"62350  Ekola (Kauhava)",4,4,3,3,3
"62370  Kangasto (Kauhava)",11,9,11,10,10
"62375  Ylihärmä Keskus-Vesiluoma (Kauhava)",95,91,97,101,102
"62380  Kosolankylä (Kauhava)",4,4,4,3,3
"62395  Petterinmäki (Vörå)",5,5,5,5,4
"62410  Rintala (Kauhava)",8,8,6,7,8
"62420  Kortesjärvi Keskus (Kauhava)",29,28,33,36,37
"62430  Peltotupa (Kauhava)",2,1,2,2,1
"62435  Pirttinen (Kauhava)",4,4,4,4,4
"62440  Perkiömäki (Kauhava)",0,0,0,0,0
"62470  Purmojärvi (Kauhava)",12,13,13,13,16
"62500  Evijärvi Keskus (Evijärvi)",38,42,46,47,53
"62510  Kuoppa-aho (Evijärvi)",13,12,11,12,15
"62520  Kautiainen (Evijärvi)",0,0,0,0,0
"62540  Vasikka-aho (Evijärvi)",8,9,7,7,6
"62570  Särkilä (Evijärvi)",5,6,6,6,6
"62600  Lappajärvi Keskus (Lappajärvi)",79,84,83,89,86
"62610  Tarvola (Lappajärvi)",5,6,5,4,4
"62620  Ala-Seppä (Lappajärvi)",8,8,10,9,9
"62630  Karvala (Lappajärvi)",9,9,9,9,11
"62640  Savonkylä (Lappajärvi)",1,2,3,2,4
"62660  Itäkylä (Lappajärvi)",20,20,20,20,20
"62710  Kurejoki (Alajärvi)",31,29,29,29,28
"62720  Sissala (Alajärvi)",5,4,4,6,7
"62730  Haukkala (Alajärvi)",2,4,5,4,5
"62740  Koskenvarsi (Alajärvi)",13,13,13,16,16
"62750  Saukonkylä (Alajärvi)",9,10,10,10,10
"62760  Menkijärvi (Alajärvi)",3,3,3,3,2
"62800  Vimpeli Keskus (Vimpeli)",100,104,98,106,108
"62810  Savonjoki (Vimpeli)",2,2,2,2,2
"62830  Luoma-Aho (Alajärvi)",15,14,14,15,17
"62840  Lakaniemi-Pokela (Vimpeli)",2,2,2,2,2
"62860  Sahi (Vimpeli)",12,13,15,15,15
"62870  Vinni (Vimpeli)",0,0,0,0,0
"62880  Sääksvesi-Vinni (Vimpeli)",8,8,8,9,9
"62900  Alajärvi Keskus (Alajärvi)",188,187,197,210,214
"62920  Levijoki (Alajärvi)",5,3,3,3,2
"62940  Hoisko (Alajärvi)",25,27,28,29,29
"62950  Paalijärvi (Alajärvi)",13,13,14,14,13
"62990  Möksy (Alajärvi)",1,1,0,1,1
"63100  Kuortane Keskus (Kuortane)",81,86,84,85,82
"63120  Leppälänkylä (Kuortane)",6,8,8,7,9
"63130  Mäyry (Kuortane)",29,31,29,29,35
"63150  Ruona (Kuortane)",29,30,30,29,31
"63160  Salmi (Kuortane)",5,5,6,7,8
"63210  Niinimaa (Alavus)",3,3,5,4,4
"63230  Lentilä (Kuortane)",7,7,7,8,8
"63250  Rantala (Kuortane)",1,1,1,1,2
"63300  Alavus Keskus (Alavus)",211,214,216,223,225
"63320  Kattelus (Alavus)",1,1,1,1,1
"63330  Pahajoki (Alavus)",6,7,6,6,4
"63340  Sapsalampi (Alavus)",6,5,5,4,4
"63350  Sulkavankylä (Alavus)",4,4,5,5,7
"63355  Seinäjärvi (Alavus)",2,2,2,2,2
"63360  Kuivaskylä (Alavus)",2,2,2,1,1
