"12f6 -- 8. Main type of activity, 2010-2024"

"Postal code area","2020 Unemployed (PT)","2021 Unemployed (PT)","2022 Unemployed (PT)","2023 Unemployed (PT)","2024 Unemployed (PT)"
"08100  Lohja Keskus (Lohja)",396,347,362,399,398
"08150  Keskilohja (Lohja)",267,193,168,199,214
"08200  Ojamo (Lohja)",248,206,179,199,268
"08350  Routio (Lohja)",164,133,135,154,168
"08360  Kisakallio (Lohja)",...,0,0,...,...
"08450  Hormajärvi (Lohja)",12,9,6,10,10
"08480  Karstu (Lohja)",4,4,4,8,6
"08500  Ventelä-Millola (Lohja)",290,216,214,264,265
"08680  Muijala (Lohja)",72,55,46,63,75
"08700  Virkkala (Lohja)",399,328,305,361,368
"08800  Kirkniemi (Lohja)",63,46,54,70,64
"09120  Karjalohja (Lohja)",71,48,56,68,73
"09220  Sammatti (Lohja)",83,73,76,72,76
"09430  Saukkola (Lohja)",86,74,61,68,78
"09520  Millola (Lohja)",6,5,4,7,2
"09630  Koisjärvi (Lohja)",25,19,16,24,15
"09810  Nummi-Oinola (Lohja)",58,44,45,58,62
"09930  Leppäkorpi (Lohja)",16,8,12,8,7
"10120  Tähtelä (Ingå)",17,16,20,15,13
"10140  Päivölä (Ingå)",13,6,9,9,9
"10160  Degerby (Ingå)",38,30,19,23,18
"10210  Inkoo Keskus (Ingå)",125,85,80,79,77
"10230  Inkoo Asemanseutu (Ingå)",12,14,13,11,13
"10250  Fagervik (Ingå)",11,9,9,9,5
"10270  Barösund (Ingå)",7,3,4,3,3
"10300  Karjaa Keskus (Raseborg)",384,360,304,313,294
"10320  Bäljars (Raseborg)",87,95,79,86,86
"10330  Pinjainen (Raseborg)",50,38,23,31,25
"10350  Meltolan sairaala-alue (Raseborg)",...,1,3,3,5
"10360  Mustio (Raseborg)",64,55,47,47,51
"10380  Kaunislahti (Raseborg)",3,0,1,3,5
"10410  Åminnefors (Raseborg)",32,25,20,23,24
"10420  Pohjankuru (Raseborg)",116,110,105,93,91
"10440  Bollsta (Raseborg)",16,15,15,19,20
"10470  Fiskari (Raseborg)",51,43,53,45,37
"10480  Antskog (Raseborg)",8,13,15,14,14
"10520  Tenhola Kirkonkylä (Raseborg)",73,64,50,43,40
"10570  Bromarv (Raseborg)",13,10,9,14,8
"10600  Tammisaari Keskus (Raseborg)",199,180,161,150,162
"10620  Tammisaari (Raseborg)",70,51,48,45,45
"10640  Dragsvik (Raseborg)",41,26,21,29,23
"10650  Flyet (Raseborg)",138,115,83,94,98
"10660  Trollböle (Raseborg)",59,45,41,39,43
"10680  Skogby (Raseborg)",7,7,7,6,4
"10710  Snappertuna (Raseborg)",20,15,10,12,14
"10820  Lappohja (Hanko)",31,28,29,38,35
"10900  Hanko Keskus (Hanko)",245,199,184,199,198
"10940  Hangonkylä (Hanko)",92,62,54,74,57
"10960  Hanko Pohjoinen (Hanko)",82,72,58,57,62
"11100  Riihimäki Keskus (Riihimäki)",384,316,283,322,414
"11120  Pohjois-Riihimäki (Riihimäki)",335,268,222,250,308
"11130  Peltosaari-Patastenmäki (Riihimäki)",521,396,388,460,557
"11310  Taka-Kasarmi (Riihimäki)",35,28,21,25,34
"11710  Herajoki (Riihimäki)",145,124,111,126,125
"11910  Lasi-Kumela (Riihimäki)",119,100,87,110,122
"12100  Oitti (Hausjärvi)",111,101,86,108,122
"12130  Mommila (Hausjärvi)",16,9,11,7,10
"12170  Hietoinen (Hausjärvi)",5,6,9,7,8
"12210  Hausjärvi kk (Hausjärvi)",5,5,4,5,7
"12240  Hikiä (Hausjärvi)",62,73,50,55,61
"12310  Ryttylä (Hausjärvi)",82,70,60,75,70
"12350  Turkhauta (Hausjärvi)",14,10,6,15,15
"12380  Leppäkoski (Janakkala)",30,26,24,21,20
"12400  Tervakoski (Janakkala)",285,183,161,164,176
"12450  Vähikkälä (Janakkala)",15,16,8,4,6
"12520  Kormu (Loppi)",11,7,8,7,11
"12540  Launonen (Loppi)",49,39,33,34,42
"12600  Läyliäinen (Loppi)",59,41,39,55,65
"12630  Sajaniemi (Loppi)",9,7,3,8,12
"12640  Joentaka (Loppi)",7,7,5,5,7
"12700  Loppi kk (Loppi)",76,71,57,75,81
"12750  Pilpala (Loppi)",18,14,12,22,22
"12820  Räyskälä (Loppi)",4,4,2,1,1
"12920  Topeno (Loppi)",10,12,11,12,14
"12950  Vojakkala-Eerolankulma (Loppi)",17,15,17,12,12
"13100  Hämeenlinna Keskus (Hämeenlinna)",679,589,557,645,683
"13110  Kantola (Hämeenlinna)",8,18,13,30,41
"13130  Kauriala (Hämeenlinna)",393,361,300,367,347
"13200  Keinusaari (Hämeenlinna)",128,132,127,138,154
"13210  Hätilä (Hämeenlinna)",560,464,390,418,433
"13220  Sairio (Hämeenlinna)",91,74,56,72,82
"13250  Katuma (Hämeenlinna)",125,96,86,105,114
"13270  Ruununmylly (Hämeenlinna)",71,41,48,51,62
"13300  Käikälä (Hämeenlinna)",120,82,57,94,62
"13330  Harviala (Janakkala)",33,28,25,36,30
"13430  Hattelmala (Hämeenlinna)",50,30,33,50,39
"13500  Jukola (Hämeenlinna)",713,598,536,604,590
"13530  Hämeenlinna sairaala-alue (Hämeenlinna)",...,0,0,0,0
"13600  Ojoinen (Hämeenlinna)",255,207,201,223,234
"13700  Parolannummi (Hattula)",18,16,7,12,14
"13720  Parola (Hattula)",202,158,130,147,154
"13800  Katinala (Hattula)",44,37,32,34,41
"13880  Rahkoila (Hattula)",53,42,35,58,51
"13900  Pekola (Hattula)",22,15,15,27,26
"14140  Jokimaa (Janakkala)",8,11,6,8,5
"14200  Turenki (Janakkala)",480,387,340,399,360
"14240  Väli-Janakkala (Janakkala)",40,34,25,38,31
"14300  Renko kk (Hämeenlinna)",114,116,93,113,109
"14430  Vuohiniemi (Hattula)",5,3,3,3,3
"14450  Rimmilä (Hämeenlinna)",6,7,6,8,6
"14500  Iittala (Hämeenlinna)",167,146,129,172,155
"14530  Leteensuo (Hattula)",11,8,10,11,13
"14610  Lepaa (Hattula)",21,13,12,16,18
"14620  Tyrväntö (Hattula)",10,9,5,11,10
"14680  Alvettula (Hämeenlinna)",25,21,23,24,22
"14690  Torvoila (Hämeenlinna)",8,10,14,14,10
"14700  Hauho kk (Hämeenlinna)",114,98,93,99,111
"14770  Eteläinen (Hämeenlinna)",52,33,38,35,49
"14810  Pohjoinen (Hämeenlinna)",20,15,20,12,11
"14820  Syrjäntaka (Hämeenlinna)",51,47,37,45,44
"14840  Sairiala (Hämeenlinna)",10,11,18,13,11
"14870  Juttila (Hämeenlinna)",16,14,15,11,14
"14930  Sappee (Hämeenlinna)",5,4,4,7,3
"14960  Puutikkala (Pälkäne)",3,2,1,2,2
"14980  Kuohijoki (Pälkäne)",1,2,2,0,0
"15100  Lahti Asemanseutu (Lahti)",555,489,450,482,535
"15110  Keski-Lahti (Lahti)",705,630,429,467,485
