"12f6 -- 8. Main type of activity, 2010-2024"

"Postal code area","2020 Unemployed (PT)","2021 Unemployed (PT)","2022 Unemployed (PT)","2023 Unemployed (PT)","2024 Unemployed (PT)"
"48100  Kotkansaari (Kotka)",770,647,579,659,641
"48130  Katariina (Kotka)",75,41,43,49,58
"48200  Hovinsaari (Kotka)",247,221,194,202,225
"48210  Toukolan Sairaala-Alue (Kotka)",12,9,8,9,9
"48220  Metsola (Kotka)",82,69,54,74,87
"48230  Korela-Jylppy (Kotka)",102,72,60,72,79
"48300  Ruonala (Kotka)",72,41,56,72,56
"48310  Mussalo (Kotka)",222,163,149,152,192
"48350  Karhuvuori (Kotka)",477,417,392,459,496
"48400  Sutela (Kotka)",227,172,172,190,196
"48410  Kaukola (Kotka)",78,49,44,62,62
"48600  Karhula (Kotka)",572,462,426,489,510
"48700  Kyminlinna (Kotka)",203,189,179,214,219
"48710  Koivula (Kotka)",84,59,52,75,71
"48720  Kymi (Kotka)",90,74,64,77,84
"48750  Nikeli (Kotka)",15,11,5,5,7
"48770  Ristinkallio (Kotka)",152,122,96,124,131
"48800  Otsola-Mäntykangas (Kotka)",101,79,63,88,88
"48810  Rantahaka (Kotka)",41,39,41,33,38
"48900  Sunila (Kotka)",141,105,93,105,121
"48910  Suulisniemi (Kotka)",121,106,96,120,109
"48930  Tiutinen (Kotka)",16,16,11,17,18
"49200  Heinlahti (Pyhtää)",28,23,29,24,34
"49210  Huutjärvi (Pyhtää)",55,34,40,44,39
"49220  Siltakylä (Pyhtää)",85,70,67,83,79
"49240  Purolanlahti (Pyhtää)",23,23,20,24,21
"49270  Pyhtää kk (Pyhtää)",60,51,48,54,53
"49290  Vastila (Pyhtää)",30,18,24,26,32
"49300  Tavastila (Kotka)",60,35,31,35,39
"49340  Juurikorpi (Kotka)",7,5,2,8,8
"49400  Hamina Keskus (Hamina)",569,468,425,508,551
"49410  Poitsila (Hamina)",146,130,120,118,138
"49420  Uusi-Summa (Hamina)",118,93,94,106,121
"49460  Hillo (Hamina)",101,94,89,95,107
"49480  Vanha-Summa (Hamina)",27,29,28,31,26
"49490  Neuvoton (Hamina)",94,83,74,68,86
"49510  Husula (Hamina)",82,75,70,61,69
"49520  Reitkalli (Hamina)",16,10,6,11,11
"49540  Metsäkylä (Hamina)",17,17,19,22,23
"49570  Kannusjärvi (Hamina)",21,11,14,16,17
"49610  Sivatti (Hamina)",5,3,7,8,7
"49630  Vehkajoki (Hamina)",6,4,5,3,5
"49640  Paijärvi (Hamina)",12,4,8,7,5
"49660  Pyhältö (Hamina)",25,23,16,20,25
"49700  Miehikkälä Kirkonkylä (Miehikkälä)",41,35,26,28,44
"49720  Hurttala (Miehikkälä)",2,1,1,2,1
"49730  Muurikkala (Miehikkälä)",19,20,17,14,13
"49750  Kalliokoski (Miehikkälä)",9,7,6,10,10
"49760  Suur-Miehikkälä (Miehikkälä)",8,5,9,8,6
"49770  Salo-Miehikkälä (Miehikkälä)",17,14,11,10,11
"49780  Onkamaa (Hamina)",5,5,4,3,4
"49840  Mäntlahti (Hamina)",5,4,3,6,4
"49860  Klamila (Virolahti)",46,35,42,47,45
"49900  Virolahti Keskus (Virolahti)",136,112,94,91,113
"49930  Vaalimaa (Virolahti)",6,4,7,4,5
"49960  Ala-Pihlaja (Virolahti)",18,14,9,8,13
"49980  Ravijoki (Virolahti)",9,14,8,5,8
"50100  Mikkeli Keskus (Mikkeli)",497,399,399,490,461
"50120  Siekkilä (Mikkeli)",82,91,82,97,106
"50130  Nuijamies (Mikkeli)",159,123,106,137,162
"50150  Tusku (Mikkeli)",97,87,76,104,95
"50160  Kattilansilta (Mikkeli)",201,190,171,205,257
"50170  Peitsari (Mikkeli)",354,301,293,326,331
"50180  Visulahti (Mikkeli)",26,24,18,21,20
"50190  Tuppurala (Mikkeli)",335,278,256,299,353
"50200  Kovala (Mikkeli)",23,19,16,29,18
"50300  Rämälä (Mikkeli)",10,11,13,12,11
"50350  Norola (Mikkeli)",15,10,14,18,14
"50500  Tuukkala-Kaituenmäki (Mikkeli)",69,74,72,73,67
"50520  Moision Sairaala-alue (Mikkeli)",13,12,9,16,21
"50600  Karikko (Mikkeli)",169,138,136,170,161
"50670  Otava (Mikkeli)",102,93,97,97,96
"50700  Syysjärvi (Mikkeli)",33,28,24,24,29
"50770  Korpikoski (Mikkeli)",12,6,7,8,8
"50800  Annilanselkä (Mikkeli)",15,10,8,9,15
"50970  Ihastjärvi (Mikkeli)",111,89,99,125,126
"51130  Vanhamäki (Mikkeli)",13,11,10,11,11
"51200  Kangasniemi Keskus (Kangasniemi)",161,133,130,151,174
"51260  Tahkomäki (Kangasniemi)",4,7,9,5,5
"51270  Kutemajärvi (Kangasniemi)",8,10,10,4,6
"51310  Levä (Kangasniemi)",5,5,3,3,5
"51335  Kaihlamäki (Kangasniemi)",2,2,3,3,2
"51340  Hännilä-Särkiharju (Kangasniemi)",15,10,12,8,11
"51360  Koivula-Synsiö (Kangasniemi)",7,5,6,9,9
"51380  Synsiö (Kangasniemi)",0,1,0,1,0
"51420  Harjumaa-Pajulankylä (Mikkeli)",8,7,14,13,16
"51430  Läsäkoski (Kangasniemi)",5,4,6,4,4
"51440  Vuojalahti (Kangasniemi)",10,10,7,9,13
"51450  Pajulankylä (Mikkeli)",2,1,1,4,1
"51460  Luusniemi (Kangasniemi)",9,10,10,7,6
"51520  Hiirola (Mikkeli)",20,15,12,17,23
"51540  Kalvitsa (Mikkeli)",11,9,12,8,9
"51600  Haukivuori Keskus-Pitkäaho (Mikkeli)",64,58,59,54,51
"51620  Pitkäaho (Mikkeli)",...,...,...,...,...
"51670  Nykälä (Mikkeli)",7,5,5,6,4
"51720  Rahula (Mikkeli)",19,16,13,16,18
"51740  Huuhanaho (Mikkeli)",8,3,5,5,5
"51760  Nuutilanmäki (Juva)",11,16,13,11,11
"51780  Kuosmala (Juva)",1,2,0,3,5
"51810  Maivala (Juva)",5,8,3,5,2
"51820  Hatsola (Juva)",6,9,8,11,11
"51850  Vuorenmaa (Juva)",7,5,2,3,3
"51860  Narila (Juva)",1,0,0,1,1
"51880  Koikkala (Juva)",8,7,8,4,2
"51890  Risulahti (Juva)",4,4,4,3,1
"51900  Juva Keskus (Juva)",200,158,145,156,173
"51930  Paatela (Juva)",8,5,2,3,4
"51940  Härkälä (Juva)",8,3,2,6,4
"51980  Lauteala (Juva)",5,10,8,8,11
"52100  Anttola (Mikkeli)",80,56,50,68,80
"52110  Majavesi (Mikkeli)",11,7,5,11,10
"52150  Hauhala (Mikkeli)",5,3,6,6,8
"52200  Puumala Keskus (Puumala)",69,72,49,65,73
"52230  Hurissalo (Puumala)",5,8,8,10,10
"52270  Ryhälä (Puumala)",4,2,2,2,3
"52300  Ristiina Keskus (Mikkeli)",143,127,124,154,156
"52320  Vitsiälä (Mikkeli)",18,9,16,10,12
"52330  Heimari (Mikkeli)",2,3,3,5,2
"52340  Hangastenmaa (Mikkeli)",8,6,6,5,3
"52360  Someenjärvi (Mikkeli)",8,5,7,6,7
"52420  Pellosniemi (Mikkeli)",46,42,38,45,38
"52510  Hietanen (Hirvensalmi)",27,23,22,21,26
"52520  Syväsmäki (Hirvensalmi)",13,10,9,5,10
"52550  Hirvensalmi Keskus (Hirvensalmi)",78,60,64,87,55
"52610  Tuukkalanlahti (Hirvensalmi)",10,5,6,8,8
"52620  Kuitula (Hirvensalmi)",4,5,5,4,3
"52700  Mäntyharju Keskus (Mäntyharju)",221,181,161,223,192
"52720  Karankamäki-Koirakivi (Mäntyharju)",3,2,1,1,1
"52730  Koirakivi (Mäntyharju)",2,3,1,1,1
"52740  Tuustaipale (Mäntyharju)",17,17,18,14,11
"52760  Mynttilä (Mäntyharju)",4,3,2,4,2
"52780  Kuomiokoski (Mikkeli)",9,7,4,7,7
"52830  Suomenniemi (Mikkeli)",48,41,35,37,47
"52850  Halmeniemi (Mäntyharju)",3,4,4,2,4
"52890  Käävänkylä (Mäntyharju)",3,0,1,6,3
"52920  Voikoski (Kouvola)",8,4,5,7,7
"52960  Nurmaa (Mäntyharju)",8,4,4,3,4
"52970  Pankalahti-Ahvenainen (Mäntyharju)",8,5,4,3,4
"52980  Ahvenainen (Mäntyharju)",1,2,1,1,1
"53100  Lappeenranta keskus (Lappeenranta)",620,477,493,523,593
"53130  Keskussairaala-alue-Kimpinen (Lappeenranta)",46,35,40,43,39
"53200  Kaukas-Tirilä (Lappeenranta)",97,98,87,105,119
"53300  Lauritsala-Mälkiä (Lappeenranta)",494,410,447,474,544
"53400  Laihia (Lappeenranta)",105,73,80,75,99
"53420  Mustola (Lappeenranta)",36,33,31,28,24
"53500  Parkkarila-Harapainen-Reijola (Lappeenranta)",329,260,253,251,294
"53550  Kourulanmäki (Lappeenranta)",58,32,52,50,56
"53600  Kesämäki (Lappeenranta)",154,115,113,131,146
"53650  Mattila-Kuusela (Lappeenranta)",121,108,108,105,114
"53810  Kuusimäki-Lavola (Lappeenranta)",274,213,200,255,293
"53830  Rutola (Lappeenranta)",16,17,10,14,12
"53850  Skinnarila (Taipalsaari)",660,539,510,619,733
"53900  Pallo-Tysterniemi-Leiri (Lappeenranta)",216,162,152,190,248
"53920  Voisalmi (Lappeenranta)",281,223,251,261,294
"53950  Kivisalmi (Lappeenranta)",196,146,151,175,199
"54100  Joutseno Keskus (Lappeenranta)",313,222,201,267,291
"54110  Lampikangas (Lappeenranta)",70,41,52,46,60
"54120  Pulp (Lappeenranta)",216,149,89,97,112
"54190  Konnunsuo (Lappeenranta)",4,8,5,6,8
"54230  Nuijamaa (Lappeenranta)",44,42,40,44,34
"54250  Rapattila (Lappeenranta)",5,4,4,3,7
"54260  Hanhijärvi (Lappeenranta)",18,19,19,25,18
"54270  Vainikkala (Lappeenranta)",26,21,15,25,27
"54300  Vilkjärvi (Lappeenranta)",42,33,40,48,42
"54310  Hytti (Lappeenranta)",21,14,21,21,15
"54330  Simola (Lappeenranta)",32,28,32,31,20
"54390  Pulsa (Lappeenranta)",7,10,8,9,9
"54410  Ylämaa Keskus (Lappeenranta)",60,52,48,44,45
"54430  Hujakkala (Lappeenranta)",7,5,6,12,9
"54460  Ylijärvi (Lappeenranta)",3,5,5,5,3
"54490  Ahomäki (Miehikkälä)",11,9,6,8,9
"54500  Taavetti-Somerharju (Luumäki)",129,118,139,132,133
"54510  Uro (Luumäki)",18,18,13,14,18
"54530  Luumäki (Luumäki)",62,44,44,36,46
"54550  Suo-Anttila (Luumäki)",5,3,5,6,6
"54580  Somerharju (Luumäki)",2,2,2,2,...
"54590  Kaitjärvi (Luumäki)",13,14,9,7,10
"54710  Lemi Keskus (Lemi)",62,54,54,67,63
"54720  Laksiainen (Lemi)",4,4,4,5,6
"54750  Välijoki (Savitaipale)",14,14,12,12,10
"54770  Heituinlahti (Savitaipale)",19,22,18,22,23
"54800  Savitaipale Keskus (Savitaipale)",106,81,86,101,108
"54820  Kotimäki (Lemi)",10,12,5,10,11
"54850  Kuukanniemi (Lemi)",83,63,51,69,60
"54915  Saimaanharju-Kyläniemi (Taipalsaari)",119,95,81,88,96
"54920  Taipalsaari (Taipalsaari)",71,58,51,58,59
"54930  Levänen (Taipalsaari)",11,8,3,10,12
"54940  Solkei (Taipalsaari)",9,7,6,5,7
"54950  Pettilä (Savitaipale)",12,10,9,9,9
"54960  Vehkataipale (Taipalsaari)",30,29,26,25,44
"55100  Imatra Keskus (Imatra)",748,527,476,640,580
"55120  Mansikkala-Tuulikallio (Imatra)",255,196,197,240,264
"55300  Rauha-Tiuruniemi (Lappeenranta)",55,48,42,59,52
"55320  Rauha (Lappeenranta)",43,31,22,26,37
"55330  Tiuruniemi (Lappeenranta)",5,8,8,7,6
"55400  Tainionkoski-Mustalampi (Imatra)",100,70,65,97,97
"55420  Karhumäki-Karhukallio (Imatra)",131,86,88,110,116
"55510  Sotkulampi-Linnasuo (Imatra)",152,121,107,120,118
"55610  Rajapatsas-Teppanala (Imatra)",324,175,196,287,267
"55700  Vintteri-Virasoja (Imatra)",124,83,69,94,87
"55800  Vuoksenniska-Saarlampi (Imatra)",362,277,286,312,312
"55910  Rautio-Kurkvuori (Imatra)",129,85,91,101,110
"56100  Ruokolahti Keskus (Ruokolahti)",112,94,79,77,83
"56120  Salosaari (Ruokolahti)",54,32,28,52,50
"56140  Äitsaari (Ruokolahti)",17,17,11,8,12
"56210  Virmutjoki (Ruokolahti)",31,22,19,19,20
"56310  Syyspohja (Ruokolahti)",4,5,6,10,7
"56330  Utula (Ruokolahti)",1,1,...,...,...
"56350  Kyläniemi (Taipalsaari)",...,...,...,...,...
"56410  Kaiturinpää (Ruokolahti)",13,5,7,7,11
"56440  Pohja-Lankila (Ruokolahti)",16,22,16,19,18
"56510  Puntala (Ruokolahti)",30,23,16,28,30
"56550  Niska-Pietilä (Rautjärvi)",6,7,5,6,5
"56610  Rautjärvi (Rautjärvi)",48,31,28,41,31
"56640  Purnujärvi (Rautjärvi)",4,9,4,2,3
"56710  Miettilä (Rautjärvi)",10,10,6,7,10
"56730  Laikko (Rautjärvi)",15,14,14,17,11
"56800  Simpele (Rautjärvi)",156,123,104,175,148
"57100  Heikinpohja-Piispanmäki (Savonlinna)",238,208,183,191,240
"57120  Savonlinna (Savonlinna)",0,...,...,0,0
"57130  Savonlinna Keskus (Savonlinna)",113,83,72,85,111
"57170  Sortteerinlahti-Talvisalo (Savonlinna)",126,99,98,116,137
"57200  Miekonniemi-Venäjänniemi (Savonlinna)",178,123,123,141,149
"57210  Nojanmaa (Savonlinna)",183,132,115,140,165
"57220  Savonlinna (Savonlinna)",403,304,295,324,331
"57230  Inkerinkylä (Savonlinna)",43,31,24,26,28
"57310  Savonlinna (Savonlinna)",36,29,29,25,32
"57510  Laitaatsilta (Savonlinna)",22,21,14,17,21
"57600  Poukkusilta-Pihlajaniemi (Savonlinna)",85,58,46,59,71
"57710  Kellarpelto-Rantakoivikko (Savonlinna)",178,142,110,149,161
"57810  Savonlinna (Savonlinna)",32,25,21,18,22
"58130  Oravi (Savonlinna)",5,0,3,3,2
"58140  Ahvensalmi (Savonlinna)",5,2,3,2,5
"58150  Makkola (Savonlinna)",13,6,17,11,9
"58160  Karvila (Enonkoski)",7,6,2,4,7
"58170  Simanala (Enonkoski)",16,14,8,12,12
"58175  Enonkoski Keskus (Enonkoski)",43,31,42,34,35
"58180  Ihamaniemi (Enonkoski)",12,7,8,8,9
"58200  Kerimäki Keskus (Savonlinna)",197,158,135,155,168
"58220  Louhi (Savonlinna)",29,23,24,25,23
"58260  Kumpuranta (Savonlinna)",15,6,5,4,11
"58300  Savonranta Keskus (Savonlinna)",51,50,46,43,40
"58320  Raikuu (Savonlinna)",18,17,13,13,13
"58350  Villala (Kitee)",25,18,17,14,21
"58360  Säimen (Savonlinna)",18,15,11,15,7
"58390  Rönkönvaara (Savonlinna)",1,2,1,1,1
"58410  Haapakallio (Savonlinna)",55,31,28,31,38
"58420  Silvola (Savonlinna)",18,10,7,12,10
"58430  Kulennoinen (Savonlinna)",30,21,22,24,25
"58450  Punkaharju (Savonlinna)",26,21,16,14,19
"58500  Punkasalmi (Savonlinna)",125,58,59,64,80
"58520  Hiukkajoki (Savonlinna)",18,10,9,15,17
"58550  Putikko (Savonlinna)",37,21,23,20,14
"58570  Ruhvana (Savonlinna)",7,1,2,3,3
"58580  Vuoriniemi (Savonlinna)",7,9,5,5,4
"58610  Telakanava (Sulkava)",9,5,5,2,3
"58620  Lohilahti (Sulkava)",10,13,7,10,9
"58650  Kiviapaja (Savonlinna)",6,3,5,3,7
"58680  Piojärvi (Savonlinna)",5,4,3,3,1
"58690  Ala-Särkilahti-Piojärvi (Savonlinna)",4,4,4,5,5
"58700  Sulkava Keskus (Sulkava)",122,84,59,79,99
"58720  Kaartilankoski (Sulkava)",15,6,7,9,11
"58770  Pihlajalahti (Savonlinna)",16,20,12,13,12
"58810  Kallislahti (Savonlinna)",20,15,8,13,17
"58830  Parkumäki (Rantasalmi)",16,6,11,9,11
"58850  Hiltula (Rantasalmi)",8,5,2,1,4
"58900  Rantasalmi Keskus (Rantasalmi)",125,91,78,91,102
"58910  Rantasalmi Asemanseutu (Rantasalmi)",21,16,10,13,10
"58920  Kolkontaipale (Rantasalmi)",17,18,13,19,16
"58940  Tuusmäki (Rantasalmi)",4,5,5,6,6
"59100  Parikkala Keskus (Parikkala)",108,85,89,106,91
"59130  Koitsanlahti (Parikkala)",6,4,5,8,1
"59210  Melkoniemi (Parikkala)",8,2,6,5,2
"59310  Särkisalmi (Parikkala)",39,23,18,35,36
"59320  Haapaoja (Parikkala)",4,3,5,3,1
"59410  Kirjavala (Parikkala)",18,16,14,15,18
"59510  Maironiemi (Parikkala)",30,24,22,24,15
"59520  Saari (Parikkala)",5,3,3,5,2
"59530  Mikkolanniemi (Parikkala)",4,3,1,2,6
"59610  Tarnala (Parikkala)",16,12,12,11,12
"59710  Kummunkylä (Parikkala)",8,6,5,5,6
"59720  Niukkala (Parikkala)",7,6,5,7,6
"59730  Uukuniemi (Parikkala)",8,4,3,4,7
"59800  Kesälahti Keskus (Kitee)",98,76,68,100,107
"59810  Suurikylä (Kitee)",4,7,4,5,6
"59820  Purujärvi-Rajavaara (Kitee)",13,8,4,7,10
"60100  Seinäjoki Keskus (Seinäjoki)",693,536,543,629,728
"60120  Pohja (Seinäjoki)",170,136,142,147,166
"60150  Kasperi (Seinäjoki)",327,272,246,273,318
"60200  Törnävä (Seinäjoki)",649,397,386,448,515
"60220  Huhtala (Seinäjoki)",104,73,68,69,80
"60280  Eskoon Keskuslaitosalue (Seinäjoki)",0,1,1,0,0
"60320  Alakylä-Jouppi (Seinäjoki)",345,256,274,303,343
"60420  Impivaara (Seinäjoki)",39,28,32,37,34
"60450  Munakka (Ilmajoki)",18,11,13,13,14
"60510  Hyllykallio (Seinäjoki)",418,256,243,297,286
"60550  Nurmo Keskus (Seinäjoki)",165,123,126,141,149
"60560  Halkosaari (Seinäjoki)",35,18,16,20,19
"60640  Kurjenneva (Seinäjoki)",41,19,16,15,17
"60720  Tuomikylä (Ilmajoki)",81,41,49,61,67
"60760  Pojanluoma (Ilmajoki)",32,14,19,20,12
"60800  Ilmajoki Keskus (Ilmajoki)",200,146,165,176,208
"61100  Peräseinäjoki Keskus (Seinäjoki)",90,66,66,83,80
"61110  Vuolle (Seinäjoki)",9,8,5,6,2
"61120  Louko (Seinäjoki)",27,16,12,18,17
"61140  Pasto (Seinäjoki)",2,2,4,5,2
"61150  Sydänmaa (Alavus)",3,1,1,4,0
"61160  Koura (Seinäjoki)",28,16,18,22,25
"61170  Sääskiniemi (Alavus)",9,6,8,19,18
"61180  Haapaluoma (Seinäjoki)",14,10,7,10,10
"61220  Myllysalo (Kurikka)",14,12,8,12,13
"61230  Luopa (Kurikka)",31,20,20,21,20
"61250  Jalasto (Kurikka)",11,12,8,9,12
"61270  Luopajärvi (Kurikka)",19,13,19,23,12
"61280  Jokipii (Kurikka)",17,15,16,10,17
"61290  Taivalmaa (Kurikka)",2,1,3,0,0
"61300  Kurikka Keskus (Kurikka)",321,227,222,199,214
"61310  Panttila (Kurikka)",45,33,39,24,41
"61330  Koskenkorva (Ilmajoki)",116,77,78,76,73
"61340  Nopankylä (Ilmajoki)",16,10,10,13,15
"61350  Huissi (Ilmajoki)",13,5,9,11,11
"61360  Mieto (Kurikka)",50,26,45,38,40
"61370  Lohiluoma (Kurikka)",13,11,8,8,6
"61380  Polvenkylä (Kurikka)",14,8,8,7,5
"61400  Ylistaro Keskus (Seinäjoki)",99,66,52,80,82
"61410  Ylistaro Asemanseutu (Seinäjoki)",36,41,35,36,37
"61430  Isorehto (Seinäjoki)",20,9,10,16,10
"61440  Untamala (Seinäjoki)",7,3,3,4,6
"61450  Kylänpää (Seinäjoki)",17,11,17,19,18
"61460  Hanhikoski (Seinäjoki)",6,7,7,6,6
"61470  Kitinoja (Seinäjoki)",14,9,8,7,8
"61500  Isokyrö Keskus (Isokyrö)",126,75,63,77,75
"61520  Lehmäjoki (Isokyrö)",5,3,5,5,5
"61550  Orismala (Isokyrö)",28,23,16,18,20
"61560  Orisberg (Isokyrö)",2,0,0,0,0
"61600  Jalasjärvi Keskus (Kurikka)",153,132,120,132,128
"61630  Hirvijärvi (Kurikka)",11,5,11,6,8
"61640  Ala-Valli (Kurikka)",11,6,11,7,4
"61650  Kalakoski (Seinäjoki)",11,9,15,11,12
"61680  Mantila (Kurikka)",7,4,4,2,2
"61710  Pentinmäki (Kurikka)",7,14,7,8,10
"61720  Koskue (Kurikka)",21,18,17,19,18
"61730  Yli-Valli (Kurikka)",23,15,13,8,5
"61760  Ilvesjoki (Kurikka)",16,15,11,9,13
"61800  Kauhajoki Keskus (Kauhajoki)",446,339,336,307,359
"61810  Luomankylä (Kauhajoki)",15,10,9,14,12
"61820  Kainasto (Kauhajoki)",31,21,21,17,14
"61840  Norinkylä (Teuva)",15,9,13,14,17
"61850  Kauhajoki Asemanseutu (Kauhajoki)",112,74,80,80,89
"61860  Harja (Kauhajoki)",12,3,8,5,5
"61880  Ikkeläjärvi (Kauhajoki)",10,11,9,7,11
"61910  Nummijärvi (Kauhajoki)",6,2,8,5,6
"61920  Nummikoski (Kauhajoki)",4,4,2,0,1
"61940  Hyyppä (Kauhajoki)",11,14,10,14,11
"61950  Juonikylä (Kauhajoki)",20,8,10,10,16
"61960  Kyrönlatva (Kauhajoki)",7,3,7,8,8
"61980  Päntäne (Kauhajoki)",69,47,37,40,40
"62100  Lapua Keskus (Lapua)",494,335,336,398,418
"62130  Hellanmaa (Lapua)",16,15,7,15,14
"62150  Rintakangas (Kauhava)",6,7,6,9,5
"62160  Karhunkylä (Lapua)",22,11,14,14,14
"62165  Tiisteenjoki (Lapua)",6,8,5,7,5
"62170  Lakaluoma (Lapua)",9,7,5,7,6
"62175  Ylikylä-Mäenpää (Lapua)",4,1,3,1,2
"62185  Mäki-Paavola (Lapua)",7,6,3,8,5
"62190  Ruha (Lapua)",28,19,14,21,24
"62200  Kauhava Keskus (Kauhava)",292,201,172,202,195
"62220  Pernaa (Kauhava)",16,12,8,8,8
"62230  Jylhä (Kauhava)",17,10,7,8,9
"62240  Huhmarkoski (Kauhava)",19,12,16,18,17
"62260  Hirvijoki (Kauhava)",7,3,4,7,6
"62280  Mustamaa (Lapua)",3,3,1,4,2
"62290  Hirvikylä (Lapua)",6,4,4,9,5
"62295  Kauhajärvi (Lapua)",16,14,13,14,16
"62300  Härmä (Kauhava)",100,74,61,66,65
"62310  Voltti (Kauhava)",38,27,27,30,23
"62340  Kuoppa-Vakkuri (Kauhava)",2,5,5,3,3
"62350  Ekola (Kauhava)",3,0,0,0,1
"62370  Kangasto (Kauhava)",12,7,4,5,10
"62375  Ylihärmä Keskus-Vesiluoma (Kauhava)",121,60,63,95,92
"62380  Kosolankylä (Kauhava)",7,5,6,6,4
"62395  Petterinmäki (Vörå)",8,2,3,4,2
"62410  Rintala (Kauhava)",8,5,5,10,7
"62420  Kortesjärvi Keskus (Kauhava)",44,24,16,25,32
"62430  Peltotupa (Kauhava)",5,7,4,4,3
"62435  Pirttinen (Kauhava)",3,1,1,2,1
"62440  Perkiömäki (Kauhava)",2,1,1,1,4
"62470  Purmojärvi (Kauhava)",12,9,13,10,9
"62500  Evijärvi Keskus (Evijärvi)",43,26,45,48,33
"62510  Kuoppa-aho (Evijärvi)",11,11,10,11,8
"62520  Kautiainen (Evijärvi)",3,2,0,4,3
"62540  Vasikka-aho (Evijärvi)",9,6,3,7,5
"62570  Särkilä (Evijärvi)",9,8,10,10,5
"62600  Lappajärvi Keskus (Lappajärvi)",66,48,53,46,53
"62610  Tarvola (Lappajärvi)",7,7,4,0,1
"62620  Ala-Seppä (Lappajärvi)",7,6,5,6,4
"62630  Karvala (Lappajärvi)",13,7,6,9,5
"62640  Savonkylä (Lappajärvi)",4,2,6,3,5
"62660  Itäkylä (Lappajärvi)",17,13,10,8,12
"62710  Kurejoki (Alajärvi)",37,23,21,26,30
"62720  Sissala (Alajärvi)",8,6,9,8,8
"62730  Haukkala (Alajärvi)",11,8,7,4,5
"62740  Koskenvarsi (Alajärvi)",5,2,2,3,1
"62750  Saukonkylä (Alajärvi)",9,5,4,6,3
"62760  Menkijärvi (Alajärvi)",13,8,6,3,8
"62800  Vimpeli Keskus (Vimpeli)",78,68,60,71,60
"62810  Savonjoki (Vimpeli)",4,4,0,5,5
"62830  Luoma-Aho (Alajärvi)",13,4,3,8,9
"62840  Lakaniemi-Pokela (Vimpeli)",2,2,3,2,5
"62860  Sahi (Vimpeli)",8,7,6,4,4
"62870  Vinni (Vimpeli)",3,2,0,3,1
"62880  Sääksvesi-Vinni (Vimpeli)",6,6,4,4,11
"62900  Alajärvi Keskus (Alajärvi)",225,145,150,145,128
"62920  Levijoki (Alajärvi)",5,4,0,2,2
"62940  Hoisko (Alajärvi)",25,27,17,15,20
"62950  Paalijärvi (Alajärvi)",23,19,24,13,13
"62990  Möksy (Alajärvi)",5,8,3,4,6
"63100  Kuortane Keskus (Kuortane)",45,23,29,30,29
"63120  Leppälänkylä (Kuortane)",9,9,5,6,6
"63130  Mäyry (Kuortane)",15,10,14,12,19
"63150  Ruona (Kuortane)",15,9,11,15,16
"63160  Salmi (Kuortane)",4,3,2,3,2
"63210  Niinimaa (Alavus)",1,4,2,3,7
"63230  Lentilä (Kuortane)",7,7,8,14,7
"63250  Rantala (Kuortane)",3,1,2,3,2
"63300  Alavus Keskus (Alavus)",163,89,115,177,206
"63320  Kattelus (Alavus)",3,1,3,1,2
"63330  Pahajoki (Alavus)",7,4,7,9,6
"63340  Sapsalampi (Alavus)",2,2,1,1,3
"63350  Sulkavankylä (Alavus)",9,3,8,10,10
"63355  Seinäjärvi (Alavus)",2,4,2,4,4
"63360  Kuivaskylä (Alavus)",11,10,5,10,10
"63370  Taipalus (Alavus)",16,12,14,21,25
"63400  Alavus Asemanseutu (Alavus)",53,41,33,62,74
"63410  Rantatöysä (Alavus)",21,14,15,14,18
"63430  Kätkänjoki (Alavus)",2,3,1,3,4
"63450  Löyä (Kuortane)",1,0,0,2,2
"63500  Lehtimäki Keskus (Alajärvi)",47,23,23,40,32
"63510  Lehtimäki Kirkonkylä (Alajärvi)",6,6,6,7,6
"63530  Länsikylä (Alajärvi)",6,3,2,1,4
"63540  Hernesmaa (Alajärvi)",12,11,13,6,6
"63600  Töysä Keskus (Alavus)",62,56,43,57,69
"63610  Tuuri (Alavus)",56,44,34,50,50
"63640  Ritola (Alavus)",16,9,9,13,13
"63660  Ähtärinranta (Ähtäri)",6,4,5,8,2
"63680  Hakojärvi (Alavus)",12,11,11,12,10
"63700  Ähtäri Keskus (Ähtäri)",161,120,119,211,170
"63770  Peränne (Ähtäri)",7,2,3,6,4
"63780  Alastaipale (Ähtäri)",3,6,3,4,5
"63800  Soini Keskus (Soini)",78,67,64,74,52
"63830  Keisala (Soini)",2,3,3,3,2
"63880  Kukonkylä (Soini)",4,2,1,3,2
"63890  Hautakylä (Soini)",3,1,3,0,4
"63900  Myllymäki-Vehunkylä (Ähtäri)",22,21,17,32,23
"63910  Inhan Tehtaat (Ähtäri)",14,12,10,16,9
"63920  Inha (Ähtäri)",16,8,8,15,8
"63950  Vehunkylä (Ähtäri)",5,5,6,3,3
"64100  Kristiinankaupunki keskus (Kristinestad)",69,56,59,82,78
"64140  Tiukka (Kristinestad)",10,5,7,7,10
"64200  Närpiö Keskus (Närpes)",79,51,121,98,98
"64210  Kalax (Närpes)",7,3,8,7,4
"64220  Yttermark (Närpes)",26,20,25,21,17
"64230  Närpiön Asemanseutu (Närpes)",20,11,24,16,14
"64240  Böle (Närpes)",7,5,2,2,3
"64250  Pjelax (Närpes)",9,6,11,9,8
