"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Households living in rented dwellings (TE)","2021 Households living in rented dwellings (TE)","2022 Households living in rented dwellings (TE)","2023 Households living in rented dwellings (TE)","2024 Households living in rented dwellings (TE)"
"45200  Tornionmäki (Kouvola)",1366,1427,1422,1439,1427
"45330  Harju (Kouvola)",3,3,3,3,3
"45360  Kukkuramäki (Kouvola)",374,372,368,358,347
"45370  Valkeala kk (Kouvola)",296,357,355,357,350
"45410  Utti (Kouvola)",31,30,35,29,28
"45460  Savero (Kouvola)",2,1,2,2,3
"45610  Koria (Kouvola)",566,606,575,543,514
"45700  Kuusankoski Keskus (Kouvola)",1668,1720,1680,1727,1712
"45720  Kotiharju-Puhjonmäki (Kouvola)",303,306,289,273,257
"45740  Maunuksela (Kouvola)",214,225,234,239,236
"45750  Kuusankosken Sairaala-alue (Kouvola)",30,...,...,29,38
"45810  Pilkanmaa (Kouvola)",43,44,39,43,44
"45910  Voikkaa (Kouvola)",329,340,324,331,318
"45940  Oravala (Kouvola)",4,5,4,3,3
"46110  Tuohikotti (Kouvola)",11,14,18,16,13
"46140  Vekaranjärvi (Kouvola)",34,31,37,29,32
"46230  Aro (Kouvola)",9,11,11,11,8
"46400  Kaipiainen (Kouvola)",30,34,34,31,21
"46430  Tirva-Inkerilä (Kouvola)",6,2,4,3,2
"46450  Enäjärvi (Kouvola)",5,5,4,4,5
"46530  Kannuskoski (Luumäki)",7,3,5,3,4
"46570  Saaramaa (Kouvola)",...,...,...,...,...
"46710  Sippola (Kouvola)",50,55,45,46,51
"46730  Ruotila (Kouvola)",1,1,1,1,0
"46750  Liikkala (Kouvola)",3,4,3,5,6
"46800  Myllykoski (Kouvola)",676,689,654,639,620
"46810  Ummeljoki (Kouvola)",59,55,61,55,54
"46860  Anjalankoski Keskus (Kouvola)",96,103,104,100,102
"46900  Inkeroinen (Kouvola)",490,489,494,476,476
"46910  Anjala (Kouvola)",180,191,177,169,166
"46930  Huruksela (Kotka)",3,4,5,3,3
"46950  Ahvio (Kouvola)",...,...,...,...,...
"46960  Muhniemi (Kouvola)",3,5,4,3,3
"47110  Löytty (Kouvola)",1,1,0,0,0
"47150  Raussila (Kouvola)",1,3,2,3,4
"47200  Elimäki kk (Kouvola)",227,242,227,231,234
"47260  Ratula (Kouvola)",1,1,2,1,0
"47310  Haapa-Kimola (Iitti)",5,3,6,6,4
"47350  Kimonkylä (Lapinjärvi)",4,4,2,2,3
"47400  Kausala (Iitti)",743,771,727,741,720
"47440  Sääskjärvi (Iitti)",0,1,2,1,1
"47450  Perheniemi (Iitti)",9,6,9,6,7
"47460  Hiisiö (Iitti)",2,1,2,...,1
"47490  Mankala-Hiisiö (Iitti)",4,2,3,4,3
"47520  Iitti kk (Iitti)",4,4,4,4,3
"47540  Lyöttilä (Iitti)",4,4,5,4,3
"47610  Kymentaka (Iitti)",3,5,4,8,5
"47650  Kimola (Kouvola)",6,5,5,4,3
"47710  Jaala kk (Kouvola)",96,97,98,90,83
"47760  Huhdasjärvi (Kouvola)",5,3,2,2,3
"47810  Selänpää (Kouvola)",7,7,7,7,7
"47830  Hasula (Kouvola)",4,5,4,4,5
"47850  Verla (Kouvola)",5,3,4,3,2
"47900  Vuohijärvi (Kouvola)",36,41,34,35,35
"47910  Hillosensalmi (Kouvola)",...,...,...,...,...
"48100  Kotkansaari (Kotka)",3924,4013,4012,4004,4020
"48130  Katariina (Kotka)",112,105,104,105,93
"48200  Hovinsaari (Kotka)",761,763,762,783,770
"48210  Toukolan Sairaala-Alue (Kotka)",69,63,50,50,49
"48220  Metsola (Kotka)",201,192,194,199,190
"48230  Korela-Jylppy (Kotka)",278,292,281,278,276
"48300  Ruonala (Kotka)",36,34,33,35,33
"48310  Mussalo (Kotka)",433,435,431,434,416
"48350  Karhuvuori (Kotka)",1211,1237,1202,1234,1218
"48400  Sutela (Kotka)",313,323,315,306,295
"48410  Kaukola (Kotka)",44,52,54,49,39
"48600  Karhula (Kotka)",1816,1876,1841,1852,1833
"48700  Kyminlinna (Kotka)",417,428,444,452,441
"48710  Koivula (Kotka)",22,24,20,24,21
"48720  Kymi (Kotka)",35,43,37,34,33
"48750  Nikeli (Kotka)",20,18,17,14,15
"48770  Ristinkallio (Kotka)",161,170,159,157,155
"48800  Otsola-Mäntykangas (Kotka)",53,59,52,63,62
"48810  Rantahaka (Kotka)",25,29,25,19,13
"48900  Sunila (Kotka)",320,320,305,302,299
"48910  Suulisniemi (Kotka)",160,161,157,162,159
"48930  Tiutinen (Kotka)",8,7,6,5,5
"49200  Heinlahti (Pyhtää)",13,13,12,10,9
"49210  Huutjärvi (Pyhtää)",71,72,70,66,67
"49220  Siltakylä (Pyhtää)",94,105,112,113,104
"49240  Purolanlahti (Pyhtää)",7,8,8,6,6
"49270  Pyhtää kk (Pyhtää)",79,80,79,69,66
"49290  Vastila (Pyhtää)",12,10,10,9,8
"49300  Tavastila (Kotka)",10,10,10,8,6
"49340  Juurikorpi (Kotka)",4,4,3,4,3
"49400  Hamina Keskus (Hamina)",1475,1526,1547,1572,1558
"49410  Poitsila (Hamina)",324,324,307,305,307
"49420  Uusi-Summa (Hamina)",162,167,158,164,155
"49460  Hillo (Hamina)",274,274,273,273,281
"49480  Vanha-Summa (Hamina)",7,8,8,9,11
"49490  Neuvoton (Hamina)",93,99,106,102,106
"49510  Husula (Hamina)",162,170,182,196,201
"49520  Reitkalli (Hamina)",1,1,1,2,2
"49540  Metsäkylä (Hamina)",13,13,12,12,10
"49570  Kannusjärvi (Hamina)",7,8,6,8,6
"49610  Sivatti (Hamina)",1,1,1,1,2
"49630  Vehkajoki (Hamina)",7,6,5,5,6
"49640  Paijärvi (Hamina)",3,3,2,1,2
"49660  Pyhältö (Hamina)",7,6,6,5,6
"49700  Miehikkälä Kirkonkylä (Miehikkälä)",115,119,115,113,111
"49720  Hurttala (Miehikkälä)",...,...,...,...,...
"49730  Muurikkala (Miehikkälä)",22,24,22,20,17
"49750  Kalliokoski (Miehikkälä)",5,5,6,7,7
"49760  Suur-Miehikkälä (Miehikkälä)",13,13,11,12,13
"49770  Salo-Miehikkälä (Miehikkälä)",5,6,6,6,4
"49780  Onkamaa (Hamina)",3,2,2,2,2
"49840  Mäntlahti (Hamina)",5,2,3,3,3
"49860  Klamila (Virolahti)",41,43,43,40,45
"49900  Virolahti Keskus (Virolahti)",254,261,251,240,225
"49930  Vaalimaa (Virolahti)",9,7,7,7,5
"49960  Ala-Pihlaja (Virolahti)",7,4,5,6,4
"49980  Ravijoki (Virolahti)",10,13,12,10,8
"50100  Mikkeli Keskus (Mikkeli)",2899,3051,3162,3297,3287
"50120  Siekkilä (Mikkeli)",318,350,360,367,356
"50130  Nuijamies (Mikkeli)",625,620,633,652,652
"50150  Tusku (Mikkeli)",343,337,338,331,332
"50160  Kattilansilta (Mikkeli)",704,709,689,667,720
"50170  Peitsari (Mikkeli)",1006,1050,1036,1045,1055
"50180  Visulahti (Mikkeli)",28,25,28,26,27
"50190  Tuppurala (Mikkeli)",1163,1199,1215,1209,1179
"50200  Kovala (Mikkeli)",9,10,11,10,9
"50300  Rämälä (Mikkeli)",7,5,5,6,4
"50350  Norola (Mikkeli)",6,8,8,9,8
"50500  Tuukkala-Kaituenmäki (Mikkeli)",240,247,230,218,204
"50520  Moision Sairaala-alue (Mikkeli)",39,38,37,41,43
"50600  Karikko (Mikkeli)",340,358,347,359,361
"50670  Otava (Mikkeli)",184,196,181,185,187
"50700  Syysjärvi (Mikkeli)",40,35,33,25,26
"50770  Korpikoski (Mikkeli)",4,6,4,3,1
"50800  Annilanselkä (Mikkeli)",5,5,4,2,2
"50970  Ihastjärvi (Mikkeli)",445,459,452,453,457
"51130  Vanhamäki (Mikkeli)",7,6,8,7,6
"51200  Kangasniemi Keskus (Kangasniemi)",557,556,543,543,527
"51260  Tahkomäki (Kangasniemi)",2,0,1,1,1
"51270  Kutemajärvi (Kangasniemi)",5,5,3,4,4
"51310  Levä (Kangasniemi)",3,1,2,2,2
"51335  Kaihlamäki (Kangasniemi)",...,...,...,...,...
"51340  Hännilä-Särkiharju (Kangasniemi)",1,1,2,1,1
"51360  Koivula-Synsiö (Kangasniemi)",7,12,9,7,6
"51380  Synsiö (Kangasniemi)",...,...,...,...,...
"51420  Harjumaa-Pajulankylä (Mikkeli)",8,9,9,8,7
"51430  Läsäkoski (Kangasniemi)",3,2,2,1,0
"51440  Vuojalahti (Kangasniemi)",6,6,7,5,7
"51450  Pajulankylä (Mikkeli)",...,...,...,...,...
"51460  Luusniemi (Kangasniemi)",4,2,2,2,2
"51520  Hiirola (Mikkeli)",13,16,12,7,10
"51540  Kalvitsa (Mikkeli)",4,5,4,3,7
"51600  Haukivuori Keskus-Pitkäaho (Mikkeli)",184,189,170,172,171
"51620  Pitkäaho (Mikkeli)",...,...,...,...,...
"51670  Nykälä (Mikkeli)",1,3,3,2,1
"51720  Rahula (Mikkeli)",1,1,2,2,1
"51740  Huuhanaho (Mikkeli)",6,5,4,4,5
"51760  Nuutilanmäki (Juva)",9,8,7,8,6
"51780  Kuosmala (Juva)",6,3,3,3,2
"51810  Maivala (Juva)",1,2,2,1,1
"51820  Hatsola (Juva)",8,8,10,11,10
"51850  Vuorenmaa (Juva)",4,5,7,6,5
"51860  Narila (Juva)",3,3,2,1,0
"51880  Koikkala (Juva)",3,4,5,4,4
"51890  Risulahti (Juva)",0,0,0,0,0
"51900  Juva Keskus (Juva)",594,605,555,588,591
"51930  Paatela (Juva)",2,2,1,2,2
"51940  Härkälä (Juva)",1,2,1,1,2
"51980  Lauteala (Juva)",3,3,2,2,3
"52100  Anttola (Mikkeli)",117,132,124,126,122
"52110  Majavesi (Mikkeli)",4,3,2,1,3
"52150  Hauhala (Mikkeli)",3,3,4,4,3
"52200  Puumala Keskus (Puumala)",207,210,212,198,195
"52230  Hurissalo (Puumala)",0,1,1,1,1
"52270  Ryhälä (Puumala)",...,...,...,...,...
"52300  Ristiina Keskus (Mikkeli)",333,338,325,313,317
"52320  Vitsiälä (Mikkeli)",11,11,11,11,7
"52330  Heimari (Mikkeli)",...,...,...,...,...
"52340  Hangastenmaa (Mikkeli)",10,10,8,9,7
"52360  Someenjärvi (Mikkeli)",1,1,1,2,1
"52420  Pellosniemi (Mikkeli)",99,84,90,78,91
"52510  Hietanen (Hirvensalmi)",10,13,9,8,12
"52520  Syväsmäki (Hirvensalmi)",4,4,4,4,2
"52550  Hirvensalmi Keskus (Hirvensalmi)",185,176,160,155,147
"52610  Tuukkalanlahti (Hirvensalmi)",3,5,4,3,4
"52620  Kuitula (Hirvensalmi)",4,4,6,4,4
"52700  Mäntyharju Keskus (Mäntyharju)",675,717,705,707,707
"52720  Karankamäki-Koirakivi (Mäntyharju)",4,5,2,4,3
"52730  Koirakivi (Mäntyharju)",3,4,2,2,2
"52740  Tuustaipale (Mäntyharju)",14,16,18,16,14
"52760  Mynttilä (Mäntyharju)",2,1,2,3,3
"52780  Kuomiokoski (Mikkeli)",14,14,15,12,10
"52830  Suomenniemi (Mikkeli)",45,35,38,35,34
"52850  Halmeniemi (Mäntyharju)",3,3,3,2,3
"52890  Käävänkylä (Mäntyharju)",3,3,3,3,4
"52920  Voikoski (Kouvola)",1,1,1,0,0
"52960  Nurmaa (Mäntyharju)",5,5,7,5,5
"52970  Pankalahti-Ahvenainen (Mäntyharju)",4,3,4,3,4
"52980  Ahvenainen (Mäntyharju)",...,...,...,...,...
"53100  Lappeenranta keskus (Lappeenranta)",3367,3506,3627,3794,3810
"53130  Keskussairaala-alue-Kimpinen (Lappeenranta)",302,297,308,304,293
"53200  Kaukas-Tirilä (Lappeenranta)",443,454,453,448,452
"53300  Lauritsala-Mälkiä (Lappeenranta)",1259,1286,1297,1273,1275
"53400  Laihia (Lappeenranta)",29,31,30,30,29
"53420  Mustola (Lappeenranta)",49,50,46,43,44
"53500  Parkkarila-Harapainen-Reijola (Lappeenranta)",551,553,539,546,556
"53550  Kourulanmäki (Lappeenranta)",92,117,123,125,129
"53600  Kesämäki (Lappeenranta)",845,861,852,861,844
"53650  Mattila-Kuusela (Lappeenranta)",238,241,248,229,220
"53810  Kuusimäki-Lavola (Lappeenranta)",935,953,973,1040,1049
"53830  Rutola (Lappeenranta)",1,2,3,2,2
"53850  Skinnarila (Taipalsaari)",3291,3317,3360,3399,3394
"53900  Pallo-Tysterniemi-Leiri (Lappeenranta)",1207,1261,1280,1415,1409
"53920  Voisalmi (Lappeenranta)",873,909,909,921,928
"53950  Kivisalmi (Lappeenranta)",459,489,470,467,466
"54100  Joutseno Keskus (Lappeenranta)",560,608,598,606,603
"54110  Lampikangas (Lappeenranta)",125,128,123,120,119
"54120  Pulp (Lappeenranta)",224,216,198,199,191
"54190  Konnunsuo (Lappeenranta)",11,10,10,11,10
"54230  Nuijamaa (Lappeenranta)",40,39,37,35,33
"54250  Rapattila (Lappeenranta)",2,1,3,4,6
"54260  Hanhijärvi (Lappeenranta)",3,2,3,2,1
"54270  Vainikkala (Lappeenranta)",27,23,26,25,20
"54300  Vilkjärvi (Lappeenranta)",18,18,16,15,16
"54310  Hytti (Lappeenranta)",4,4,3,3,3
"54330  Simola (Lappeenranta)",21,19,18,20,17
"54390  Pulsa (Lappeenranta)",3,7,2,3,2
"54410  Ylämaa Keskus (Lappeenranta)",79,107,100,96,89
"54430  Hujakkala (Lappeenranta)",7,7,7,5,5
"54460  Ylijärvi (Lappeenranta)",1,1,1,0,0
"54490  Ahomäki (Miehikkälä)",6,4,4,5,3
"54500  Taavetti-Somerharju (Luumäki)",409,440,426,432,426
"54510  Uro (Luumäki)",13,11,13,9,9
"54530  Luumäki (Luumäki)",103,106,106,102,100
"54550  Suo-Anttila (Luumäki)",1,1,1,1,1
"54580  Somerharju (Luumäki)",...,...,...,...,...
"54590  Kaitjärvi (Luumäki)",1,2,5,4,3
"54710  Lemi Keskus (Lemi)",175,179,169,173,169
"54720  Laksiainen (Lemi)",2,2,2,2,1
"54750  Välijoki (Savitaipale)",6,6,4,5,3
"54770  Heituinlahti (Savitaipale)",9,11,9,7,9
"54800  Savitaipale Keskus (Savitaipale)",271,280,278,283,280
"54820  Kotimäki (Lemi)",6,7,7,7,6
"54850  Kuukanniemi (Lemi)",32,34,27,28,24
"54915  Saimaanharju-Kyläniemi (Taipalsaari)",95,112,97,114,115
"54920  Taipalsaari (Taipalsaari)",113,110,93,97,104
"54930  Levänen (Taipalsaari)",5,7,7,5,6
"54940  Solkei (Taipalsaari)",2,2,2,1,0
"54950  Pettilä (Savitaipale)",3,4,2,1,1
"54960  Vehkataipale (Taipalsaari)",9,7,6,7,8
"55100  Imatra Keskus (Imatra)",1490,1437,1388,1402,1366
"55120  Mansikkala-Tuulikallio (Imatra)",843,877,871,864,856
"55300  Rauha-Tiuruniemi (Lappeenranta)",71,84,78,68,73
"55320  Rauha (Lappeenranta)",90,82,89,85,86
"55330  Tiuruniemi (Lappeenranta)",17,23,20,21,19
"55400  Tainionkoski-Mustalampi (Imatra)",82,88,86,74,77
"55420  Karhumäki-Karhukallio (Imatra)",74,71,61,51,52
"55510  Sotkulampi-Linnasuo (Imatra)",378,355,368,353,358
"55610  Rajapatsas-Teppanala (Imatra)",442,457,469,462,454
"55700  Vintteri-Virasoja (Imatra)",66,76,71,70,78
"55800  Vuoksenniska-Saarlampi (Imatra)",794,821,801,797,778
"55910  Rautio-Kurkvuori (Imatra)",111,111,113,103,112
"56100  Ruokolahti Keskus (Ruokolahti)",307,328,313,306,290
"56120  Salosaari (Ruokolahti)",29,34,28,24,27
"56140  Äitsaari (Ruokolahti)",1,1,2,2,2
"56210  Virmutjoki (Ruokolahti)",9,6,6,6,6
"56310  Syyspohja (Ruokolahti)",2,0,0,0,0
"56330  Utula (Ruokolahti)",...,...,...,...,...
"56350  Kyläniemi (Taipalsaari)",...,...,...,...,...
"56410  Kaiturinpää (Ruokolahti)",4,3,2,3,3
"56440  Pohja-Lankila (Ruokolahti)",7,7,6,6,6
"56510  Puntala (Ruokolahti)",31,33,33,32,32
"56550  Niska-Pietilä (Rautjärvi)",1,2,2,2,2
"56610  Rautjärvi (Rautjärvi)",50,49,43,43,36
"56640  Purnujärvi (Rautjärvi)",2,2,1,3,2
"56710  Miettilä (Rautjärvi)",7,6,6,6,6
"56730  Laikko (Rautjärvi)",7,7,7,7,7
"56800  Simpele (Rautjärvi)",273,273,292,282,295
"57100  Heikinpohja-Piispanmäki (Savonlinna)",1263,1369,1352,1363,1392
"57120  Savonlinna (Savonlinna)",...,...,...,...,...
"57130  Savonlinna Keskus (Savonlinna)",587,629,626,648,624
"57170  Sortteerinlahti-Talvisalo (Savonlinna)",523,576,584,578,576
"57200  Miekonniemi-Venäjänniemi (Savonlinna)",379,406,411,408,435
"57210  Nojanmaa (Savonlinna)",342,368,348,363,356
"57220  Savonlinna (Savonlinna)",815,864,845,835,821
"57230  Inkerinkylä (Savonlinna)",13,13,12,9,9
"57310  Savonlinna (Savonlinna)",26,21,20,24,22
"57510  Laitaatsilta (Savonlinna)",15,19,23,22,27
"57600  Poukkusilta-Pihlajaniemi (Savonlinna)",114,109,104,109,105
"57710  Kellarpelto-Rantakoivikko (Savonlinna)",257,265,245,253,239
"57810  Savonlinna (Savonlinna)",20,18,20,19,17
"58130  Oravi (Savonlinna)",6,5,6,7,5
"58140  Ahvensalmi (Savonlinna)",4,3,4,4,3
"58150  Makkola (Savonlinna)",2,2,1,1,1
"58160  Karvila (Enonkoski)",3,1,2,2,4
"58170  Simanala (Enonkoski)",3,3,3,4,2
"58175  Enonkoski Keskus (Enonkoski)",143,152,140,134,118
"58180  Ihamaniemi (Enonkoski)",3,4,4,2,3
"58200  Kerimäki Keskus (Savonlinna)",362,377,356,334,319
"58220  Louhi (Savonlinna)",19,23,20,22,23
"58260  Kumpuranta (Savonlinna)",5,5,5,4,4
"58300  Savonranta Keskus (Savonlinna)",90,85,80,88,85
"58320  Raikuu (Savonlinna)",2,3,3,5,5
"58350  Villala (Kitee)",10,11,10,11,10
"58360  Säimen (Savonlinna)",6,5,5,4,5
"58390  Rönkönvaara (Savonlinna)",0,0,0,0,0
"58410  Haapakallio (Savonlinna)",16,16,14,18,18
"58420  Silvola (Savonlinna)",11,10,10,11,9
"58430  Kulennoinen (Savonlinna)",6,6,6,5,8
"58450  Punkaharju (Savonlinna)",32,29,25,27,27
"58500  Punkasalmi (Savonlinna)",290,299,294,273,265
"58520  Hiukkajoki (Savonlinna)",7,9,6,5,6
"58550  Putikko (Savonlinna)",11,13,8,7,4
"58570  Ruhvana (Savonlinna)",...,...,...,2,1
"58580  Vuoriniemi (Savonlinna)",2,2,3,2,2
"58610  Telakanava (Sulkava)",2,2,2,1,1
"58620  Lohilahti (Sulkava)",23,27,19,19,16
"58650  Kiviapaja (Savonlinna)",5,4,3,3,4
"58680  Piojärvi (Savonlinna)",...,...,...,...,...
"58690  Ala-Särkilahti-Piojärvi (Savonlinna)",5,6,6,7,6
"58700  Sulkava Keskus (Sulkava)",242,248,231,236,234
"58720  Kaartilankoski (Sulkava)",8,6,5,5,7
"58770  Pihlajalahti (Savonlinna)",10,11,8,10,8
"58810  Kallislahti (Savonlinna)",6,6,7,6,5
"58830  Parkumäki (Rantasalmi)",6,4,7,7,5
"58850  Hiltula (Rantasalmi)",3,3,3,3,4
"58900  Rantasalmi Keskus (Rantasalmi)",286,316,328,340,345
"58910  Rantasalmi Asemanseutu (Rantasalmi)",20,18,17,14,14
"58920  Kolkontaipale (Rantasalmi)",11,10,9,11,9
"58940  Tuusmäki (Rantasalmi)",7,8,7,6,5
"59100  Parikkala Keskus (Parikkala)",329,328,329,329,326
"59130  Koitsanlahti (Parikkala)",5,4,4,5,4
"59210  Melkoniemi (Parikkala)",4,1,3,2,0
"59310  Särkisalmi (Parikkala)",65,62,57,59,59
"59320  Haapaoja (Parikkala)",2,2,2,1,1
"59410  Kirjavala (Parikkala)",8,13,11,10,14
"59510  Maironiemi (Parikkala)",87,86,73,76,72
"59520  Saari (Parikkala)",1,1,1,1,0
"59530  Mikkolanniemi (Parikkala)",0,1,0,1,1
"59610  Tarnala (Parikkala)",6,11,9,6,8
"59710  Kummunkylä (Parikkala)",3,2,3,3,2
"59720  Niukkala (Parikkala)",15,15,14,13,11
"59730  Uukuniemi (Parikkala)",3,2,2,2,3
"59800  Kesälahti Keskus (Kitee)",170,185,173,196,184
"59810  Suurikylä (Kitee)",3,4,4,4,4
"59820  Purujärvi-Rajavaara (Kitee)",2,5,2,1,2
"60100  Seinäjoki Keskus (Seinäjoki)",3986,4203,4392,4593,4638
"60120  Pohja (Seinäjoki)",745,781,761,786,802
"60150  Kasperi (Seinäjoki)",1020,1066,1031,1058,1063
"60200  Törnävä (Seinäjoki)",1833,1899,1904,1935,1905
"60220  Huhtala (Seinäjoki)",502,527,540,579,588
"60280  Eskoon Keskuslaitosalue (Seinäjoki)",...,...,...,...,...
"60320  Alakylä-Jouppi (Seinäjoki)",1439,1496,1500,1519,1489
"60420  Impivaara (Seinäjoki)",16,15,22,20,20
"60450  Munakka (Ilmajoki)",3,4,4,3,6
"60510  Hyllykallio (Seinäjoki)",880,927,906,905,895
"60550  Nurmo Keskus (Seinäjoki)",288,308,310,310,306
"60560  Halkosaari (Seinäjoki)",37,32,33,35,33
"60640  Kurjenneva (Seinäjoki)",6,7,4,4,4
"60720  Tuomikylä (Ilmajoki)",94,93,87,88,91
"60760  Pojanluoma (Ilmajoki)",3,4,4,5,6
"60800  Ilmajoki Keskus (Ilmajoki)",723,762,759,786,781
"61100  Peräseinäjoki Keskus (Seinäjoki)",256,258,266,277,257
"61110  Vuolle (Seinäjoki)",1,3,1,1,1
"61120  Louko (Seinäjoki)",4,4,3,3,3
"61140  Pasto (Seinäjoki)",1,1,1,1,1
"61150  Sydänmaa (Alavus)",3,...,5,5,4
"61160  Koura (Seinäjoki)",12,16,13,19,21
"61170  Sääskiniemi (Alavus)",12,13,10,9,7
"61180  Haapaluoma (Seinäjoki)",5,4,5,2,2
"61220  Myllysalo (Kurikka)",6,8,6,6,5
"61230  Luopa (Kurikka)",15,12,10,13,14
"61250  Jalasto (Kurikka)",4,2,2,2,2
"61270  Luopajärvi (Kurikka)",15,16,16,14,14
"61280  Jokipii (Kurikka)",10,12,10,12,20
"61290  Taivalmaa (Kurikka)",2,2,1,1,1
"61300  Kurikka Keskus (Kurikka)",837,879,849,879,898
"61310  Panttila (Kurikka)",44,44,40,41,40
"61330  Koskenkorva (Ilmajoki)",145,150,147,141,147
"61340  Nopankylä (Ilmajoki)",10,11,9,7,6
"61350  Huissi (Ilmajoki)",3,3,2,2,3
"61360  Mieto (Kurikka)",19,19,18,21,20
"61370  Lohiluoma (Kurikka)",3,6,2,3,1
"61380  Polvenkylä (Kurikka)",2,3,2,2,2
"61400  Ylistaro Keskus (Seinäjoki)",276,292,277,263,272
"61410  Ylistaro Asemanseutu (Seinäjoki)",31,29,29,30,30
"61430  Isorehto (Seinäjoki)",3,2,2,1,2
"61440  Untamala (Seinäjoki)",1,0,0,1,2
"61450  Kylänpää (Seinäjoki)",16,18,12,15,16
"61460  Hanhikoski (Seinäjoki)",2,2,2,2,2
"61470  Kitinoja (Seinäjoki)",17,14,17,21,17
"61500  Isokyrö Keskus (Isokyrö)",282,298,291,293,302
"61520  Lehmäjoki (Isokyrö)",6,9,7,6,4
"61550  Orismala (Isokyrö)",14,17,11,10,8
"61560  Orisberg (Isokyrö)",...,...,...,...,...
"61600  Jalasjärvi Keskus (Kurikka)",576,574,594,636,643
"61630  Hirvijärvi (Kurikka)",10,10,11,10,8
"61640  Ala-Valli (Kurikka)",7,8,8,6,6
"61650  Kalakoski (Seinäjoki)",9,9,9,8,9
"61680  Mantila (Kurikka)",4,4,3,2,2
"61710  Pentinmäki (Kurikka)",2,1,1,2,2
"61720  Koskue (Kurikka)",10,11,11,11,11
"61730  Yli-Valli (Kurikka)",6,4,6,6,5
"61760  Ilvesjoki (Kurikka)",5,5,5,5,6
"61800  Kauhajoki Keskus (Kauhajoki)",1175,1201,1211,1204,1206
"61810  Luomankylä (Kauhajoki)",4,6,5,5,2
"61820  Kainasto (Kauhajoki)",15,17,16,14,9
"61840  Norinkylä (Teuva)",12,11,11,11,11
"61850  Kauhajoki Asemanseutu (Kauhajoki)",187,174,151,153,148
"61860  Harja (Kauhajoki)",4,5,5,6,6
"61880  Ikkeläjärvi (Kauhajoki)",7,3,5,6,7
"61910  Nummijärvi (Kauhajoki)",11,13,12,10,11
"61920  Nummikoski (Kauhajoki)",...,...,...,...,...
"61940  Hyyppä (Kauhajoki)",6,7,6,8,6
"61950  Juonikylä (Kauhajoki)",15,16,16,14,14
"61960  Kyrönlatva (Kauhajoki)",1,1,2,1,1
"61980  Päntäne (Kauhajoki)",52,58,50,56,59
"62100  Lapua Keskus (Lapua)",1376,1429,1445,1468,1463
"62130  Hellanmaa (Lapua)",15,12,12,12,13
"62150  Rintakangas (Kauhava)",3,1,2,3,3
"62160  Karhunkylä (Lapua)",13,13,15,16,14
"62165  Tiisteenjoki (Lapua)",9,8,11,9,11
"62170  Lakaluoma (Lapua)",3,4,3,3,3
"62175  Ylikylä-Mäenpää (Lapua)",2,2,2,1,3
"62185  Mäki-Paavola (Lapua)",3,2,1,2,2
"62190  Ruha (Lapua)",11,8,10,7,8
"62200  Kauhava Keskus (Kauhava)",718,719,727,781,792
"62220  Pernaa (Kauhava)",10,8,12,11,12
"62230  Jylhä (Kauhava)",9,9,9,8,8
"62240  Huhmarkoski (Kauhava)",6,8,8,9,8
"62260  Hirvijoki (Kauhava)",1,0,1,1,1
"62280  Mustamaa (Lapua)",1,1,1,1,0
"62290  Hirvikylä (Lapua)",4,7,6,6,5
"62295  Kauhajärvi (Lapua)",10,12,11,10,13
"62300  Härmä (Kauhava)",276,279,285,298,283
"62310  Voltti (Kauhava)",32,28,30,37,32
"62340  Kuoppa-Vakkuri (Kauhava)",2,5,5,5,6
"62350  Ekola (Kauhava)",5,4,4,5,4
"62370  Kangasto (Kauhava)",25,26,26,28,28
"62375  Ylihärmä Keskus-Vesiluoma (Kauhava)",214,216,225,245,245
"62380  Kosolankylä (Kauhava)",2,1,2,3,2
"62395  Petterinmäki (Vörå)",10,7,7,9,9
"62410  Rintala (Kauhava)",4,5,4,5,6
"62420  Kortesjärvi Keskus (Kauhava)",105,103,95,109,111
"62430  Peltotupa (Kauhava)",2,0,0,0,0
"62435  Pirttinen (Kauhava)",1,1,1,1,1
"62440  Perkiömäki (Kauhava)",4,4,4,3,3
"62470  Purmojärvi (Kauhava)",13,11,15,9,10
"62500  Evijärvi Keskus (Evijärvi)",133,151,140,127,130
"62510  Kuoppa-aho (Evijärvi)",21,22,22,24,26
"62520  Kautiainen (Evijärvi)",1,1,1,0,0
"62540  Vasikka-aho (Evijärvi)",13,9,10,12,10
"62570  Särkilä (Evijärvi)",8,8,9,9,8
"62600  Lappajärvi Keskus (Lappajärvi)",184,195,185,200,207
"62610  Tarvola (Lappajärvi)",1,2,2,2,3
"62620  Ala-Seppä (Lappajärvi)",0,1,2,2,2
"62630  Karvala (Lappajärvi)",4,2,2,3,3
"62640  Savonkylä (Lappajärvi)",2,2,1,1,0
"62660  Itäkylä (Lappajärvi)",9,11,9,6,6
"62710  Kurejoki (Alajärvi)",33,40,38,36,35
"62720  Sissala (Alajärvi)",5,3,2,3,3
"62730  Haukkala (Alajärvi)",2,2,2,3,3
"62740  Koskenvarsi (Alajärvi)",3,2,2,2,1
"62750  Saukonkylä (Alajärvi)",5,6,5,4,4
"62760  Menkijärvi (Alajärvi)",4,4,4,5,6
"62800  Vimpeli Keskus (Vimpeli)",209,216,212,217,222
"62810  Savonjoki (Vimpeli)",3,4,3,3,3
