"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Households living in rented dwellings (TE)","2021 Households living in rented dwellings (TE)","2022 Households living in rented dwellings (TE)","2023 Households living in rented dwellings (TE)","2024 Households living in rented dwellings (TE)"
"02700  Kauniainen (Kauniainen)",1396,1416,1404,1366,1322
"02710  Viherlaakso (Espoo)",803,886,887,865,859
"02720  Lähderanta (Espoo)",332,336,325,328,325
"02730  Jupperi (Espoo)",37,28,31,34,33
"02740  Bemböle-Pakankylä (Espoo)",652,655,659,643,609
"02750  Sepänkylä-Kuurinniitty (Espoo)",1134,1209,1221,1216,1224
"02760  Tuomarila-Suvela (Espoo)",3055,3010,3319,3367,3415
"02770  Espoon Keskus (Espoo)",3321,3221,3282,3423,3330
"02780  Kauklahti (Espoo)",2332,2419,2415,2437,2488
"02810  Gumböle-Karhusuo (Espoo)",146,128,132,116,118
"02820  Nupuri-Nuuksio (Espoo)",57,52,55,55,58
"02860  Siikajärvi (Espoo)",15,15,19,15,16
"02880  Veikkola (Kirkkonummi)",261,264,258,271,279
"02920  Niipperi (Espoo)",537,553,539,568,593
"02940  Lippajärvi-Järvenperä (Espoo)",1691,1854,1790,1976,1999
"02970  Kalajärvi (Espoo)",333,332,329,332,315
"02980  Lakisto (Espoo)",79,66,66,63,62
"03100  Nummela (Vihti)",2600,2661,2658,2638,2610
"03150  Huhmari (Vihti)",13,14,15,10,6
"03220  Tervalampi (Vihti)",9,17,20,21,16
"03250  Ojakkala (Vihti)",42,41,41,37,46
"03300  Otalampi (Vihti)",51,54,49,51,51
"03320  Selki (Vihti)",20,19,18,18,16
"03400  Vihti Kirkonkylä (Vihti)",439,469,463,465,455
"03430  Jokikunta (Vihti)",5,6,8,7,6
"03600  Karkkila Keskus (Karkkila)",828,856,837,856,873
"03620  Polari (Karkkila)",292,313,310,316,296
"03710  Uusitalo (Karkkila)",3,5,4,5,6
"03790  Vihtijärvi (Vihti)",21,18,16,14,10
"03810  Ikkala (Lohja)",51,52,52,44,45
"03850  Pusula (Lohja)",126,135,128,121,132
"03870  Hyönölä (Lohja)",5,7,7,4,5
"04130  Sipoo (Sipoo)",1309,1363,1337,1279,1297
"04150  Martinkylä (Sipoo)",8,9,9,10,8
"04170  Paippinen (Sipoo)",14,16,17,10,12
"04200  Kerava Keskus (Kerava)",3025,3040,3071,3118,3178
"04220  Ahjo-Kaskela (Kerava)",1194,1201,1209,1199,1185
"04230  Pihkaniitty (Kerava)",1010,1054,1074,1094,1064
"04240  Talma (Sipoo)",28,25,27,24,26
"04250  Alikerava (Kerava)",1752,1841,1970,2035,2043
"04260  Savio (Kerava)",1240,1248,1253,1285,1344
"04300  Hyrylä (Tuusula)",1883,2260,2548,2920,3339
"04310  Tuusula Kirkonkylä (Tuusula)",183,183,175,183,176
"04320  Riihikallio (Tuusula)",743,746,782,799,907
"04330  Lahela (Tuusula)",63,97,105,110,116
"04340  Mattila (Tuusula)",187,196,291,329,331
"04350  Nahkela (Tuusula)",8,8,6,6,11
"04360  Ruotsinkylä-Kiilinmäki (Tuusula)",40,38,34,31,28
"04370  Rusutjärvi (Tuusula)",6,6,6,7,7
"04380  Tuomala (Tuusula)",15,12,14,14,13
"04390  Jäniksenlinna (Tuusula)",3,4,3,4,4
"04400  Loutti (Järvenpää)",2423,2503,2666,2831,2843
"04410  Järvenpää Keskus (Järvenpää)",3111,3332,3378,3483,3495
"04420  Kyrölä (Järvenpää)",253,260,290,324,420
"04430  Kinnari-Mikonkorpi (Järvenpää)",955,990,969,1040,1183
"04440  Jamppa (Järvenpää)",1275,1294,1253,1216,1167
"04460  Nummenkylä (Järvenpää)",236,228,219,225,235
"04480  Haarajoki (Järvenpää)",79,76,79,75,74
"04500  Kellokoski (Tuusula)",518,521,507,501,506
"04530  Ohkola (Mäntsälä)",13,12,12,8,8
"04600  Mäntsälä Keskus (Mäntsälä)",1562,1592,1572,1624,1616
"04620  Kaunismäki (Mäntsälä)",156,153,237,245,242
"04630  Sääksjärvi (Mäntsälä)",8,9,10,8,6
"04660  Numminen (Mäntsälä)",35,31,32,39,38
"04680  Hirvihaara (Mäntsälä)",14,11,13,12,12
"04740  Sälinkää (Mäntsälä)",22,18,21,20,17
"04770  Sahakylä (Mäntsälä)",4,5,4,4,4
"04820  Kaukalampi (Mäntsälä)",2,2,2,2,2
"04840  Hautjärvi (Mäntsälä)",13,10,10,7,5
"04920  Saarentaus (Mäntsälä)",15,16,15,12,12
"04940  Levanto (Mäntsälä)",8,9,8,5,6
"05100  Röykkä (Nurmijärvi)",96,93,91,88,82
"05200  Rajamäki (Nurmijärvi)",667,691,700,653,662
"05250  Kiljava (Nurmijärvi)",18,17,16,13,11
"05400  Jokela (Tuusula)",724,734,727,704,708
"05430  Nuppulinna (Tuusula)",14,13,13,17,17
"05440  Hyvinkää (Hyvinkää)",144,192,195,239,232
"05450  Nukari (Nurmijärvi)",8,8,8,8,12
"05460  Hakalanmäki-Hakala (Hyvinkää)",444,471,461,459,467
"05470  Palopuro (Hyvinkää)",4,4,3,4,3
"05510  Päivärinta (Hyvinkää)",64,65,71,69,62
"05620  Noppo (Hyvinkää)",27,25,19,19,18
"05720  Kytäjä (Hyvinkää)",26,24,20,22,21
"05800  Hyvinkää Keskus (Hyvinkää)",2566,2783,2754,2850,2871
"05810  Martti (Hyvinkää)",991,978,996,986,968
