"13mu -- Prices per square meter of old dwellings in housing companies and numbers of transactions by postal code area, yearly, 2009-2025"

"Postal code","Price per square meter (EUR/m2) 2021 Blocks of flats, one-room flat","Price per square meter (EUR/m2) 2021 Blocks of flats, two-room flat","Price per square meter (EUR/m2) 2021 Blocks of flats, three-room flat+","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, one-room flat","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, two-room flat","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, three-room flat+"
"02450  Sundsberg (Kirkkonummi)",.,.,.,.,.,.
"02460  Kantvik (Kirkkonummi)",...,1771,...,3,9,5
"02480  Porkkala (Kirkkonummi)",.,...,.,.,1,.
"02490  Pikkala (Siuntio)",...,...,...,1,2,2
"02510  Oitmäki (Kirkkonummi)",.,.,.,.,.,.
"02520  Lapinkylä (Kirkkonummi)",.,.,.,.,.,.
"02540  Kylmälä (Kirkkonummi)",.,.,.,.,.,.
"02550  Evitskog (Kirkkonummi)",.,.,.,.,.,.
"02570  Siuntio Kirkonkylä (Siuntio)",.,.,.,.,.,.
"02580  Siuntio Asemanseutu (Siuntio)",...,...,.,2,1,.
"02600  Etelä-Leppävaara (Espoo)",4939,4511,4007,35,81,75
"02610  Kilo (Espoo)",5054,4386,4254,44,26,43
"02620  Karakallio (Espoo)",...,3355,2910,4,45,67
"02630  Nihtisilta (Espoo)",...,...,2726,1,5,11
"02650  Pohjois-Leppävaara (Espoo)",5075,4358,4091,23,110,112
"02660  Lintuvaara (Espoo)",...,...,...,1,3,4
"02680  Uusmäki (Espoo)",...,4805,4816,1,12,10
"02700  Kauniainen (Kauniainen)",5393,4559,4592,8,32,50
"02710  Viherlaakso (Espoo)",3900,2905,2695,11,38,51
"02720  Lähderanta (Espoo)",3320,3591,2808,10,16,18
"02730  Jupperi (Espoo)",.,...,...,.,2,3
"02740  Bemböle-Pakankylä (Espoo)",.,.,.,.,.,.
"02750  Sepänkylä-Kuurinniitty (Espoo)",4485,3858,4052,11,11,7
"02760  Tuomarila-Suvela (Espoo)",3705,2996,2694,21,108,70
"02770  Espoon Keskus (Espoo)",4194,3402,2488,11,33,34
"02780  Kauklahti (Espoo)",4617,3409,2936,23,22,19
"02810  Gumböle-Karhusuo (Espoo)",.,...,...,.,3,4
"02820  Nupuri-Nuuksio (Espoo)",.,.,.,.,.,.
"02860  Siikajärvi (Espoo)",.,.,.,.,.,.
"02880  Veikkola (Kirkkonummi)",.,...,.,.,1,.
"02920  Niipperi (Espoo)",.,.,.,.,.,.
"02940  Lippajärvi-Järvenperä (Espoo)",4094,3299,2820,9,10,23
"02970  Kalajärvi (Espoo)",.,...,...,.,1,1
"03100  Nummela (Vihti)",2489,2133,2233,18,62,52
"03150  Huhmari (Vihti)",.,.,.,.,.,.
"03250  Ojakkala (Vihti)",.,...,.,.,3,.
"03300  Otalampi (Vihti)",.,.,.,.,.,.
"03320  Selki (Vihti)",.,.,.,.,.,.
"03400  Vihti Kirkonkylä (Vihti)",1844,1232,1548,7,9,8
"03600  Karkkila Keskus (Karkkila)",1379,1217,1084,9,24,16
"03620  Polari (Karkkila)",.,...,...,.,2,1
"03710  Uusitalo (Karkkila)",.,.,.,.,.,.
"03810  Ikkala (Lohja)",.,.,.,.,.,.
"03850  Pusula (Lohja)",.,...,.,.,2,.
"04130  Sipoo (Sipoo)",2943,2643,2528,16,43,29
"04200  Kerava Keskus (Kerava)",2930,2702,2619,28,96,89
"04220  Ahjo-Kaskela (Kerava)",...,2712,2400,17,50,21
"04230  Pihkaniitty (Kerava)",2720,2119,1764,8,23,12
"04240  Talma (Sipoo)",.,.,.,.,.,.
"04250  Alikerava (Kerava)",3195,2538,2317,16,27,23
"04260  Savio (Kerava)",3718,2060,1996,20,33,25
"04300  Hyrylä (Tuusula)",...,2531,2423,9,29,43
"04310  Tuusula Keskus (Tuusula)",.,...,...,.,2,1
"04320  Riihikallio (Tuusula)",2820,2096,1774,7,25,27
"04330  Lahela (Tuusula)",.,...,...,.,2,1
"04340  Mattila (Tuusula)",...,1525,...,3,11,2
"04350  Nahkela (Tuusula)",.,.,.,.,.,.
"04360  Ruotsinkylä-Kiilinmäki (Tuusula)",.,.,.,.,.,.
"04380  Tuomala (Tuusula)",.,.,.,.,.,.
"04390  Jäniksenlinna (Tuusula)",.,.,.,.,.,.
"04400  Loutti (Järvenpää)",3562,2684,2602,54,74,76
"04410  Järvenpää Keskus (Järvenpää)",3489,2792,2260,32,60,66
"04420  Kyrölä (Järvenpää)",.,...,...,.,1,2
"04430  Kinnari-Mikonkorpi (Järvenpää)",...,3285,2423,2,10,11
"04440  Jamppa (Järvenpää)",1890,1465,...,11,26,5
"04460  Nummenkylä (Järvenpää)",.,.,.,.,.,.
"04480  Haarajoki (Järvenpää)",.,.,.,.,.,.
"04500  Kellokoski (Tuusula)",...,...,...,2,3,4
"04600  Mäntsälä Keskus (Mäntsälä)",2112,1995,2238,13,38,25
"04620  Kaunismäki (Mäntsälä)",...,...,...,1,3,1
"04630  Sääksjärvi (Mäntsälä)",.,.,.,.,.,.
"04660  Numminen (Mäntsälä)",.,.,.,.,.,.
"04680  Hirvihaara (Mäntsälä)",.,.,.,.,.,.
"04840  Hautjärvi (Mäntsälä)",.,.,.,.,.,.
"04920  Saarentaus (Mäntsälä)",.,.,.,.,.,.
"04940  Levanto (Mäntsälä)",.,.,.,.,.,.
"05100  Röykkä (Nurmijärvi)",...,.,.,2,.,.
"05200  Rajamäki (Nurmijärvi)",1617,1951,...,15,6,5
"05400  Jokela (Tuusula)",...,2165,1791,4,14,13
"05430  Nuppulinna (Tuusula)",.,.,.,.,.,.
"05440  Hyvinkää (Hyvinkää)",.,.,.,.,.,.
"05450  Nukari (Nurmijärvi)",.,...,...,.,2,1
"05460  Hakalanmäki-Hakala (Hyvinkää)",.,1667,1428,.,13,9
"05510  Päivärinta (Hyvinkää)",.,.,.,.,.,.
"05620  Noppo (Hyvinkää)",.,.,.,.,.,.
"05720  Kytäjä (Hyvinkää)",.,.,.,.,.,.
"05800  Hyvinkää Keskus (Hyvinkää)",2254,2127,2042,34,116,69
"05810  Martti (Hyvinkää)",...,...,...,1,3,2
"05820  Mustamännistö (Hyvinkää)",1945,1421,1730,8,11,9
"05830  Kirjavatolppa-Kruununpuisto (Hyvinkää)",2090,2179,1860,24,40,23
"05840  Hyvinkäänkylä-Vehkoja (Hyvinkää)",...,1448,1191,4,9,8
"05860  Talvisilta (Hyvinkää)",...,...,...,2,4,4
"05880  Paavola-Vaivero (Hyvinkää)",1573,1107,1062,7,17,12
"05900  Vieremä (Hyvinkää)",2123,2009,1617,19,33,40
"06100  Porvoo Keskus (Porvoo)",3716,2918,2976,68,183,110
"06150  Kevätkumpu (Porvoo)",2344,1950,1594,16,19,14
"06200  Porvoo itäinen (Porvoo)",.,.,...,.,.,1
"06400  Gammelbacka (Porvoo)",...,1648,2414,5,25,32
"06450  Eestinmäki-Ernestas (Porvoo)",...,2056,1687,2,6,8
"06500  Saksala-Suomenkylä (Porvoo)",.,.,.,.,.,.
"06530  Kerkkoo (Porvoo)",.,.,.,.,.,.
"06650  Hamari (Porvoo)",...,.,.,2,.,.
"06750  Tolkkinen (Porvoo)",.,.,.,.,.,.
"06830  Kulloonkylä (Porvoo)",.,.,.,.,.,.
"06880  Kärrby (Sipoo)",.,.,.,.,.,.
"06950  Emäsalo (Porvoo)",.,.,.,.,.,.
"07110  Hinthaara (Porvoo)",.,.,.,.,.,.
"07150  Laukkoski (Pornainen)",.,.,.,.,.,.
"07170  Keski-Pornainen (Pornainen)",.,.,.,.,.,.
"07190  Halkia (Pornainen)",.,.,.,.,.,.
"07230  Monninkylä (Askola)",.,.,.,.,.,.
"07280  Ilola (Porvoo)",...,.,.,1,.,.
"07500  Askola Kirkonkylä (Askola)",.,.,.,.,.,.
"07510  Vakkola (Askola)",.,.,...,.,.,1
"07550  Torpinkylä (Pukkila)",.,.,.,.,.,.
"07560  Pukkila Keskus (Pukkila)",.,...,.,.,1,.
"07590  Huuvari-Tiilää (Askola)",.,.,.,.,.,.
"07600  Myrskylä Keskus (Myrskylä)",.,.,.,.,.,.
"07700  Koskenkylän saha-alue (Loviisa)",...,.,.,1,.,.
"07750  Isnäs (Loviisa)",.,.,.,.,.,.
"07800  Lapinjärvi Keskus (Lapinjärvi)",.,.,.,.,.,.
"07820  Porlammi (Lapinjärvi)",.,.,.,.,.,.
"07830  Pukaro (Lapinjärvi)",.,.,.,.,.,.
"07870  Skinnarby (Loviisa)",.,.,.,.,.,.
"07880  Liljendal Keskus (Loviisa)",.,.,.,.,.,.
"07890  Mickelspiltom (Loviisa)",.,.,.,.,.,.
"07900  Loviisa Keskus (Loviisa)",1399,1580,2114,10,18,10
"07910  Valko (Loviisa)",...,...,...,2,5,4
